"time_steps","fancy-sweep-9 - _step","fancy-sweep-9 - _step__MIN","fancy-sweep-9 - _step__MAX","fancy-sweep-9 - agent_avg_eval_r_mean","fancy-sweep-9 - agent_avg_eval_r_mean__MIN","fancy-sweep-9 - agent_avg_eval_r_mean__MAX","fragrant-sweep-8 - _step","fragrant-sweep-8 - _step__MIN","fragrant-sweep-8 - _step__MAX","fragrant-sweep-8 - agent_avg_eval_r_mean","fragrant-sweep-8 - agent_avg_eval_r_mean__MIN","fragrant-sweep-8 - agent_avg_eval_r_mean__MAX","deft-sweep-7 - _step","deft-sweep-7 - _step__MIN","deft-sweep-7 - _step__MAX","deft-sweep-7 - agent_avg_eval_r_mean","deft-sweep-7 - agent_avg_eval_r_mean__MIN","deft-sweep-7 - agent_avg_eval_r_mean__MAX","treasured-sweep-6 - _step","treasured-sweep-6 - _step__MIN","treasured-sweep-6 - _step__MAX","treasured-sweep-6 - agent_avg_eval_r_mean","treasured-sweep-6 - agent_avg_eval_r_mean__MIN","treasured-sweep-6 - agent_avg_eval_r_mean__MAX","pleasant-sweep-5 - _step","pleasant-sweep-5 - _step__MIN","pleasant-sweep-5 - _step__MAX","pleasant-sweep-5 - agent_avg_eval_r_mean","pleasant-sweep-5 - agent_avg_eval_r_mean__MIN","pleasant-sweep-5 - agent_avg_eval_r_mean__MAX","scarlet-sweep-4 - _step","scarlet-sweep-4 - _step__MIN","scarlet-sweep-4 - _step__MAX","scarlet-sweep-4 - agent_avg_eval_r_mean","scarlet-sweep-4 - agent_avg_eval_r_mean__MIN","scarlet-sweep-4 - agent_avg_eval_r_mean__MAX","serene-sweep-2 - _step","serene-sweep-2 - _step__MIN","serene-sweep-2 - _step__MAX","serene-sweep-2 - agent_avg_eval_r_mean","serene-sweep-2 - agent_avg_eval_r_mean__MIN","serene-sweep-2 - agent_avg_eval_r_mean__MAX","zesty-sweep-3 - _step","zesty-sweep-3 - _step__MIN","zesty-sweep-3 - _step__MAX","zesty-sweep-3 - agent_avg_eval_r_mean","zesty-sweep-3 - agent_avg_eval_r_mean__MIN","zesty-sweep-3 - agent_avg_eval_r_mean__MAX","gentle-sweep-1 - _step","gentle-sweep-1 - _step__MIN","gentle-sweep-1 - _step__MAX","gentle-sweep-1 - agent_avg_eval_r_mean","gentle-sweep-1 - agent_avg_eval_r_mean__MIN","gentle-sweep-1 - agent_avg_eval_r_mean__MAX","helpful-sweep-3 - _step","helpful-sweep-3 - _step__MIN","helpful-sweep-3 - _step__MAX","helpful-sweep-3 - agent_avg_eval_r_mean","helpful-sweep-3 - agent_avg_eval_r_mean__MIN","helpful-sweep-3 - agent_avg_eval_r_mean__MAX"
"18700","11","11","11","17.94329521754713","17.94329521754713","17.94329521754713","11","11","11","16.93191571115916","16.93191571115916","16.93191571115916","11","11","11","18.40079599480331","18.40079599480331","18.40079599480331","11","11","11","18.03146082042699","18.03146082042699","18.03146082042699","11","11","11","18.17960075968398","18.17960075968398","18.17960075968398","11","11","11","16.153224033187005","16.153224033187005","16.153224033187005","11","11","11","17.795381381232442","17.795381381232442","17.795381381232442","11","11","11","19.587622646669946","19.587622646669946","19.587622646669946","11","11","11","17.61946332305918","17.61946332305918","17.61946332305918","11","11","11","18.764274427891007","18.764274427891007","18.764274427891007"
"20400","12","12","12","17.674746884687433","17.674746884687433","17.674746884687433","12","12","12","17.31652826156949","17.31652826156949","17.31652826156949","12","12","12","18.759917182335034","18.759917182335034","18.759917182335034","12","12","12","18.014479098449005","18.014479098449005","18.014479098449005","12","12","12","18.619365167906306","18.619365167906306","18.619365167906306","12","12","12","15.991264638236037","15.991264638236037","15.991264638236037","12","12","12","18.391128964302975","18.391128964302975","18.391128964302975","12","12","12","18.66973731002903","18.66973731002903","18.66973731002903","12","12","12","17.746493664358855","17.746493664358855","17.746493664358855","12","12","12","18.80230358139899","18.80230358139899","18.80230358139899"
"22100","13","13","13","18.018597879055385","18.018597879055385","18.018597879055385","13","13","13","17.166852553177037","17.166852553177037","17.166852553177037","13","13","13","18.823433473802346","18.823433473802346","18.823433473802346","13","13","13","17.931190587987807","17.931190587987807","17.931190587987807","13","13","13","18.49258669415297","18.49258669415297","18.49258669415297","13","13","13","15.854069775844051","15.854069775844051","15.854069775844051","13","13","13","18.459509305666884","18.459509305666884","18.459509305666884","13","13","13","18.987983775115065","18.987983775115065","18.987983775115065","13","13","13","17.536520624719426","17.536520624719426","17.536520624719426","13","13","13","18.82898785690223","18.82898785690223","18.82898785690223"
"23800","14","14","14","17.677305218109378","17.677305218109378","17.677305218109378","14","14","14","17.482561240831057","17.482561240831057","17.482561240831057","14","14","14","18.59785074974057","18.59785074974057","18.59785074974057","14","14","14","18.143108597810663","18.143108597810663","18.143108597810663","14","14","14","18.271879846807394","18.271879846807394","18.271879846807394","14","14","14","16.350260881658336","16.350260881658336","16.350260881658336","14","14","14","18.563188377102318","18.563188377102318","18.563188377102318","14","14","14","18.91637324602517","18.91637324602517","18.91637324602517","14","14","14","17.64095695465937","17.64095695465937","17.64095695465937","14","14","14","19.185174001873197","19.185174001873197","19.185174001873197"
"25500","15","15","15","17.932444205535354","17.932444205535354","17.932444205535354","15","15","15","17.313947997137195","17.313947997137195","17.313947997137195","15","15","15","18.249837051731603","18.249837051731603","18.249837051731603","15","15","15","17.987154378336164","17.987154378336164","17.987154378336164","15","15","15","17.773342121310332","17.773342121310332","17.773342121310332","15","15","15","16.65335151341241","16.65335151341241","16.65335151341241","15","15","15","18.623171205447584","18.623171205447584","18.623171205447584","15","15","15","19.00248433778418","19.00248433778418","19.00248433778418","15","15","15","17.622906165506198","17.622906165506198","17.622906165506198","15","15","15","18.824273381983","18.824273381983","18.824273381983"
"27200","16","16","16","17.9165367525942","17.9165367525942","17.9165367525942","16","16","16","17.419770078546886","17.419770078546886","17.419770078546886","16","16","16","18.086766168756192","18.086766168756192","18.086766168756192","16","16","16","17.941378194912353","17.941378194912353","17.941378194912353","16","16","16","17.572369360373244","17.572369360373244","17.572369360373244","16","16","16","16.65051445258643","16.65051445258643","16.65051445258643","16","16","16","18.71457037846748","18.71457037846748","18.71457037846748","16","16","16","18.824102689547615","18.824102689547615","18.824102689547615","16","16","16","17.554876860954543","17.554876860954543","17.554876860954543","16","16","16","18.996163781508216","18.996163781508216","18.996163781508216"
"28900","17","17","17","17.888836960949966","17.888836960949966","17.888836960949966","17","17","17","17.194749287318633","17.194749287318633","17.194749287318633","17","17","17","17.98109002291525","17.98109002291525","17.98109002291525","17","17","17","17.661193817881202","17.661193817881202","17.661193817881202","17","17","17","17.441305374106747","17.441305374106747","17.441305374106747","17","17","17","16.914285341720348","16.914285341720348","16.914285341720348","17","17","17","18.760241260610805","18.760241260610805","18.760241260610805","17","17","17","18.913378151783032","18.913378151783032","18.913378151783032","17","17","17","17.47847313949337","17.47847313949337","17.47847313949337","17","17","17","18.966049370070447","18.966049370070447","18.966049370070447"
"30600","18","18","18","17.818376118721865","17.818376118721865","17.818376118721865","18","18","18","17.135593643446086","17.135593643446086","17.135593643446086","18","18","18","18.232240134423698","18.232240134423698","18.232240134423698","18","18","18","17.699277393042532","17.699277393042532","17.699277393042532","18","18","18","17.054222212221863","17.054222212221863","17.054222212221863","18","18","18","17.172960588819635","17.172960588819635","17.172960588819635","18","18","18","18.634557790718816","18.634557790718816","18.634557790718816","18","18","18","18.859322046573237","18.859322046573237","18.859322046573237","18","18","18","17.212205856702912","17.212205856702912","17.212205856702912","18","18","18","18.85719464710154","18.85719464710154","18.85719464710154"
"32300","19","19","19","18.16210713090723","18.16210713090723","18.16210713090723","19","19","19","16.993878683702576","16.993878683702576","16.993878683702576","19","19","19","17.910500160579897","17.910500160579897","17.910500160579897","19","19","19","17.77194298619208","17.77194298619208","17.77194298619208","19","19","19","17.196839830314058","17.196839830314058","17.196839830314058","19","19","19","17.19993548905695","17.19993548905695","17.19993548905695","19","19","19","18.765356502061053","18.765356502061053","18.765356502061053","19","19","19","18.535759054048974","18.535759054048974","18.535759054048974","19","19","19","17.224207763365854","17.224207763365854","17.224207763365854","19","19","19","19.252543281620465","19.252543281620465","19.252543281620465"
"34000","20","20","20","17.925095273524864","17.925095273524864","17.925095273524864","20","20","20","17.040258367288203","17.040258367288203","17.040258367288203","20","20","20","17.782838639614802","17.782838639614802","17.782838639614802","20","20","20","17.643259512911754","17.643259512911754","17.643259512911754","20","20","20","17.25051182386682","17.25051182386682","17.25051182386682","20","20","20","17.2182494972351","17.2182494972351","17.2182494972351","20","20","20","18.61469669476524","18.61469669476524","18.61469669476524","20","20","20","18.705573888957666","18.705573888957666","18.705573888957666","20","20","20","17.24511137566463","17.24511137566463","17.24511137566463","20","20","20","19.078097889403864","19.078097889403864","19.078097889403864"
"35700","21","21","21","18.0500885641444","18.0500885641444","18.0500885641444","21","21","21","17.090929613483112","17.090929613483112","17.090929613483112","21","21","21","17.82476374684782","17.82476374684782","17.82476374684782","21","21","21","17.5563342330247","17.5563342330247","17.5563342330247","21","21","21","17.02687812853868","17.02687812853868","17.02687812853868","21","21","21","17.37985368244536","17.37985368244536","17.37985368244536","21","21","21","18.5433424378273","18.5433424378273","18.5433424378273","21","21","21","18.66536665124956","18.66536665124956","18.66536665124956","21","21","21","17.19949704395131","17.19949704395131","17.19949704395131","21","21","21","18.861703062561723","18.861703062561723","18.861703062561723"
"37400","22","22","22","18.260309770615525","18.260309770615525","18.260309770615525","22","22","22","17.047174343821965","17.047174343821965","17.047174343821965","22","22","22","18.08452179064636","18.08452179064636","18.08452179064636","22","22","22","17.5248697542289","17.5248697542289","17.5248697542289","22","22","22","17.13036233185556","17.13036233185556","17.13036233185556","22","22","22","17.197040578565364","17.197040578565364","17.197040578565364","22","22","22","18.458640031293694","18.458640031293694","18.458640031293694","22","22","22","18.53302360174123","18.53302360174123","18.53302360174123","22","22","22","17.292857555472334","17.292857555472334","17.292857555472334","22","22","22","18.854746621532282","18.854746621532282","18.854746621532282"
"39100","23","23","23","18.393622582199644","18.393622582199644","18.393622582199644","23","23","23","17.357875285829813","17.357875285829813","17.357875285829813","23","23","23","18.039746218148267","18.039746218148267","18.039746218148267","23","23","23","17.448258296135233","17.448258296135233","17.448258296135233","23","23","23","17.242066785708733","17.242066785708733","17.242066785708733","23","23","23","17.09476076542903","17.09476076542903","17.09476076542903","23","23","23","18.390570152396855","18.390570152396855","18.390570152396855","23","23","23","18.52967902253449","18.52967902253449","18.52967902253449","23","23","23","17.34831922756826","17.34831922756826","17.34831922756826","23","23","23","18.755310928329248","18.755310928329248","18.755310928329248"
"40800","24","24","24","18.506844217519205","18.506844217519205","18.506844217519205","24","24","24","17.302741389513994","17.302741389513994","17.302741389513994","24","24","24","18.028307275074773","18.028307275074773","18.028307275074773","24","24","24","17.374643790074483","17.374643790074483","17.374643790074483","24","24","24","17.236447268334675","17.236447268334675","17.236447268334675","24","24","24","17.180338833681642","17.180338833681642","17.180338833681642","24","24","24","18.3354672581807","18.3354672581807","18.3354672581807","24","24","24","18.33591271944915","18.33591271944915","18.33591271944915","24","24","24","17.44844974209155","17.44844974209155","17.44844974209155","24","24","24","18.667602847849036","18.667602847849036","18.667602847849036"
"42500","25","25","25","18.368421070847088","18.368421070847088","18.368421070847088","25","25","25","17.364974706169882","17.364974706169882","17.364974706169882","25","25","25","18.107043265229734","18.107043265229734","18.107043265229734","25","25","25","17.450499531414266","17.450499531414266","17.450499531414266","25","25","25","17.443438518380965","17.443438518380965","17.443438518380965","25","25","25","17.361465647058836","17.361465647058836","17.361465647058836","25","25","25","18.364112653212946","18.364112653212946","18.364112653212946","25","25","25","18.18328477112266","18.18328477112266","18.18328477112266","25","25","25","17.54382710967374","17.54382710967374","17.54382710967374","25","25","25","18.475756439302106","18.475756439302106","18.475756439302106"
"44200","26","26","26","18.472691960954748","18.472691960954748","18.472691960954748","26","26","26","17.64841910579784","17.64841910579784","17.64841910579784","26","26","26","18.493928184611388","18.493928184611388","18.493928184611388","26","26","26","17.53137564969462","17.53137564969462","17.53137564969462","26","26","26","17.68120783792396","17.68120783792396","17.68120783792396","26","26","26","17.525660723561757","17.525660723561757","17.525660723561757","26","26","26","18.572741741934717","18.572741741934717","18.572741741934717","26","26","26","17.995320305853085","17.995320305853085","17.995320305853085","26","26","26","17.945516155063956","17.945516155063956","17.945516155063956","26","26","26","18.17055360608485","18.17055360608485","18.17055360608485"
"45900","27","27","27","18.51083285726577","18.51083285726577","18.51083285726577","27","27","27","17.52019980542416","17.52019980542416","17.52019980542416","27","27","27","18.53505587647558","18.53505587647558","18.53505587647558","27","27","27","17.494455867727687","17.494455867727687","17.494455867727687","27","27","27","17.439069315343097","17.439069315343097","17.439069315343097","27","27","27","17.84515754969892","17.84515754969892","17.84515754969892","27","27","27","18.610885281621282","18.610885281621282","18.610885281621282","27","27","27","18.24598428813008","18.24598428813008","18.24598428813008","27","27","27","17.923465225575114","17.923465225575114","17.923465225575114","27","27","27","18.138016731869207","18.138016731869207","18.138016731869207"
"47600","28","28","28","18.675052015283743","18.675052015283743","18.675052015283743","28","28","28","17.48590798781286","17.48590798781286","17.48590798781286","28","28","28","18.314446389740223","18.314446389740223","18.314446389740223","28","28","28","17.660340080115933","17.660340080115933","17.660340080115933","28","28","28","17.61655464793763","17.61655464793763","17.61655464793763","28","28","28","18.19308207764496","18.19308207764496","18.19308207764496","28","28","28","18.939992387438853","18.939992387438853","18.939992387438853","28","28","28","18.259265016900695","18.259265016900695","18.259265016900695","28","28","28","17.871323882880564","17.871323882880564","17.871323882880564","28","28","28","18.18487306983072","18.18487306983072","18.18487306983072"
"49300","29","29","29","18.669943038132942","18.669943038132942","18.669943038132942","29","29","29","18.07790381305347","18.07790381305347","18.07790381305347","29","29","29","18.71780309974685","18.71780309974685","18.71780309974685","29","29","29","18.322707850639205","18.322707850639205","18.322707850639205","29","29","29","17.603175054189837","17.603175054189837","17.603175054189837","29","29","29","18.13392066283207","18.13392066283207","18.13392066283207","29","29","29","18.81444111745923","18.81444111745923","18.81444111745923","29","29","29","18.65316606697053","18.65316606697053","18.65316606697053","29","29","29","18.09452733203754","18.09452733203754","18.09452733203754","29","29","29","17.741242923366634","17.741242923366634","17.741242923366634"
"51000","30","30","30","18.850712116013245","18.850712116013245","18.850712116013245","30","30","30","18.11382116997646","18.11382116997646","18.11382116997646","30","30","30","19.312979183047702","19.312979183047702","19.312979183047702","30","30","30","18.205827018817867","18.205827018817867","18.205827018817867","30","30","30","17.784957008694867","17.784957008694867","17.784957008694867","30","30","30","18.531926290869208","18.531926290869208","18.531926290869208","30","30","30","18.588057286658692","18.588057286658692","18.588057286658692","30","30","30","18.48884168139392","18.48884168139392","18.48884168139392","30","30","30","18.49903344448563","18.49903344448563","18.49903344448563","30","30","30","17.87523138420846","17.87523138420846","17.87523138420846"
"52700","31","31","31","19.367513499631105","19.367513499631105","19.367513499631105","31","31","31","19.095648890393555","19.095648890393555","19.095648890393555","31","31","31","19.3557977692647","19.3557977692647","19.3557977692647","31","31","31","18.187737688346278","18.187737688346278","18.187737688346278","31","31","31","18.016231807954544","18.016231807954544","18.016231807954544","31","31","31","18.961956629006576","18.961956629006576","18.961956629006576","31","31","31","19.02971054982264","19.02971054982264","19.02971054982264","31","31","31","18.729109136344768","18.729109136344768","18.729109136344768","31","31","31","19.212750313617487","19.212750313617487","19.212750313617487","31","31","31","17.58878072364756","17.58878072364756","17.58878072364756"
"54400","32","32","32","19.471139072323286","19.471139072323286","19.471139072323286","32","32","32","19.513652459834848","19.513652459834848","19.513652459834848","32","32","32","19.860693564710104","19.860693564710104","19.860693564710104","32","32","32","18.761214985345223","18.761214985345223","18.761214985345223","32","32","32","17.893811976652295","17.893811976652295","17.893811976652295","32","32","32","19.314748011989067","19.314748011989067","19.314748011989067","32","32","32","19.196272370549647","19.196272370549647","19.196272370549647","32","32","32","19.170877875351852","19.170877875351852","19.170877875351852","32","32","32","19.68712850212439","19.68712850212439","19.68712850212439","32","32","32","18.147003625986887","18.147003625986887","18.147003625986887"
"56100","33","33","33","20.02477763974295","20.02477763974295","20.02477763974295","33","33","33","20.403986130931795","20.403986130931795","20.403986130931795","33","33","33","20.537955160499582","20.537955160499582","20.537955160499582","33","33","33","18.664585052576506","18.664585052576506","18.664585052576506","33","33","33","18.393286952450143","18.393286952450143","18.393286952450143","33","33","33","19.960263360706673","19.960263360706673","19.960263360706673","33","33","33","19.455099331793402","19.455099331793402","19.455099331793402","33","33","33","19.904572975928357","19.904572975928357","19.904572975928357","33","33","33","20.457390279052678","20.457390279052678","20.457390279052678","33","33","33","18.055241267352002","18.055241267352002","18.055241267352002"
"57800","34","34","34","20.076462407031237","20.076462407031237","20.076462407031237","34","34","34","20.758253016305456","20.758253016305456","20.758253016305456","34","34","34","20.95634733506912","20.95634733506912","20.95634733506912","34","34","34","18.596568732404798","18.596568732404798","18.596568732404798","34","34","34","18.185258623426808","18.185258623426808","18.185258623426808","34","34","34","20.503964732871214","20.503964732871214","20.503964732871214","34","34","34","19.609318261256902","19.609318261256902","19.609318261256902","34","34","34","20.35744452527564","20.35744452527564","20.35744452527564","34","34","34","20.57254733358257","20.57254733358257","20.57254733358257","34","34","34","18.202140907428287","18.202140907428287","18.202140907428287"
"59500","35","35","35","20.316114626825616","20.316114626825616","20.316114626825616","35","35","35","21.23046786595885","21.23046786595885","21.23046786595885","35","35","35","21.687555543194872","21.687555543194872","21.687555543194872","35","35","35","19.320082793674587","19.320082793674587","19.320082793674587","35","35","35","18.498250972738813","18.498250972738813","18.498250972738813","35","35","35","21.612088944001894","21.612088944001894","21.612088944001894","35","35","35","19.814992393318267","19.814992393318267","19.814992393318267","35","35","35","20.91859344429021","20.91859344429021","20.91859344429021","35","35","35","20.709299014217304","20.709299014217304","20.709299014217304","35","35","35","18.834515430794482","18.834515430794482","18.834515430794482"
"61200","36","36","36","20.250300969809604","20.250300969809604","20.250300969809604","36","36","36","22.035973826692597","22.035973826692597","22.035973826692597","36","36","36","21.942008374768584","21.942008374768584","21.942008374768584","36","36","36","19.677728927337167","19.677728927337167","19.677728927337167","36","36","36","18.571121525619386","18.571121525619386","18.571121525619386","36","36","36","22.93168369267897","22.93168369267897","22.93168369267897","36","36","36","20.720520438471752","20.720520438471752","20.720520438471752","36","36","36","20.984148293243376","20.984148293243376","20.984148293243376","36","36","36","21.037847506456227","21.037847506456227","21.037847506456227","36","36","36","19.07866304519381","19.07866304519381","19.07866304519381"
