"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - episode_waypoints_percent_mean","peach-sweep-10 - episode_waypoints_percent_mean__MIN","peach-sweep-10 - episode_waypoints_percent_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - episode_waypoints_percent_mean","exalted-sweep-9 - episode_waypoints_percent_mean__MIN","exalted-sweep-9 - episode_waypoints_percent_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - episode_waypoints_percent_mean","balmy-sweep-8 - episode_waypoints_percent_mean__MIN","balmy-sweep-8 - episode_waypoints_percent_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - episode_waypoints_percent_mean","still-sweep-7 - episode_waypoints_percent_mean__MIN","still-sweep-7 - episode_waypoints_percent_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - episode_waypoints_percent_mean","graceful-sweep-6 - episode_waypoints_percent_mean__MIN","graceful-sweep-6 - episode_waypoints_percent_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - episode_waypoints_percent_mean","lively-sweep-5 - episode_waypoints_percent_mean__MIN","lively-sweep-5 - episode_waypoints_percent_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - episode_waypoints_percent_mean","astral-sweep-4 - episode_waypoints_percent_mean__MIN","astral-sweep-4 - episode_waypoints_percent_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - episode_waypoints_percent_mean","light-sweep-3 - episode_waypoints_percent_mean__MIN","light-sweep-3 - episode_waypoints_percent_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - episode_waypoints_percent_mean","eternal-sweep-2 - episode_waypoints_percent_mean__MIN","eternal-sweep-2 - episode_waypoints_percent_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - episode_waypoints_percent_mean","hardy-sweep-1 - episode_waypoints_percent_mean__MIN","hardy-sweep-1 - episode_waypoints_percent_mean__MAX"
"5500","275","275","275","0.4872727272727272","0.4872727272727272","0.4872727272727272","275","275","275","0.5309090909090909","0.5309090909090909","0.5309090909090909","275","275","275","0.46181818181818185","0.46181818181818185","0.46181818181818185","275","275","275","0.5018181818181818","0.5018181818181818","0.5018181818181818","275","275","275","0.5018181818181818","0.5018181818181818","0.5018181818181818","275","275","275","0.48","0.48","0.48","275","275","275","0.5345454545454544","0.5345454545454544","0.5345454545454544","275","275","275","0.5090909090909091","0.5090909090909091","0.5090909090909091","275","275","275","0.5272727272727272","0.5272727272727272","0.5272727272727272","275","275","275","0.5163636363636364","0.5163636363636364","0.5163636363636364"
"6000","300","300","300","0.5381818181818182","0.5381818181818182","0.5381818181818182","300","300","300","0.549090909090909","0.549090909090909","0.549090909090909","300","300","300","0.41454545454545455","0.41454545454545455","0.41454545454545455","300","300","300","0.6","0.6","0.6","300","300","300","0.44727272727272727","0.44727272727272727","0.44727272727272727","300","300","300","0.5127272727272727","0.5127272727272727","0.5127272727272727","300","300","300","0.44363636363636366","0.44363636363636366","0.44363636363636366","300","300","300","0.4763636363636364","0.4763636363636364","0.4763636363636364","300","300","300","0.5418181818181818","0.5418181818181818","0.5418181818181818","300","300","300","0.5745454545454546","0.5745454545454546","0.5745454545454546"
"6500","325","325","325","0.5309090909090909","0.5309090909090909","0.5309090909090909","325","325","325","0.5890909090909091","0.5890909090909091","0.5890909090909091","325","325","325","0.4581818181818182","0.4581818181818182","0.4581818181818182","325","325","325","0.5345454545454545","0.5345454545454545","0.5345454545454545","325","325","325","0.5236363636363636","0.5236363636363636","0.5236363636363636","325","325","325","0.5527272727272727","0.5527272727272727","0.5527272727272727","325","325","325","0.5563636363636363","0.5563636363636363","0.5563636363636363","325","325","325","0.5272727272727272","0.5272727272727272","0.5272727272727272","325","325","325","0.6109090909090908","0.6109090909090908","0.6109090909090908","325","325","325","0.5272727272727272","0.5272727272727272","0.5272727272727272"
"7000","350","350","350","0.5745454545454546","0.5745454545454546","0.5745454545454546","350","350","350","0.52","0.52","0.52","350","350","350","0.5490909090909091","0.5490909090909091","0.5490909090909091","350","350","350","0.5490909090909091","0.5490909090909091","0.5490909090909091","350","350","350","0.5672727272727273","0.5672727272727273","0.5672727272727273","350","350","350","0.5672727272727273","0.5672727272727273","0.5672727272727273","350","350","350","0.5527272727272726","0.5527272727272726","0.5527272727272726","350","350","350","0.5636363636363636","0.5636363636363636","0.5636363636363636","350","350","350","0.5745454545454546","0.5745454545454546","0.5745454545454546","350","350","350","0.5818181818181818","0.5818181818181818","0.5818181818181818"
"7500","375","375","375","0.6145454545454545","0.6145454545454545","0.6145454545454545","375","375","375","0.45818181818181813","0.45818181818181813","0.45818181818181813","375","375","375","0.5454545454545454","0.5454545454545454","0.5454545454545454","375","375","375","0.6327272727272727","0.6327272727272727","0.6327272727272727","375","375","375","0.5345454545454545","0.5345454545454545","0.5345454545454545","375","375","375","0.5127272727272727","0.5127272727272727","0.5127272727272727","375","375","375","0.5381818181818181","0.5381818181818181","0.5381818181818181","375","375","375","0.4945454545454545","0.4945454545454545","0.4945454545454545","375","375","375","0.5272727272727273","0.5272727272727273","0.5272727272727273","375","375","375","0.56","0.56","0.56"
"8000","400","400","400","0.4581818181818182","0.4581818181818182","0.4581818181818182","400","400","400","0.4945454545454545","0.4945454545454545","0.4945454545454545","400","400","400","0.5272727272727272","0.5272727272727272","0.5272727272727272","400","400","400","0.5709090909090908","0.5709090909090908","0.5709090909090908","400","400","400","0.5781818181818182","0.5781818181818182","0.5781818181818182","400","400","400","0.5054545454545455","0.5054545454545455","0.5054545454545455","400","400","400","0.5127272727272727","0.5127272727272727","0.5127272727272727","400","400","400","0.5490909090909091","0.5490909090909091","0.5490909090909091","400","400","400","0.5490909090909091","0.5490909090909091","0.5490909090909091","400","400","400","0.5636363636363636","0.5636363636363636","0.5636363636363636"
"8500","425","425","425","0.5272727272727272","0.5272727272727272","0.5272727272727272","425","425","425","0.5272727272727272","0.5272727272727272","0.5272727272727272","425","425","425","0.4945454545454545","0.4945454545454545","0.4945454545454545","425","425","425","0.5672727272727272","0.5672727272727272","0.5672727272727272","425","425","425","0.6472727272727273","0.6472727272727273","0.6472727272727273","425","425","425","0.6109090909090908","0.6109090909090908","0.6109090909090908","425","425","425","0.4945454545454545","0.4945454545454545","0.4945454545454545","425","425","425","0.6690909090909091","0.6690909090909091","0.6690909090909091","425","425","425","0.5854545454545454","0.5854545454545454","0.5854545454545454","425","425","425","0.5818181818181818","0.5818181818181818","0.5818181818181818"
"9000","450","450","450","0.589090909090909","0.589090909090909","0.589090909090909","450","450","450","0.6363636363636364","0.6363636363636364","0.6363636363636364","450","450","450","0.4945454545454545","0.4945454545454545","0.4945454545454545","450","450","450","0.49454545454545445","0.49454545454545445","0.49454545454545445","450","450","450","0.6363636363636364","0.6363636363636364","0.6363636363636364","450","450","450","0.6618181818181819","0.6618181818181819","0.6618181818181819","450","450","450","0.5418181818181818","0.5418181818181818","0.5418181818181818","450","450","450","0.6945454545454546","0.6945454545454546","0.6945454545454546","450","450","450","0.5963636363636363","0.5963636363636363","0.5963636363636363","450","450","450","0.6","0.6","0.6"
"9500","475","475","475","0.5854545454545454","0.5854545454545454","0.5854545454545454","475","475","475","0.68","0.68","0.68","475","475","475","0.629090909090909","0.629090909090909","0.629090909090909","475","475","475","0.5818181818181818","0.5818181818181818","0.5818181818181818","475","475","475","0.7272727272727273","0.7272727272727273","0.7272727272727273","475","475","475","0.5927272727272728","0.5927272727272728","0.5927272727272728","475","475","475","0.6545454545454545","0.6545454545454545","0.6545454545454545","475","475","475","0.5963636363636363","0.5963636363636363","0.5963636363636363","475","475","475","0.6072727272727273","0.6072727272727273","0.6072727272727273","475","475","475","0.6654545454545453","0.6654545454545453","0.6654545454545453"
"10000","500","500","500","0.6218181818181817","0.6218181818181817","0.6218181818181817","500","500","500","0.7163636363636363","0.7163636363636363","0.7163636363636363","500","500","500","0.610909090909091","0.610909090909091","0.610909090909091","500","500","500","0.7236363636363636","0.7236363636363636","0.7236363636363636","500","500","500","0.6690909090909091","0.6690909090909091","0.6690909090909091","500","500","500","0.5963636363636363","0.5963636363636363","0.5963636363636363","500","500","500","0.6436363636363636","0.6436363636363636","0.6436363636363636","500","500","500","0.5345454545454545","0.5345454545454545","0.5345454545454545","500","500","500","0.6109090909090908","0.6109090909090908","0.6109090909090908","500","500","500","0.7018181818181817","0.7018181818181817","0.7018181818181817"
"10500","525","525","525","0.6","0.6","0.6","525","525","525","0.5927272727272727","0.5927272727272727","0.5927272727272727","525","525","525","0.5781818181818181","0.5781818181818181","0.5781818181818181","525","525","525","0.7454545454545455","0.7454545454545455","0.7454545454545455","525","525","525","0.6545454545454545","0.6545454545454545","0.6545454545454545","525","525","525","0.6436363636363636","0.6436363636363636","0.6436363636363636","525","525","525","0.629090909090909","0.629090909090909","0.629090909090909","525","525","525","0.5709090909090909","0.5709090909090909","0.5709090909090909","525","525","525","0.5854545454545454","0.5854545454545454","0.5854545454545454","525","525","525","0.6872727272727271","0.6872727272727271","0.6872727272727271"
"11000","550","550","550","0.6218181818181818","0.6218181818181818","0.6218181818181818","550","550","550","0.5418181818181818","0.5418181818181818","0.5418181818181818","550","550","550","0.5890909090909091","0.5890909090909091","0.5890909090909091","550","550","550","0.7454545454545454","0.7454545454545454","0.7454545454545454","550","550","550","0.7163636363636364","0.7163636363636364","0.7163636363636364","550","550","550","0.7345454545454545","0.7345454545454545","0.7345454545454545","550","550","550","0.6","0.6","0.6","550","550","550","0.6909090909090908","0.6909090909090908","0.6909090909090908","550","550","550","0.6581818181818181","0.6581818181818181","0.6581818181818181","550","550","550","0.6836363636363636","0.6836363636363636","0.6836363636363636"
"11500","575","575","575","0.6436363636363636","0.6436363636363636","0.6436363636363636","575","575","575","0.5745454545454546","0.5745454545454546","0.5745454545454546","575","575","575","0.6654545454545455","0.6654545454545455","0.6654545454545455","575","575","575","0.7200000000000002","0.7200000000000002","0.7200000000000002","575","575","575","0.6872727272727274","0.6872727272727274","0.6872727272727274","575","575","575","0.6836363636363636","0.6836363636363636","0.6836363636363636","575","575","575","0.6472727272727272","0.6472727272727272","0.6472727272727272","575","575","575","0.6836363636363636","0.6836363636363636","0.6836363636363636","575","575","575","0.6836363636363637","0.6836363636363637","0.6836363636363637","575","575","575","0.6909090909090909","0.6909090909090909","0.6909090909090909"
"12000","600","600","600","0.64","0.64","0.64","600","600","600","0.6472727272727273","0.6472727272727273","0.6472727272727273","600","600","600","0.7345454545454545","0.7345454545454545","0.7345454545454545","600","600","600","0.6545454545454545","0.6545454545454545","0.6545454545454545","600","600","600","0.6618181818181817","0.6618181818181817","0.6618181818181817","600","600","600","0.6254545454545455","0.6254545454545455","0.6254545454545455","600","600","600","0.5927272727272727","0.5927272727272727","0.5927272727272727","600","600","600","0.6981818181818181","0.6981818181818181","0.6981818181818181","600","600","600","0.6581818181818181","0.6581818181818181","0.6581818181818181","600","600","600","0.6327272727272727","0.6327272727272727","0.6327272727272727"
"12500","625","625","625","0.6654545454545455","0.6654545454545455","0.6654545454545455","625","625","625","0.72","0.72","0.72","625","625","625","0.6690909090909091","0.6690909090909091","0.6690909090909091","625","625","625","0.6945454545454546","0.6945454545454546","0.6945454545454546","625","625","625","0.6436363636363636","0.6436363636363636","0.6436363636363636","625","625","625","0.6509090909090909","0.6509090909090909","0.6509090909090909","625","625","625","0.6727272727272728","0.6727272727272728","0.6727272727272728","625","625","625","0.7236363636363636","0.7236363636363636","0.7236363636363636","625","625","625","0.6981818181818182","0.6981818181818182","0.6981818181818182","625","625","625","0.7018181818181819","0.7018181818181819","0.7018181818181819"
"13000","650","650","650","0.7418181818181817","0.7418181818181817","0.7418181818181817","650","650","650","0.749090909090909","0.749090909090909","0.749090909090909","650","650","650","0.6727272727272726","0.6727272727272726","0.6727272727272726","650","650","650","0.7345454545454545","0.7345454545454545","0.7345454545454545","650","650","650","0.6727272727272728","0.6727272727272728","0.6727272727272728","650","650","650","0.6727272727272726","0.6727272727272726","0.6727272727272726","650","650","650","0.7527272727272727","0.7527272727272727","0.7527272727272727","650","650","650","0.6909090909090909","0.6909090909090909","0.6909090909090909","650","650","650","0.7018181818181819","0.7018181818181819","0.7018181818181819","650","650","650","0.7236363636363636","0.7236363636363636","0.7236363636363636"
"13500","675","675","675","0.7890909090909091","0.7890909090909091","0.7890909090909091","675","675","675","0.72","0.72","0.72","675","675","675","0.749090909090909","0.749090909090909","0.749090909090909","675","675","675","0.6727272727272728","0.6727272727272728","0.6727272727272728","675","675","675","0.6945454545454546","0.6945454545454546","0.6945454545454546","675","675","675","0.6763636363636363","0.6763636363636363","0.6763636363636363","675","675","675","0.7527272727272727","0.7527272727272727","0.7527272727272727","675","675","675","0.7018181818181819","0.7018181818181819","0.7018181818181819","675","675","675","0.7709090909090908","0.7709090909090908","0.7709090909090908","675","675","675","0.7163636363636364","0.7163636363636364","0.7163636363636364"
"14000","700","700","700","0.7672727272727273","0.7672727272727273","0.7672727272727273","700","700","700","0.6727272727272726","0.6727272727272726","0.6727272727272726","700","700","700","0.7600000000000001","0.7600000000000001","0.7600000000000001","700","700","700","0.7163636363636364","0.7163636363636364","0.7163636363636364","700","700","700","0.7018181818181819","0.7018181818181819","0.7018181818181819","700","700","700","0.6836363636363635","0.6836363636363635","0.6836363636363635","700","700","700","0.7745454545454545","0.7745454545454545","0.7745454545454545","700","700","700","0.7781818181818181","0.7781818181818181","0.7781818181818181","700","700","700","0.7854545454545455","0.7854545454545455","0.7854545454545455","700","700","700","0.770909090909091","0.770909090909091","0.770909090909091"
"14500","725","725","725","0.7127272727272727","0.7127272727272727","0.7127272727272727","725","725","725","0.629090909090909","0.629090909090909","0.629090909090909","725","725","725","0.8036363636363636","0.8036363636363636","0.8036363636363636","725","725","725","0.770909090909091","0.770909090909091","0.770909090909091","725","725","725","0.7345454545454545","0.7345454545454545","0.7345454545454545","725","725","725","0.7527272727272727","0.7527272727272727","0.7527272727272727","725","725","725","0.810909090909091","0.810909090909091","0.810909090909091","725","725","725","0.7527272727272728","0.7527272727272728","0.7527272727272728","725","725","725","0.7381818181818183","0.7381818181818183","0.7381818181818183","725","725","725","0.7054545454545454","0.7054545454545454","0.7054545454545454"
"15000","750","750","750","0.7418181818181818","0.7418181818181818","0.7418181818181818","750","750","750","0.6836363636363637","0.6836363636363637","0.6836363636363637","750","750","750","0.7309090909090908","0.7309090909090908","0.7309090909090908","750","750","750","0.72","0.72","0.72","750","750","750","0.7527272727272727","0.7527272727272727","0.7527272727272727","750","750","750","0.8072727272727274","0.8072727272727274","0.8072727272727274","750","750","750","0.7890909090909091","0.7890909090909091","0.7890909090909091","750","750","750","0.7600000000000001","0.7600000000000001","0.7600000000000001","750","750","750","0.7527272727272728","0.7527272727272728","0.7527272727272728","750","750","750","0.7163636363636364","0.7163636363636364","0.7163636363636364"
"15500","775","775","775","0.7418181818181817","0.7418181818181817","0.7418181818181817","775","775","775","0.7527272727272727","0.7527272727272727","0.7527272727272727","775","775","775","0.7163636363636363","0.7163636363636363","0.7163636363636363","775","775","775","0.6981818181818181","0.6981818181818181","0.6981818181818181","775","775","775","0.7636363636363636","0.7636363636363636","0.7636363636363636","775","775","775","0.770909090909091","0.770909090909091","0.770909090909091","775","775","775","0.7418181818181818","0.7418181818181818","0.7418181818181818","775","775","775","0.8145454545454544","0.8145454545454544","0.8145454545454544","775","775","775","0.7527272727272727","0.7527272727272727","0.7527272727272727","775","775","775","0.7927272727272726","0.7927272727272726","0.7927272727272726"
"16000","800","800","800","0.7018181818181819","0.7018181818181819","0.7018181818181819","800","800","800","0.7927272727272726","0.7927272727272726","0.7927272727272726","800","800","800","0.7527272727272728","0.7527272727272728","0.7527272727272728","800","800","800","0.72","0.72","0.72","800","800","800","0.8181818181818182","0.8181818181818182","0.8181818181818182","800","800","800","0.7345454545454545","0.7345454545454545","0.7345454545454545","800","800","800","0.7054545454545454","0.7054545454545454","0.7054545454545454","800","800","800","0.8072727272727274","0.8072727272727274","0.8072727272727274","800","800","800","0.7563636363636362","0.7563636363636362","0.7563636363636362","800","800","800","0.7745454545454545","0.7745454545454545","0.7745454545454545"
"16500","825","825","825","0.7090909090909091","0.7090909090909091","0.7090909090909091","825","825","825","0.7745454545454545","0.7745454545454545","0.7745454545454545","825","825","825","0.749090909090909","0.749090909090909","0.749090909090909","825","825","825","0.7345454545454545","0.7345454545454545","0.7345454545454545","825","825","825","0.8181818181818182","0.8181818181818182","0.8181818181818182","825","825","825","0.7345454545454545","0.7345454545454545","0.7345454545454545","825","825","825","0.7418181818181818","0.7418181818181818","0.7418181818181818","825","825","825","0.8000000000000002","0.8000000000000002","0.8000000000000002","825","825","825","0.749090909090909","0.749090909090909","0.749090909090909","825","825","825","0.7781818181818183","0.7781818181818183","0.7781818181818183"
"17000","850","850","850","0.770909090909091","0.770909090909091","0.770909090909091","850","850","850","0.770909090909091","0.770909090909091","0.770909090909091","850","850","850","0.7781818181818183","0.7781818181818183","0.7781818181818183","850","850","850","0.7927272727272726","0.7927272727272726","0.7927272727272726","850","850","850","0.7854545454545455","0.7854545454545455","0.7854545454545455","850","850","850","0.7672727272727273","0.7672727272727273","0.7672727272727273","850","850","850","0.7745454545454545","0.7745454545454545","0.7745454545454545","850","850","850","0.8072727272727274","0.8072727272727274","0.8072727272727274","850","850","850","0.7163636363636364","0.7163636363636364","0.7163636363636364","850","850","850","0.7636363636363636","0.7636363636363636","0.7636363636363636"
"17500","875","875","875","0.8290909090909092","0.8290909090909092","0.8290909090909092","875","875","875","0.7381818181818182","0.7381818181818182","0.7381818181818182","875","875","875","0.7963636363636364","0.7963636363636364","0.7963636363636364","875","875","875","0.8472727272727271","0.8472727272727271","0.8472727272727271","875","875","875","0.76","0.76","0.76","875","875","875","0.7963636363636364","0.7963636363636364","0.7963636363636364","875","875","875","0.8","0.8","0.8","875","875","875","0.7636363636363636","0.7636363636363636","0.7636363636363636","875","875","875","0.7636363636363636","0.7636363636363636","0.7636363636363636","875","875","875","0.770909090909091","0.770909090909091","0.770909090909091"
