"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - collision_end_mean","peach-sweep-10 - collision_end_mean__MIN","peach-sweep-10 - collision_end_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - collision_end_mean","exalted-sweep-9 - collision_end_mean__MIN","exalted-sweep-9 - collision_end_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - collision_end_mean","balmy-sweep-8 - collision_end_mean__MIN","balmy-sweep-8 - collision_end_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - collision_end_mean","still-sweep-7 - collision_end_mean__MIN","still-sweep-7 - collision_end_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - collision_end_mean","graceful-sweep-6 - collision_end_mean__MIN","graceful-sweep-6 - collision_end_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - collision_end_mean","lively-sweep-5 - collision_end_mean__MIN","lively-sweep-5 - collision_end_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - collision_end_mean","astral-sweep-4 - collision_end_mean__MIN","astral-sweep-4 - collision_end_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - collision_end_mean","light-sweep-3 - collision_end_mean__MIN","light-sweep-3 - collision_end_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - collision_end_mean","eternal-sweep-2 - collision_end_mean__MIN","eternal-sweep-2 - collision_end_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - collision_end_mean","hardy-sweep-1 - collision_end_mean__MIN","hardy-sweep-1 - collision_end_mean__MAX"
"5500","275","275","275","0.08","0.08","0.08","275","275","275","0.16","0.16","0.16","275","275","275","0.04","0.04","0.04","275","275","275","0.16","0.16","0.16","275","275","275","0.16","0.16","0.16","275","275","275","0.08","0.08","0.08","275","275","275","0.08","0.08","0.08","275","275","275","0.08","0.08","0.08","275","275","275","0.12","0.12","0.12","275","275","275","0.04","0.04","0.04"
"6000","300","300","300","0.12","0.12","0.12","300","300","300","0.04","0.04","0.04","300","300","300","0.12","0.12","0.12","300","300","300","0.28","0.28","0.28","300","300","300","0.16","0.16","0.16","300","300","300","0","0","0","300","300","300","0.08","0.08","0.08","300","300","300","0.08","0.08","0.08","300","300","300","0.08","0.08","0.08","300","300","300","0.16","0.16","0.16"
"6500","325","325","325","0.12","0.12","0.12","325","325","325","0.16","0.16","0.16","325","325","325","0.2","0.2","0.2","325","325","325","0.12","0.12","0.12","325","325","325","0.08","0.08","0.08","325","325","325","0.04","0.04","0.04","325","325","325","0.12","0.12","0.12","325","325","325","0.16","0.16","0.16","325","325","325","0.2","0.2","0.2","325","325","325","0.12","0.12","0.12"
"7000","350","350","350","0.08","0.08","0.08","350","350","350","0.04","0.04","0.04","350","350","350","0.16","0.16","0.16","350","350","350","0.16","0.16","0.16","350","350","350","0.08","0.08","0.08","350","350","350","0.08","0.08","0.08","350","350","350","0.12","0.12","0.12","350","350","350","0.16","0.16","0.16","350","350","350","0.12","0.12","0.12","350","350","350","0.16","0.16","0.16"
"7500","375","375","375","0.12","0.12","0.12","375","375","375","0.08","0.08","0.08","375","375","375","0.08","0.08","0.08","375","375","375","0.24","0.24","0.24","375","375","375","0.16","0.16","0.16","375","375","375","0.12","0.12","0.12","375","375","375","0.04","0.04","0.04","375","375","375","0.12","0.12","0.12","375","375","375","0.08","0.08","0.08","375","375","375","0.08","0.08","0.08"
"8000","400","400","400","0.08","0.08","0.08","400","400","400","0.2","0.2","0.2","400","400","400","0.16","0.16","0.16","400","400","400","0.16","0.16","0.16","400","400","400","0.16","0.16","0.16","400","400","400","0.16","0.16","0.16","400","400","400","0.12","0.12","0.12","400","400","400","0.12","0.12","0.12","400","400","400","0.16","0.16","0.16","400","400","400","0","0","0"
"8500","425","425","425","0.12","0.12","0.12","425","425","425","0.16","0.16","0.16","425","425","425","0.2","0.2","0.2","425","425","425","0.16","0.16","0.16","425","425","425","0.16","0.16","0.16","425","425","425","0.08","0.08","0.08","425","425","425","0.12","0.12","0.12","425","425","425","0.2","0.2","0.2","425","425","425","0.16","0.16","0.16","425","425","425","0","0","0"
"9000","450","450","450","0.16","0.16","0.16","450","450","450","0.12","0.12","0.12","450","450","450","0.04","0.04","0.04","450","450","450","0.16","0.16","0.16","450","450","450","0.16","0.16","0.16","450","450","450","0.12","0.12","0.12","450","450","450","0.08","0.08","0.08","450","450","450","0.2","0.2","0.2","450","450","450","0.28","0.28","0.28","450","450","450","0.08","0.08","0.08"
"9500","475","475","475","0.16","0.16","0.16","475","475","475","0.24","0.24","0.24","475","475","475","0.16","0.16","0.16","475","475","475","0.24","0.24","0.24","475","475","475","0.16","0.16","0.16","475","475","475","0.2","0.2","0.2","475","475","475","0.12","0.12","0.12","475","475","475","0.08","0.08","0.08","475","475","475","0.24","0.24","0.24","475","475","475","0.16","0.16","0.16"
"10000","500","500","500","0.2","0.2","0.2","500","500","500","0.28","0.28","0.28","500","500","500","0.24","0.24","0.24","500","500","500","0.2","0.2","0.2","500","500","500","0.16","0.16","0.16","500","500","500","0.16","0.16","0.16","500","500","500","0.16","0.16","0.16","500","500","500","0.08","0.08","0.08","500","500","500","0.12","0.12","0.12","500","500","500","0.08","0.08","0.08"
"10500","525","525","525","0.16","0.16","0.16","525","525","525","0.32","0.32","0.32","525","525","525","0.28","0.28","0.28","525","525","525","0.2","0.2","0.2","525","525","525","0.12","0.12","0.12","525","525","525","0.16","0.16","0.16","525","525","525","0.24","0.24","0.24","525","525","525","0.12","0.12","0.12","525","525","525","0.08","0.08","0.08","525","525","525","0.08","0.08","0.08"
"11000","550","550","550","0.2","0.2","0.2","550","550","550","0.2","0.2","0.2","550","550","550","0.28","0.28","0.28","550","550","550","0.24","0.24","0.24","550","550","550","0.16","0.16","0.16","550","550","550","0.16","0.16","0.16","550","550","550","0.28","0.28","0.28","550","550","550","0.2","0.2","0.2","550","550","550","0.08","0.08","0.08","550","550","550","0.16","0.16","0.16"
"11500","575","575","575","0.2","0.2","0.2","575","575","575","0.16","0.16","0.16","575","575","575","0.16","0.16","0.16","575","575","575","0.24","0.24","0.24","575","575","575","0.12","0.12","0.12","575","575","575","0.28","0.28","0.28","575","575","575","0.16","0.16","0.16","575","575","575","0.2","0.2","0.2","575","575","575","0.08","0.08","0.08","575","575","575","0.16","0.16","0.16"
"12000","600","600","600","0.16","0.16","0.16","600","600","600","0.2","0.2","0.2","600","600","600","0.16","0.16","0.16","600","600","600","0.16","0.16","0.16","600","600","600","0.16","0.16","0.16","600","600","600","0.32","0.32","0.32","600","600","600","0.12","0.12","0.12","600","600","600","0.2","0.2","0.2","600","600","600","0.12","0.12","0.12","600","600","600","0.16","0.16","0.16"
"12500","625","625","625","0.16","0.16","0.16","625","625","625","0.24","0.24","0.24","625","625","625","0.2","0.2","0.2","625","625","625","0.12","0.12","0.12","625","625","625","0.24","0.24","0.24","625","625","625","0.2","0.2","0.2","625","625","625","0.2","0.2","0.2","625","625","625","0.24","0.24","0.24","625","625","625","0.16","0.16","0.16","625","625","625","0.16","0.16","0.16"
"13000","650","650","650","0.16","0.16","0.16","650","650","650","0.2","0.2","0.2","650","650","650","0.2","0.2","0.2","650","650","650","0.16","0.16","0.16","650","650","650","0.28","0.28","0.28","650","650","650","0.16","0.16","0.16","650","650","650","0.28","0.28","0.28","650","650","650","0.2","0.2","0.2","650","650","650","0.2","0.2","0.2","650","650","650","0.24","0.24","0.24"
"13500","675","675","675","0.24","0.24","0.24","675","675","675","0.2","0.2","0.2","675","675","675","0.2","0.2","0.2","675","675","675","0.24","0.24","0.24","675","675","675","0.4","0.4","0.4","675","675","675","0.12","0.12","0.12","675","675","675","0.28","0.28","0.28","675","675","675","0.28","0.28","0.28","675","675","675","0.24","0.24","0.24","675","675","675","0.2","0.2","0.2"
"14000","700","700","700","0.28","0.28","0.28","700","700","700","0.2","0.2","0.2","700","700","700","0.24","0.24","0.24","700","700","700","0.2","0.2","0.2","700","700","700","0.2","0.2","0.2","700","700","700","0.28","0.28","0.28","700","700","700","0.28","0.28","0.28","700","700","700","0.32","0.32","0.32","700","700","700","0.2","0.2","0.2","700","700","700","0.16","0.16","0.16"
"14500","725","725","725","0.2","0.2","0.2","725","725","725","0.24","0.24","0.24","725","725","725","0.2","0.2","0.2","725","725","725","0.28","0.28","0.28","725","725","725","0.2","0.2","0.2","725","725","725","0.36","0.36","0.36","725","725","725","0.28","0.28","0.28","725","725","725","0.28","0.28","0.28","725","725","725","0.4","0.4","0.4","725","725","725","0.16","0.16","0.16"
"15000","750","750","750","0.16","0.16","0.16","750","750","750","0.2","0.2","0.2","750","750","750","0.16","0.16","0.16","750","750","750","0.36","0.36","0.36","750","750","750","0.36","0.36","0.36","750","750","750","0.24","0.24","0.24","750","750","750","0.24","0.24","0.24","750","750","750","0.32","0.32","0.32","750","750","750","0.28","0.28","0.28","750","750","750","0.16","0.16","0.16"
"15500","775","775","775","0.2","0.2","0.2","775","775","775","0.28","0.28","0.28","775","775","775","0.2","0.2","0.2","775","775","775","0.28","0.28","0.28","775","775","775","0.32","0.32","0.32","775","775","775","0.2","0.2","0.2","775","775","775","0.32","0.32","0.32","775","775","775","0.32","0.32","0.32","775","775","775","0.2","0.2","0.2","775","775","775","0.36","0.36","0.36"
"16000","800","800","800","0.28","0.28","0.28","800","800","800","0.28","0.28","0.28","800","800","800","0.24","0.24","0.24","800","800","800","0.2","0.2","0.2","800","800","800","0.24","0.24","0.24","800","800","800","0.16","0.16","0.16","800","800","800","0.44","0.44","0.44","800","800","800","0.16","0.16","0.16","800","800","800","0.12","0.12","0.12","800","800","800","0.32","0.32","0.32"
"16500","825","825","825","0.32","0.32","0.32","825","825","825","0.32","0.32","0.32","825","825","825","0.2","0.2","0.2","825","825","825","0.24","0.24","0.24","825","825","825","0.2","0.2","0.2","825","825","825","0.2","0.2","0.2","825","825","825","0.28","0.28","0.28","825","825","825","0.2","0.2","0.2","825","825","825","0.2","0.2","0.2","825","825","825","0.24","0.24","0.24"
"17000","850","850","850","0.28","0.28","0.28","850","850","850","0.24","0.24","0.24","850","850","850","0.2","0.2","0.2","850","850","850","0.16","0.16","0.16","850","850","850","0.2","0.2","0.2","850","850","850","0.2","0.2","0.2","850","850","850","0.28","0.28","0.28","850","850","850","0.28","0.28","0.28","850","850","850","0.24","0.24","0.24","850","850","850","0.32","0.32","0.32"
"17500","875","875","875","0.24","0.24","0.24","875","875","875","0.28","0.28","0.28","875","875","875","0.24","0.24","0.24","875","875","875","0.12","0.12","0.12","875","875","875","0.28","0.28","0.28","875","875","875","0.32","0.32","0.32","875","875","875","0.2","0.2","0.2","875","875","875","0.36","0.36","0.36","875","875","875","0.28","0.28","0.28","875","875","875","0.28","0.28","0.28"
"18000","900","900","900","0.28","0.28","0.28","900","900","900","0.28","0.28","0.28","900","900","900","0.16","0.16","0.16","900","900","900","0.2","0.2","0.2","900","900","900","0.24","0.24","0.24","900","900","900","0.32","0.32","0.32","900","900","900","0.2","0.2","0.2","900","900","900","0.32","0.32","0.32","900","900","900","0.36","0.36","0.36","900","900","900","0.24","0.24","0.24"
"18500","925","925","925","0.36","0.36","0.36","925","925","925","0.36","0.36","0.36","925","925","925","0.36","0.36","0.36","925","925","925","0.28","0.28","0.28","925","925","925","0.24","0.24","0.24","925","925","925","0.24","0.24","0.24","925","925","925","0.24","0.24","0.24","925","925","925","0.16","0.16","0.16","925","925","925","0.36","0.36","0.36","925","925","925","0.28","0.28","0.28"
"19000","950","950","950","0.36","0.36","0.36","950","950","950","0.36","0.36","0.36","950","950","950","0.36","0.36","0.36","950","950","950","0.24","0.24","0.24","950","950","950","0.2","0.2","0.2","950","950","950","0.36","0.36","0.36","950","950","950","0.16","0.16","0.16","950","950","950","0.2","0.2","0.2","950","950","950","0.36","0.36","0.36","950","950","950","0.28","0.28","0.28"
"19500","975","975","975","0.24","0.24","0.24","975","975","975","0.24","0.24","0.24","975","975","975","0.48","0.48","0.48","975","975","975","0.28","0.28","0.28","975","975","975","0.28","0.28","0.28","975","975","975","0.28","0.28","0.28","975","975","975","0.16","0.16","0.16","975","975","975","0.32","0.32","0.32","975","975","975","0.36","0.36","0.36","975","975","975","0.4","0.4","0.4"
"20500","1025","1025","1025","0.28","0.28","0.28","1025","1025","1025","0.2","0.2","0.2","1025","1025","1025","0.32","0.32","0.32","1025","1025","1025","0.44","0.44","0.44","1025","1025","1025","0.28","0.28","0.28","1025","1025","1025","0.32","0.32","0.32","1025","1025","1025","0.32","0.32","0.32","1025","1025","1025","0.32","0.32","0.32","1025","1025","1025","0.36","0.36","0.36","1025","1025","1025","0.28","0.28","0.28"
"21000","1050","1050","1050","0.32","0.32","0.32","1050","1050","1050","0.24","0.24","0.24","1050","1050","1050","0.28","0.28","0.28","1050","1050","1050","0.28","0.28","0.28","1050","1050","1050","0.4","0.4","0.4","1050","1050","1050","0.32","0.32","0.32","1050","1050","1050","0.48","0.48","0.48","1050","1050","1050","0.32","0.32","0.32","1050","1050","1050","0.36","0.36","0.36","1050","1050","1050","0.36","0.36","0.36"
"21500","1075","1075","1075","0.32","0.32","0.32","1075","1075","1075","0.24","0.24","0.24","1075","1075","1075","0.28","0.28","0.28","1075","1075","1075","0.2","0.2","0.2","1075","1075","1075","0.36","0.36","0.36","1075","1075","1075","0.28","0.28","0.28","1075","1075","1075","0.4","0.4","0.4","1075","1075","1075","0.16","0.16","0.16","1075","1075","1075","0.24","0.24","0.24","1075","1075","1075","0.28","0.28","0.28"
"22000","1100","1100","1100","0.32","0.32","0.32","1100","1100","1100","0.28","0.28","0.28","1100","1100","1100","0.28","0.28","0.28","1100","1100","1100","0.28","0.28","0.28","1100","1100","1100","0.32","0.32","0.32","1100","1100","1100","0.2","0.2","0.2","1100","1100","1100","0.36","0.36","0.36","1100","1100","1100","0.2","0.2","0.2","1100","1100","1100","0.28","0.28","0.28","1100","1100","1100","0.24","0.24","0.24"
"22500","1125","1125","1125","0.32","0.32","0.32","1125","1125","1125","0.32","0.32","0.32","1125","1125","1125","0.28","0.28","0.28","1125","1125","1125","0.24","0.24","0.24","1125","1125","1125","0.24","0.24","0.24","1125","1125","1125","0.2","0.2","0.2","1125","1125","1125","0.32","0.32","0.32","1125","1125","1125","0.24","0.24","0.24","1125","1125","1125","0.44","0.44","0.44","1125","1125","1125","0.16","0.16","0.16"
"23000","1150","1150","1150","0.4","0.4","0.4","1150","1150","1150","0.48","0.48","0.48","1150","1150","1150","0.2","0.2","0.2","1150","1150","1150","0.28","0.28","0.28","1150","1150","1150","0.16","0.16","0.16","1150","1150","1150","0.24","0.24","0.24","1150","1150","1150","0.32","0.32","0.32","1150","1150","1150","0.36","0.36","0.36","1150","1150","1150","0.36","0.36","0.36","1150","1150","1150","0.16","0.16","0.16"
"23500","1175","1175","1175","0.4","0.4","0.4","1175","1175","1175","0.48","0.48","0.48","1175","1175","1175","0.2","0.2","0.2","1175","1175","1175","0.44","0.44","0.44","1175","1175","1175","0.2","0.2","0.2","1175","1175","1175","0.32","0.32","0.32","1175","1175","1175","0.36","0.36","0.36","1175","1175","1175","0.4","0.4","0.4","1175","1175","1175","0.32","0.32","0.32","1175","1175","1175","0.2","0.2","0.2"
"24000","1200","1200","1200","0.28","0.28","0.28","1200","1200","1200","0.2","0.2","0.2","1200","1200","1200","0.28","0.28","0.28","1200","1200","1200","0.44","0.44","0.44","1200","1200","1200","0.24","0.24","0.24","1200","1200","1200","0.32","0.32","0.32","1200","1200","1200","0.4","0.4","0.4","1200","1200","1200","0.32","0.32","0.32","1200","1200","1200","0.36","0.36","0.36","1200","1200","1200","0.28","0.28","0.28"
"24500","1225","1225","1225","0.24","0.24","0.24","1225","1225","1225","0.2","0.2","0.2","1225","1225","1225","0.2","0.2","0.2","1225","1225","1225","0.4","0.4","0.4","1225","1225","1225","0.28","0.28","0.28","1225","1225","1225","0.2","0.2","0.2","1225","1225","1225","0.44","0.44","0.44","1225","1225","1225","0.24","0.24","0.24","1225","1225","1225","0.36","0.36","0.36","1225","1225","1225","0.24","0.24","0.24"
"25000","1250","1250","1250","0.24","0.24","0.24","1250","1250","1250","0.36","0.36","0.36","1250","1250","1250","0.24","0.24","0.24","1250","1250","1250","0.36","0.36","0.36","1250","1250","1250","0.24","0.24","0.24","1250","1250","1250","0.32","0.32","0.32","1250","1250","1250","0.44","0.44","0.44","1250","1250","1250","0.24","0.24","0.24","1250","1250","1250","0.4","0.4","0.4","1250","1250","1250","0.32","0.32","0.32"
"25500","1275","1275","1275","0.2","0.2","0.2","1275","1275","1275","0.4","0.4","0.4","1275","1275","1275","0.24","0.24","0.24","1275","1275","1275","0.36","0.36","0.36","1275","1275","1275","0.16","0.16","0.16","1275","1275","1275","0.2","0.2","0.2","1275","1275","1275","0.36","0.36","0.36","1275","1275","1275","0.28","0.28","0.28","1275","1275","1275","0.48","0.48","0.48","1275","1275","1275","0.28","0.28","0.28"
"26000","1300","1300","1300","0.08","0.08","0.08","1300","1300","1300","0.28","0.28","0.28","1300","1300","1300","0.28","0.28","0.28","1300","1300","1300","0.32","0.32","0.32","1300","1300","1300","0.24","0.24","0.24","1300","1300","1300","0.32","0.32","0.32","1300","1300","1300","0.36","0.36","0.36","1300","1300","1300","0.32","0.32","0.32","1300","1300","1300","0.28","0.28","0.28","1300","1300","1300","0.28","0.28","0.28"
"26500","1325","1325","1325","0.24","0.24","0.24","1325","1325","1325","0.32","0.32","0.32","1325","1325","1325","0.36","0.36","0.36","1325","1325","1325","0.36","0.36","0.36","1325","1325","1325","0.32","0.32","0.32","1325","1325","1325","0.28","0.28","0.28","1325","1325","1325","0.28","0.28","0.28","1325","1325","1325","0.32","0.32","0.32","1325","1325","1325","0.24","0.24","0.24","1325","1325","1325","0.4","0.4","0.4"
"27000","1350","1350","1350","0.28","0.28","0.28","1350","1350","1350","0.32","0.32","0.32","1350","1350","1350","0.44","0.44","0.44","1350","1350","1350","0.36","0.36","0.36","1350","1350","1350","0.48","0.48","0.48","1350","1350","1350","0.2","0.2","0.2","1350","1350","1350","0.28","0.28","0.28","1350","1350","1350","0.28","0.28","0.28","1350","1350","1350","0.28","0.28","0.28","1350","1350","1350","0.36","0.36","0.36"
"27500","1375","1375","1375","0.4","0.4","0.4","1375","1375","1375","0.28","0.28","0.28","1375","1375","1375","0.28","0.28","0.28","1375","1375","1375","0.2","0.2","0.2","1375","1375","1375","0.36","0.36","0.36","1375","1375","1375","0.24","0.24","0.24","1375","1375","1375","0.28","0.28","0.28","1375","1375","1375","0.32","0.32","0.32","1375","1375","1375","0.32","0.32","0.32","1375","1375","1375","0.28","0.28","0.28"
"28000","1400","1400","1400","0.24","0.24","0.24","1400","1400","1400","0.4","0.4","0.4","1400","1400","1400","0.32","0.32","0.32","1400","1400","1400","0.28","0.28","0.28","1400","1400","1400","0.28","0.28","0.28","1400","1400","1400","0.32","0.32","0.32","1400","1400","1400","0.24","0.24","0.24","1400","1400","1400","0.32","0.32","0.32","1400","1400","1400","0.32","0.32","0.32","1400","1400","1400","0.36","0.36","0.36"
"28500","1425","1425","1425","0.24","0.24","0.24","1425","1425","1425","0.32","0.32","0.32","1425","1425","1425","0.4","0.4","0.4","1425","1425","1425","0.24","0.24","0.24","1425","1425","1425","0.28","0.28","0.28","1425","1425","1425","0.28","0.28","0.28","1425","1425","1425","0.36","0.36","0.36","1425","1425","1425","0.12","0.12","0.12","1425","1425","1425","0.28","0.28","0.28","1425","1425","1425","0.32","0.32","0.32"
"29000","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.24","0.24","0.24","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.32","0.32","0.32","1450","1450","1450","0.28","0.28","0.28","1450","1450","1450","0.2","0.2","0.2","1450","1450","1450","0.24","0.24","0.24"
"29500","1475","1475","1475","0.44","0.44","0.44","1475","1475","1475","0.4","0.4","0.4","1475","1475","1475","0.28","0.28","0.28","1475","1475","1475","0.28","0.28","0.28","1475","1475","1475","0.4","0.4","0.4","1475","1475","1475","0.4","0.4","0.4","1475","1475","1475","0.28","0.28","0.28","1475","1475","1475","0.32","0.32","0.32","1475","1475","1475","0.44","0.44","0.44","1475","1475","1475","0.44","0.44","0.44"
"30000","1500","1500","1500","0.36","0.36","0.36","1500","1500","1500","0.44","0.44","0.44","1500","1500","1500","0.36","0.36","0.36","1500","1500","1500","0.28","0.28","0.28","1500","1500","1500","0.48","0.48","0.48","1500","1500","1500","0.48","0.48","0.48","1500","1500","1500","0.32","0.32","0.32","1500","1500","1500","0.4","0.4","0.4","1500","1500","1500","0.4","0.4","0.4","1500","1500","1500","0.44","0.44","0.44"
"30500","1525","1525","1525","0.4","0.4","0.4","1525","1525","1525","0.48","0.48","0.48","1525","1525","1525","0.28","0.28","0.28","1525","1525","1525","0.4","0.4","0.4","1525","1525","1525","0.48","0.48","0.48","1525","1525","1525","0.4","0.4","0.4","1525","1525","1525","0.32","0.32","0.32","1525","1525","1525","0.4","0.4","0.4","1525","1525","1525","0.32","0.32","0.32","1525","1525","1525","0.28","0.28","0.28"
"31000","1550","1550","1550","0.36","0.36","0.36","1550","1550","1550","0.4","0.4","0.4","1550","1550","1550","0.24","0.24","0.24","1550","1550","1550","0.48","0.48","0.48","1550","1550","1550","0.52","0.52","0.52","1550","1550","1550","0.36","0.36","0.36","1550","1550","1550","0.36","0.36","0.36","1550","1550","1550","0.36","0.36","0.36","1550","1550","1550","0.44","0.44","0.44","1550","1550","1550","0.32","0.32","0.32"
