"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_avg_eval_r_mean","snowy-sweep-2 - expert_avg_eval_r_mean__MIN","snowy-sweep-2 - expert_avg_eval_r_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_avg_eval_r_mean","sweet-sweep-9 - expert_avg_eval_r_mean__MIN","sweet-sweep-9 - expert_avg_eval_r_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_avg_eval_r_mean","pleasant-sweep-8 - expert_avg_eval_r_mean__MIN","pleasant-sweep-8 - expert_avg_eval_r_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_avg_eval_r_mean","apricot-sweep-7 - expert_avg_eval_r_mean__MIN","apricot-sweep-7 - expert_avg_eval_r_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_avg_eval_r_mean","fanciful-sweep-6 - expert_avg_eval_r_mean__MIN","fanciful-sweep-6 - expert_avg_eval_r_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_avg_eval_r_mean","polished-sweep-5 - expert_avg_eval_r_mean__MIN","polished-sweep-5 - expert_avg_eval_r_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_avg_eval_r_mean","sunny-sweep-4 - expert_avg_eval_r_mean__MIN","sunny-sweep-4 - expert_avg_eval_r_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_avg_eval_r_mean","earthy-sweep-3 - expert_avg_eval_r_mean__MIN","earthy-sweep-3 - expert_avg_eval_r_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_avg_eval_r_mean","pious-sweep-2 - expert_avg_eval_r_mean__MIN","pious-sweep-2 - expert_avg_eval_r_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_avg_eval_r_mean","rich-sweep-1 - expert_avg_eval_r_mean__MIN","rich-sweep-1 - expert_avg_eval_r_mean__MAX"
"24000","30","30","30","29.502236750227112","29.502236750227112","29.502236750227112","30","30","30","31.246558458718507","31.246558458718507","31.246558458718507","30","30","30","25.235869357714176","25.235869357714176","25.235869357714176","30","30","30","28.841535920511937","28.841535920511937","28.841535920511937","30","30","30","25.478049624011156","25.478049624011156","25.478049624011156","30","30","30","26.78021243585709","26.78021243585709","26.78021243585709","30","30","30","29.20825286139257","29.20825286139257","29.20825286139257","30","30","30","26.626281152268227","26.626281152268227","26.626281152268227","30","30","30","28.398574646703516","28.398574646703516","28.398574646703516","30","30","30","24.66052639752659","24.66052639752659","24.66052639752659"
"25600","32","32","32","28.831507856186292","28.831507856186292","28.831507856186292","32","32","32","32.66052093293052","32.66052093293052","32.66052093293052","32","32","32","25.08262961181707","25.08262961181707","25.08262961181707","32","32","32","28.765751617255756","28.765751617255756","28.765751617255756","32","32","32","25.822061884555687","25.822061884555687","25.822061884555687","32","32","32","27.63898528876825","27.63898528876825","27.63898528876825","32","32","32","29.252153187906117","29.252153187906117","29.252153187906117","32","32","32","28.17478696117718","28.17478696117718","28.17478696117718","32","32","32","28.757963870042328","28.757963870042328","28.757963870042328","32","32","32","25.585637348702278","25.585637348702278","25.585637348702278"
"27200","34","34","34","29.562822417485247","29.562822417485247","29.562822417485247","34","34","34","32.54366813173402","32.54366813173402","32.54366813173402","34","34","34","24.99640178812826","24.99640178812826","24.99640178812826","34","34","34","28.63760521213394","28.63760521213394","28.63760521213394","34","34","34","25.965618088334065","25.965618088334065","25.965618088334065","34","34","34","27.362665092158316","27.362665092158316","27.362665092158316","34","34","34","28.466065632200582","28.466065632200582","28.466065632200582","34","34","34","29.447163656971533","29.447163656971533","29.447163656971533","34","34","34","29.062773197830317","29.062773197830317","29.062773197830317","34","34","34","26.187372911552075","26.187372911552075","26.187372911552075"
"28800","36","36","36","29.30624147926391","29.30624147926391","29.30624147926391","36","36","36","32.53567437220256","32.53567437220256","32.53567437220256","36","36","36","25.434018811478197","25.434018811478197","25.434018811478197","36","36","36","28.922894283540433","28.922894283540433","28.922894283540433","36","36","36","27.2778734123071","27.2778734123071","27.2778734123071","36","36","36","28.16171325814955","28.16171325814955","28.16171325814955","36","36","36","28.294742690474614","28.294742690474614","28.294742690474614","36","36","36","30.003189204188597","30.003189204188597","30.003189204188597","36","36","36","29.372778260689383","29.372778260689383","29.372778260689383","36","36","36","26.399797851931528","26.399797851931528","26.399797851931528"
"30400","38","38","38","30.4290325887842","30.4290325887842","30.4290325887842","38","38","38","32.575402401655374","32.575402401655374","32.575402401655374","38","38","38","25.36679438068775","25.36679438068775","25.36679438068775","38","38","38","29.28873404105281","29.28873404105281","29.28873404105281","38","38","38","26.666513281219338","26.666513281219338","26.666513281219338","38","38","38","27.548145660898243","27.548145660898243","27.548145660898243","38","38","38","28.308623330875843","28.308623330875843","28.308623330875843","38","38","38","31.206284374298033","31.206284374298033","31.206284374298033","38","38","38","29.772431037814464","29.772431037814464","29.772431037814464","38","38","38","27.684532852895256","27.684532852895256","27.684532852895256"
"32000","40","40","40","30.476121020161553","30.476121020161553","30.476121020161553","40","40","40","33.502067388264834","33.502067388264834","33.502067388264834","40","40","40","26.18717588459029","26.18717588459029","26.18717588459029","40","40","40","29.343854826928975","29.343854826928975","29.343854826928975","40","40","40","27.026952068079208","27.026952068079208","27.026952068079208","40","40","40","27.651242328577194","27.651242328577194","27.651242328577194","40","40","40","27.88821241927659","27.88821241927659","27.88821241927659","40","40","40","32.181578715152185","32.181578715152185","32.181578715152185","40","40","40","29.536105896575293","29.536105896575293","29.536105896575293","40","40","40","28.312003545222723","28.312003545222723","28.312003545222723"
"33600","42","42","42","30.28840527055857","30.28840527055857","30.28840527055857","42","42","42","33.657127360372435","33.657127360372435","33.657127360372435","42","42","42","26.141721088994466","26.141721088994466","26.141721088994466","42","42","42","29.280285245739123","29.280285245739123","29.280285245739123","42","42","42","27.629148057715454","27.629148057715454","27.629148057715454","42","42","42","27.159048129081405","27.159048129081405","27.159048129081405","42","42","42","28.760653701899795","28.760653701899795","28.760653701899795","42","42","42","33.11509687697075","33.11509687697075","33.11509687697075","42","42","42","29.840434167860334","29.840434167860334","29.840434167860334","42","42","42","28.373962414236992","28.373962414236992","28.373962414236992"
"35200","44","44","44","30.548049403307836","30.548049403307836","30.548049403307836","44","44","44","33.71902674753866","33.71902674753866","33.71902674753866","44","44","44","26.43765492211904","26.43765492211904","26.43765492211904","44","44","44","28.867532799139347","28.867532799139347","28.867532799139347","44","44","44","27.891750496807337","27.891750496807337","27.891750496807337","44","44","44","27.77095730579075","27.77095730579075","27.77095730579075","44","44","44","29.860565485857343","29.860565485857343","29.860565485857343","44","44","44","34.026146611245075","34.026146611245075","34.026146611245075","44","44","44","29.502441993931583","29.502441993931583","29.502441993931583","44","44","44","28.412779896617657","28.412779896617657","28.412779896617657"
"36800","46","46","46","30.266580708097816","30.266580708097816","30.266580708097816","46","46","46","33.647709700962054","33.647709700962054","33.647709700962054","46","46","46","27.277506438302048","27.277506438302048","27.277506438302048","46","46","46","28.567116836559446","28.567116836559446","28.567116836559446","46","46","46","27.962821021843528","27.962821021843528","27.962821021843528","46","46","46","28.137107999484115","28.137107999484115","28.137107999484115","46","46","46","30.437382268254925","30.437382268254925","30.437382268254925","46","46","46","34.168291910501104","34.168291910501104","34.168291910501104","46","46","46","29.66371301844227","29.66371301844227","29.66371301844227","46","46","46","28.955277228944045","28.955277228944045","28.955277228944045"
"38400","48","48","48","30.287240617679824","30.287240617679824","30.287240617679824","48","48","48","33.40207262522411","33.40207262522411","33.40207262522411","48","48","48","26.87412840847001","26.87412840847001","26.87412840847001","48","48","48","29.05802805579242","29.05802805579242","29.05802805579242","48","48","48","28.28757885344045","28.28757885344045","28.28757885344045","48","48","48","28.781771443945175","28.781771443945175","28.781771443945175","48","48","48","31.43019979503853","31.43019979503853","31.43019979503853","48","48","48","34.95732320791563","34.95732320791563","34.95732320791563","48","48","48","29.602045540761278","29.602045540761278","29.602045540761278","48","48","48","28.936155519609972","28.936155519609972","28.936155519609972"
"40000","50","50","50","30.841132528503834","30.841132528503834","30.841132528503834","50","50","50","34.08593552662413","34.08593552662413","34.08593552662413","50","50","50","27.69136947646924","27.69136947646924","27.69136947646924","50","50","50","29.192637853088822","29.192637853088822","29.192637853088822","50","50","50","27.964916907606927","27.964916907606927","27.964916907606927","50","50","50","28.849484338607724","28.849484338607724","28.849484338607724","50","50","50","32.22948477151073","32.22948477151073","32.22948477151073","50","50","50","35.77602371027853","35.77602371027853","35.77602371027853","50","50","50","29.529109604834165","29.529109604834165","29.529109604834165","50","50","50","29.410984901584744","29.410984901584744","29.410984901584744"
"41600","52","52","52","32.005397418091555","32.005397418091555","32.005397418091555","52","52","52","34.313896499088855","34.313896499088855","34.313896499088855","52","52","52","28.21645901158672","28.21645901158672","28.21645901158672","52","52","52","29.42477303901289","29.42477303901289","29.42477303901289","52","52","52","28.309112507985432","28.309112507985432","28.309112507985432","52","52","52","29.813538328507413","29.813538328507413","29.813538328507413","52","52","52","33.347635040101835","33.347635040101835","33.347635040101835","52","52","52","36.476022450269724","36.476022450269724","36.476022450269724","52","52","52","30.602151601664985","30.602151601664985","30.602151601664985","52","52","52","30.055594809651","30.055594809651","30.055594809651"
"43200","54","54","54","32.82506619873889","32.82506619873889","32.82506619873889","54","54","54","34.33869357788265","34.33869357788265","34.33869357788265","54","54","54","29.078312746782878","29.078312746782878","29.078312746782878","54","54","54","29.87777580343278","29.87777580343278","29.87777580343278","54","54","54","28.49552814245293","28.49552814245293","28.49552814245293","54","54","54","29.822565929457514","29.822565929457514","29.822565929457514","54","54","54","34.20954797783691","34.20954797783691","34.20954797783691","54","54","54","36.851790417490854","36.851790417490854","36.851790417490854","54","54","54","31.138508790639175","31.138508790639175","31.138508790639175","54","54","54","30.402041949022777","30.402041949022777","30.402041949022777"
"44800","56","56","56","32.75571984176662","32.75571984176662","32.75571984176662","56","56","56","35.75061265863215","35.75061265863215","35.75061265863215","56","56","56","30.004399722828076","30.004399722828076","30.004399722828076","56","56","56","29.651668336971525","29.651668336971525","29.651668336971525","56","56","56","28.37845680342987","28.37845680342987","28.37845680342987","56","56","56","30.740484742247812","30.740484742247812","30.740484742247812","56","56","56","34.59911110523867","34.59911110523867","34.59911110523867","56","56","56","37.86644414716831","37.86644414716831","37.86644414716831","56","56","56","31.740667950291968","31.740667950291968","31.740667950291968","56","56","56","32.12411761873754","32.12411761873754","32.12411761873754"
"46400","58","58","58","33.2770259550575","33.2770259550575","33.2770259550575","58","58","58","36.6714747075153","36.6714747075153","36.6714747075153","58","58","58","30.789434003136158","30.789434003136158","30.789434003136158","58","58","58","29.796632226774147","29.796632226774147","29.796632226774147","58","58","58","28.32896573866057","28.32896573866057","28.32896573866057","58","58","58","32.03039582502707","32.03039582502707","32.03039582502707","58","58","58","35.158680518302","35.158680518302","35.158680518302","58","58","58","38.813168084483365","38.813168084483365","38.813168084483365","58","58","58","31.84944139979637","31.84944139979637","31.84944139979637","58","58","58","31.661689835242885","31.661689835242885","31.661689835242885"
"48000","60","60","60","33.02254320630493","33.02254320630493","33.02254320630493","60","60","60","37.31033803026135","37.31033803026135","37.31033803026135","60","60","60","31.143979684644776","31.143979684644776","31.143979684644776","60","60","60","29.933434023307676","29.933434023307676","29.933434023307676","60","60","60","28.906938657886414","28.906938657886414","28.906938657886414","60","60","60","32.332625327327136","32.332625327327136","32.332625327327136","60","60","60","36.0165673232911","36.0165673232911","36.0165673232911","60","60","60","39.124835029498044","39.124835029498044","39.124835029498044","60","60","60","31.553178950051926","31.553178950051926","31.553178950051926","60","60","60","32.719327834162726","32.719327834162726","32.719327834162726"
"49600","62","62","62","33.300206067895495","33.300206067895495","33.300206067895495","62","62","62","37.408476526533285","37.408476526533285","37.408476526533285","62","62","62","31.63552777603901","31.63552777603901","31.63552777603901","62","62","62","29.74873403356817","29.74873403356817","29.74873403356817","62","62","62","29.30402290972039","29.30402290972039","29.30402290972039","62","62","62","33.12183535768737","33.12183535768737","33.12183535768737","62","62","62","35.55027267090989","35.55027267090989","35.55027267090989","62","62","62","40.14263684171149","40.14263684171149","40.14263684171149","62","62","62","31.82992160187609","31.82992160187609","31.82992160187609","62","62","62","33.028112631871416","33.028112631871416","33.028112631871416"
"51200","64","64","64","32.95021325908388","32.95021325908388","32.95021325908388","64","64","64","38.493377992329414","38.493377992329414","38.493377992329414","64","64","64","31.174254493083332","31.174254493083332","31.174254493083332","64","64","64","30.28959539958391","30.28959539958391","30.28959539958391","64","64","64","29.209882716884575","29.209882716884575","29.209882716884575","64","64","64","34.175028622230386","34.175028622230386","34.175028622230386","64","64","64","36.238544807592724","36.238544807592724","36.238544807592724","64","64","64","41.039736086345656","41.039736086345656","41.039736086345656","64","64","64","32.15281571667243","32.15281571667243","32.15281571667243","64","64","64","33.838126482196195","33.838126482196195","33.838126482196195"
"52800","66","66","66","33.899578365136364","33.899578365136364","33.899578365136364","66","66","66","40.115963971928835","40.115963971928835","40.115963971928835","66","66","66","30.94933362606508","30.94933362606508","30.94933362606508","66","66","66","30.12777654092157","30.12777654092157","30.12777654092157","66","66","66","29.446793671857098","29.446793671857098","29.446793671857098","66","66","66","35.26696619315835","35.26696619315835","35.26696619315835","66","66","66","36.19355969322637","36.19355969322637","36.19355969322637","66","66","66","42.304133812481275","42.304133812481275","42.304133812481275","66","66","66","32.493274276693306","32.493274276693306","32.493274276693306","66","66","66","33.884698327924596","33.884698327924596","33.884698327924596"
"54400","68","68","68","33.76950628647729","33.76950628647729","33.76950628647729","68","68","68","40.93485007664397","40.93485007664397","40.93485007664397","68","68","68","31.007374826210672","31.007374826210672","31.007374826210672","68","68","68","30.600022316451113","30.600022316451113","30.600022316451113","68","68","68","30.035255673092298","30.035255673092298","30.035255673092298","68","68","68","35.53099594182164","35.53099594182164","35.53099594182164","68","68","68","35.98294858035443","35.98294858035443","35.98294858035443","68","68","68","42.553923625644664","42.553923625644664","42.553923625644664","68","68","68","32.32217442062367","32.32217442062367","32.32217442062367","68","68","68","34.814317606227476","34.814317606227476","34.814317606227476"
"56000","70","70","70","34.536264270874405","34.536264270874405","34.536264270874405","70","70","70","41.10196117151997","41.10196117151997","41.10196117151997","70","70","70","30.741136744048475","30.741136744048475","30.741136744048475","70","70","70","31.0336091441905","31.0336091441905","31.0336091441905","70","70","70","30.588935805724862","30.588935805724862","30.588935805724862","70","70","70","35.25930524354643","35.25930524354643","35.25930524354643","70","70","70","37.034627851052285","37.034627851052285","37.034627851052285","70","70","70","42.53494829025866","42.53494829025866","42.53494829025866","70","70","70","32.58113241038977","32.58113241038977","32.58113241038977","70","70","70","35.70250735074453","35.70250735074453","35.70250735074453"
"57600","72","72","72","35.78162399371549","35.78162399371549","35.78162399371549","72","72","72","41.3423362519484","41.3423362519484","41.3423362519484","72","72","72","31.00952489956934","31.00952489956934","31.00952489956934","72","72","72","31.029194385727006","31.029194385727006","31.029194385727006","72","72","72","30.391969773807286","30.391969773807286","30.391969773807286","72","72","72","35.74114883050261","35.74114883050261","35.74114883050261","72","72","72","37.72708362021501","37.72708362021501","37.72708362021501","72","72","72","42.60306095018376","42.60306095018376","42.60306095018376","72","72","72","32.654558498671946","32.654558498671946","32.654558498671946","72","72","72","36.94573689378227","36.94573689378227","36.94573689378227"
