"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean__MIN","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean__MIN","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean__MIN","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean__MIN","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean__MIN","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean__MIN","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean__MIN","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean__MIN","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean__MIN","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean__MIN","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean__MAX"
"16000","20","20","20","0.2727272727272727","0.2727272727272727","0.2727272727272727","20","20","20","0.4545454545454546","0.4545454545454546","0.4545454545454546","20","20","20","0.6060606060606061","0.6060606060606061","0.6060606060606061","20","20","20","0.48484848484848486","0.48484848484848486","0.48484848484848486","20","20","20","0.393939393939394","0.393939393939394","0.393939393939394","20","20","20","0.7272727272727272","0.7272727272727272","0.7272727272727272","20","20","20","0.42424242424242425","0.42424242424242425","0.42424242424242425","20","20","20","0.42424242424242425","0.42424242424242425","0.42424242424242425","20","20","20","0.48484848484848486","0.48484848484848486","0.48484848484848486","20","20","20","0.4545454545454546","0.4545454545454546","0.4545454545454546"
"17600","22","22","22","0.3636363636363636","0.3636363636363636","0.3636363636363636","22","22","22","0.6060606060606061","0.6060606060606061","0.6060606060606061","22","22","22","0.24242424242424243","0.24242424242424243","0.24242424242424243","22","22","22","0.5151515151515151","0.5151515151515151","0.5151515151515151","22","22","22","0.6363636363636364","0.6363636363636364","0.6363636363636364","22","22","22","0.4545454545454546","0.4545454545454546","0.4545454545454546","22","22","22","0.5454545454545454","0.5454545454545454","0.5454545454545454","22","22","22","0.6060606060606061","0.6060606060606061","0.6060606060606061","22","22","22","0.6666666666666666","0.6666666666666666","0.6666666666666666","22","22","22","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"19200","24","24","24","0.5757575757575758","0.5757575757575758","0.5757575757575758","24","24","24","0.6666666666666666","0.6666666666666666","0.6666666666666666","24","24","24","0.4545454545454546","0.4545454545454546","0.4545454545454546","24","24","24","0.7575757575757575","0.7575757575757575","0.7575757575757575","24","24","24","0.6060606060606061","0.6060606060606061","0.6060606060606061","24","24","24","0.6666666666666666","0.6666666666666666","0.6666666666666666","24","24","24","0.30303030303030304","0.30303030303030304","0.30303030303030304","24","24","24","0.7575757575757577","0.7575757575757577","0.7575757575757577","24","24","24","0.3333333333333333","0.3333333333333333","0.3333333333333333","24","24","24","0.42424242424242425","0.42424242424242425","0.42424242424242425"
"20800","26","26","26","0.8484848484848485","0.8484848484848485","0.8484848484848485","26","26","26","0.6969696969696969","0.6969696969696969","0.6969696969696969","26","26","26","0.5151515151515151","0.5151515151515151","0.5151515151515151","26","26","26","0.5151515151515151","0.5151515151515151","0.5151515151515151","26","26","26","0.24242424242424243","0.24242424242424243","0.24242424242424243","26","26","26","0.5151515151515151","0.5151515151515151","0.5151515151515151","26","26","26","0.6060606060606061","0.6060606060606061","0.6060606060606061","26","26","26","0.6363636363636364","0.6363636363636364","0.6363636363636364","26","26","26","0.6363636363636364","0.6363636363636364","0.6363636363636364","26","26","26","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"22400","28","28","28","0.6363636363636364","0.6363636363636364","0.6363636363636364","28","28","28","0.6666666666666666","0.6666666666666666","0.6666666666666666","28","28","28","0.4242424242424243","0.4242424242424243","0.4242424242424243","28","28","28","0.5151515151515151","0.5151515151515151","0.5151515151515151","28","28","28","0.42424242424242425","0.42424242424242425","0.42424242424242425","28","28","28","0.30303030303030304","0.30303030303030304","0.30303030303030304","28","28","28","0.7272727272727272","0.7272727272727272","0.7272727272727272","28","28","28","0.30303030303030304","0.30303030303030304","0.30303030303030304","28","28","28","0.8181818181818182","0.8181818181818182","0.8181818181818182","28","28","28","0.42424242424242425","0.42424242424242425","0.42424242424242425"
"24000","30","30","30","0.6969696969696969","0.6969696969696969","0.6969696969696969","30","30","30","0.6060606060606061","0.6060606060606061","0.6060606060606061","30","30","30","0.6666666666666666","0.6666666666666666","0.6666666666666666","30","30","30","0.5757575757575757","0.5757575757575757","0.5757575757575757","30","30","30","0.5151515151515151","0.5151515151515151","0.5151515151515151","30","30","30","0.6363636363636364","0.6363636363636364","0.6363636363636364","30","30","30","0.8484848484848485","0.8484848484848485","0.8484848484848485","30","30","30","0.45454545454545453","0.45454545454545453","0.45454545454545453","30","30","30","0.7575757575757575","0.7575757575757575","0.7575757575757575","30","30","30","0.787878787878788","0.787878787878788","0.787878787878788"
"25600","32","32","32","0.3333333333333333","0.3333333333333333","0.3333333333333333","32","32","32","0.9090909090909091","0.9090909090909091","0.9090909090909091","32","32","32","0.45454545454545453","0.45454545454545453","0.45454545454545453","32","32","32","0.5454545454545454","0.5454545454545454","0.5454545454545454","32","32","32","0.5454545454545454","0.5454545454545454","0.5454545454545454","32","32","32","0.7575757575757575","0.7575757575757575","0.7575757575757575","32","32","32","0.5454545454545454","0.5454545454545454","0.5454545454545454","32","32","32","0.8484848484848485","0.8484848484848485","0.8484848484848485","32","32","32","0.7272727272727272","0.7272727272727272","0.7272727272727272","32","32","32","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"27200","34","34","34","0.6969696969696969","0.6969696969696969","0.6969696969696969","34","34","34","0.5151515151515151","0.5151515151515151","0.5151515151515151","34","34","34","0.42424242424242425","0.42424242424242425","0.42424242424242425","34","34","34","0.5454545454545454","0.5454545454545454","0.5454545454545454","34","34","34","0.5454545454545454","0.5454545454545454","0.5454545454545454","34","34","34","0.42424242424242425","0.42424242424242425","0.42424242424242425","34","34","34","0.2727272727272727","0.2727272727272727","0.2727272727272727","34","34","34","0.8787878787878788","0.8787878787878788","0.8787878787878788","34","34","34","0.6969696969696969","0.6969696969696969","0.6969696969696969","34","34","34","0.5757575757575757","0.5757575757575757","0.5757575757575757"
"28800","36","36","36","0.48484848484848486","0.48484848484848486","0.48484848484848486","36","36","36","0.5454545454545454","0.5454545454545454","0.5454545454545454","36","36","36","0.6969696969696969","0.6969696969696969","0.6969696969696969","36","36","36","0.6666666666666666","0.6666666666666666","0.6666666666666666","36","36","36","0.9090909090909091","0.9090909090909091","0.9090909090909091","36","36","36","0.787878787878788","0.787878787878788","0.787878787878788","36","36","36","0.39393939393939387","0.39393939393939387","0.39393939393939387","36","36","36","0.6666666666666666","0.6666666666666666","0.6666666666666666","36","36","36","0.7272727272727272","0.7272727272727272","0.7272727272727272","36","36","36","0.48484848484848486","0.48484848484848486","0.48484848484848486"
"30400","38","38","38","0.9090909090909091","0.9090909090909091","0.9090909090909091","38","38","38","0.5454545454545455","0.5454545454545455","0.5454545454545455","38","38","38","0.4545454545454546","0.4545454545454546","0.4545454545454546","38","38","38","0.6969696969696969","0.6969696969696969","0.6969696969696969","38","38","38","0.2727272727272727","0.2727272727272727","0.2727272727272727","38","38","38","0.30303030303030304","0.30303030303030304","0.30303030303030304","38","38","38","0.4848484848484848","0.4848484848484848","0.4848484848484848","38","38","38","0.9090909090909091","0.9090909090909091","0.9090909090909091","38","38","38","0.7575757575757575","0.7575757575757575","0.7575757575757575","38","38","38","0.7878787878787877","0.7878787878787877","0.7878787878787877"
"32000","40","40","40","0.606060606060606","0.606060606060606","0.606060606060606","40","40","40","0.787878787878788","0.787878787878788","0.787878787878788","40","40","40","0.8181818181818182","0.8181818181818182","0.8181818181818182","40","40","40","0.5454545454545454","0.5454545454545454","0.5454545454545454","40","40","40","0.7272727272727272","0.7272727272727272","0.7272727272727272","40","40","40","0.606060606060606","0.606060606060606","0.606060606060606","40","40","40","0.3636363636363636","0.3636363636363636","0.3636363636363636","40","40","40","0.8787878787878788","0.8787878787878788","0.8787878787878788","40","40","40","0.5454545454545454","0.5454545454545454","0.5454545454545454","40","40","40","0.6969696969696969","0.6969696969696969","0.6969696969696969"
"33600","42","42","42","0.5757575757575757","0.5757575757575757","0.5757575757575757","42","42","42","0.6363636363636364","0.6363636363636364","0.6363636363636364","42","42","42","0.5757575757575757","0.5757575757575757","0.5757575757575757","42","42","42","0.5757575757575758","0.5757575757575758","0.5757575757575758","42","42","42","0.8181818181818182","0.8181818181818182","0.8181818181818182","42","42","42","0.30303030303030304","0.30303030303030304","0.30303030303030304","42","42","42","0.8181818181818182","0.8181818181818182","0.8181818181818182","42","42","42","0.9090909090909091","0.9090909090909091","0.9090909090909091","42","42","42","0.7272727272727272","0.7272727272727272","0.7272727272727272","42","42","42","0.5151515151515151","0.5151515151515151","0.5151515151515151"
"35200","44","44","44","0.7272727272727272","0.7272727272727272","0.7272727272727272","44","44","44","0.6060606060606061","0.6060606060606061","0.6060606060606061","44","44","44","0.6060606060606061","0.6060606060606061","0.6060606060606061","44","44","44","0.3636363636363637","0.3636363636363637","0.3636363636363637","44","44","44","0.7272727272727272","0.7272727272727272","0.7272727272727272","44","44","44","0.8484848484848485","0.8484848484848485","0.8484848484848485","44","44","44","0.9090909090909091","0.9090909090909091","0.9090909090909091","44","44","44","0.9090909090909091","0.9090909090909091","0.9090909090909091","44","44","44","0.4545454545454546","0.4545454545454546","0.4545454545454546","44","44","44","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"36800","46","46","46","0.5151515151515151","0.5151515151515151","0.5151515151515151","46","46","46","0.5757575757575757","0.5757575757575757","0.5757575757575757","46","46","46","0.9090909090909091","0.9090909090909091","0.9090909090909091","46","46","46","0.42424242424242425","0.42424242424242425","0.42424242424242425","46","46","46","0.6969696969696969","0.6969696969696969","0.6969696969696969","46","46","46","0.7575757575757575","0.7575757575757575","0.7575757575757575","46","46","46","0.7575757575757575","0.7575757575757575","0.7575757575757575","46","46","46","0.6363636363636364","0.6363636363636364","0.6363636363636364","46","46","46","0.6666666666666666","0.6666666666666666","0.6666666666666666","46","46","46","0.7575757575757577","0.7575757575757577","0.7575757575757577"
"38400","48","48","48","0.6666666666666666","0.6666666666666666","0.6666666666666666","48","48","48","0.48484848484848486","0.48484848484848486","0.48484848484848486","48","48","48","0.30303030303030304","0.30303030303030304","0.30303030303030304","48","48","48","0.8181818181818182","0.8181818181818182","0.8181818181818182","48","48","48","0.7575757575757577","0.7575757575757577","0.7575757575757577","48","48","48","0.9090909090909091","0.9090909090909091","0.9090909090909091","48","48","48","0.9090909090909091","0.9090909090909091","0.9090909090909091","48","48","48","0.9090909090909091","0.9090909090909091","0.9090909090909091","48","48","48","0.6363636363636364","0.6363636363636364","0.6363636363636364","48","48","48","0.5151515151515151","0.5151515151515151","0.5151515151515151"
"40000","50","50","50","0.8181818181818182","0.8181818181818182","0.8181818181818182","50","50","50","0.9090909090909091","0.9090909090909091","0.9090909090909091","50","50","50","0.9090909090909091","0.9090909090909091","0.9090909090909091","50","50","50","0.6363636363636364","0.6363636363636364","0.6363636363636364","50","50","50","0.39393939393939387","0.39393939393939387","0.39393939393939387","50","50","50","0.6363636363636364","0.6363636363636364","0.6363636363636364","50","50","50","0.9090909090909091","0.9090909090909091","0.9090909090909091","50","50","50","0.9090909090909091","0.9090909090909091","0.9090909090909091","50","50","50","0.5757575757575758","0.5757575757575758","0.5757575757575758","50","50","50","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"41600","52","52","52","0.7878787878787877","0.7878787878787877","0.7878787878787877","52","52","52","0.5151515151515151","0.5151515151515151","0.5151515151515151","52","52","52","0.6363636363636364","0.6363636363636364","0.6363636363636364","52","52","52","0.48484848484848486","0.48484848484848486","0.48484848484848486","52","52","52","0.6060606060606061","0.6060606060606061","0.6060606060606061","52","52","52","0.9090909090909091","0.9090909090909091","0.9090909090909091","52","52","52","0.8181818181818182","0.8181818181818182","0.8181818181818182","52","52","52","0.6969696969696969","0.6969696969696969","0.6969696969696969","52","52","52","0.9090909090909091","0.9090909090909091","0.9090909090909091","52","52","52","0.5757575757575757","0.5757575757575757","0.5757575757575757"
"43200","54","54","54","0.8181818181818182","0.8181818181818182","0.8181818181818182","54","54","54","0.45454545454545453","0.45454545454545453","0.45454545454545453","54","54","54","0.8181818181818182","0.8181818181818182","0.8181818181818182","54","54","54","0.7272727272727272","0.7272727272727272","0.7272727272727272","54","54","54","0.6363636363636364","0.6363636363636364","0.6363636363636364","54","54","54","0.6969696969696969","0.6969696969696969","0.6969696969696969","54","54","54","0.8787878787878788","0.8787878787878788","0.8787878787878788","54","54","54","0.7272727272727272","0.7272727272727272","0.7272727272727272","54","54","54","0.6969696969696969","0.6969696969696969","0.6969696969696969","54","54","54","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"44800","56","56","56","0.6969696969696969","0.6969696969696969","0.6969696969696969","56","56","56","0.9090909090909091","0.9090909090909091","0.9090909090909091","56","56","56","0.9090909090909091","0.9090909090909091","0.9090909090909091","56","56","56","0.5151515151515152","0.5151515151515152","0.5151515151515152","56","56","56","0.5757575757575758","0.5757575757575758","0.5757575757575758","56","56","56","0.8181818181818182","0.8181818181818182","0.8181818181818182","56","56","56","0.606060606060606","0.606060606060606","0.606060606060606","56","56","56","0.8181818181818182","0.8181818181818182","0.8181818181818182","56","56","56","0.6969696969696969","0.6969696969696969","0.6969696969696969","56","56","56","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"46400","58","58","58","0.8181818181818182","0.8181818181818182","0.8181818181818182","58","58","58","0.9090909090909091","0.9090909090909091","0.9090909090909091","58","58","58","0.8181818181818182","0.8181818181818182","0.8181818181818182","58","58","58","0.6060606060606061","0.6060606060606061","0.6060606060606061","58","58","58","0.45454545454545453","0.45454545454545453","0.45454545454545453","58","58","58","0.8484848484848485","0.8484848484848485","0.8484848484848485","58","58","58","0.6363636363636364","0.6363636363636364","0.6363636363636364","58","58","58","0.6363636363636364","0.6363636363636364","0.6363636363636364","58","58","58","0.7272727272727272","0.7272727272727272","0.7272727272727272","58","58","58","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"48000","60","60","60","0.42424242424242425","0.42424242424242425","0.42424242424242425","60","60","60","0.8484848484848485","0.8484848484848485","0.8484848484848485","60","60","60","0.5757575757575757","0.5757575757575757","0.5757575757575757","60","60","60","0.5757575757575758","0.5757575757575758","0.5757575757575758","60","60","60","0.7575757575757575","0.7575757575757575","0.7575757575757575","60","60","60","0.8181818181818182","0.8181818181818182","0.8181818181818182","60","60","60","0.9090909090909091","0.9090909090909091","0.9090909090909091","60","60","60","0.6969696969696969","0.6969696969696969","0.6969696969696969","60","60","60","0.3333333333333333","0.3333333333333333","0.3333333333333333","60","60","60","0.7575757575757575","0.7575757575757575","0.7575757575757575"
"49600","62","62","62","0.7272727272727272","0.7272727272727272","0.7272727272727272","62","62","62","0.8484848484848485","0.8484848484848485","0.8484848484848485","62","62","62","0.6666666666666666","0.6666666666666666","0.6666666666666666","62","62","62","0.7575757575757577","0.7575757575757577","0.7575757575757577","62","62","62","0.6060606060606061","0.6060606060606061","0.6060606060606061","62","62","62","0.8181818181818182","0.8181818181818182","0.8181818181818182","62","62","62","0.48484848484848486","0.48484848484848486","0.48484848484848486","62","62","62","0.7272727272727272","0.7272727272727272","0.7272727272727272","62","62","62","0.6666666666666666","0.6666666666666666","0.6666666666666666","62","62","62","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"51200","64","64","64","0.5454545454545454","0.5454545454545454","0.5454545454545454","64","64","64","0.7575757575757575","0.7575757575757575","0.7575757575757575","64","64","64","0.42424242424242425","0.42424242424242425","0.42424242424242425","64","64","64","0.7575757575757575","0.7575757575757575","0.7575757575757575","64","64","64","0.787878787878788","0.787878787878788","0.787878787878788","64","64","64","0.9090909090909091","0.9090909090909091","0.9090909090909091","64","64","64","0.8181818181818182","0.8181818181818182","0.8181818181818182","64","64","64","0.9090909090909091","0.9090909090909091","0.9090909090909091","64","64","64","0.8181818181818182","0.8181818181818182","0.8181818181818182","64","64","64","0.6060606060606061","0.6060606060606061","0.6060606060606061"
