"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_avg_eval_r_mean","wandering-sweep-4 - agent_avg_eval_r_mean__MIN","wandering-sweep-4 - agent_avg_eval_r_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_avg_eval_r_mean","sweet-sweep-3 - agent_avg_eval_r_mean__MIN","sweet-sweep-3 - agent_avg_eval_r_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_avg_eval_r_mean","lucky-sweep-2 - agent_avg_eval_r_mean__MIN","lucky-sweep-2 - agent_avg_eval_r_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_avg_eval_r_mean","clear-sweep-1 - agent_avg_eval_r_mean__MIN","clear-sweep-1 - agent_avg_eval_r_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_avg_eval_r_mean","playful-sweep-10 - agent_avg_eval_r_mean__MIN","playful-sweep-10 - agent_avg_eval_r_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_avg_eval_r_mean","fresh-sweep-8 - agent_avg_eval_r_mean__MIN","fresh-sweep-8 - agent_avg_eval_r_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_avg_eval_r_mean","jumping-sweep-5 - agent_avg_eval_r_mean__MIN","jumping-sweep-5 - agent_avg_eval_r_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_avg_eval_r_mean","good-sweep-4 - agent_avg_eval_r_mean__MIN","good-sweep-4 - agent_avg_eval_r_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_avg_eval_r_mean","sandy-sweep-3 - agent_avg_eval_r_mean__MIN","sandy-sweep-3 - agent_avg_eval_r_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_avg_eval_r_mean","youthful-sweep-1 - agent_avg_eval_r_mean__MIN","youthful-sweep-1 - agent_avg_eval_r_mean__MAX"
"15000","50","50","50","24.38450028573599","24.38450028573599","24.38450028573599","50","50","50","21.033844204220593","21.033844204220593","21.033844204220593","50","50","50","18.544081009324543","18.544081009324543","18.544081009324543","50","50","50","21.749161994775207","21.749161994775207","21.749161994775207","50","50","50","18.77088124598641","18.77088124598641","18.77088124598641","50","50","50","21.064125980115726","21.064125980115726","21.064125980115726","50","50","50","19.29897540051882","19.29897540051882","19.29897540051882","50","50","50","19.735335659310863","19.735335659310863","19.735335659310863","50","50","50","23.075723135794874","23.075723135794874","23.075723135794874","50","50","50","22.228021096025195","22.228021096025195","22.228021096025195"
"16500","55","55","55","24.35538033514807","24.35538033514807","24.35538033514807","55","55","55","22.350566166563684","22.350566166563684","22.350566166563684","55","55","55","18.206999920109034","18.206999920109034","18.206999920109034","55","55","55","21.13229662866925","21.13229662866925","21.13229662866925","55","55","55","18.758669682767113","18.758669682767113","18.758669682767113","55","55","55","20.421958160096434","20.421958160096434","20.421958160096434","55","55","55","20.455652520286137","20.455652520286137","20.455652520286137","55","55","55","20.60043843737202","20.60043843737202","20.60043843737202","55","55","55","22.54540442359613","22.54540442359613","22.54540442359613","55","55","55","22.54114062660989","22.54114062660989","22.54114062660989"
"18000","60","60","60","24.085939793314253","24.085939793314253","24.085939793314253","60","60","60","22.845329312560295","22.845329312560295","22.845329312560295","60","60","60","18.08604134960252","18.08604134960252","18.08604134960252","60","60","60","20.759119922075282","20.759119922075282","20.759119922075282","60","60","60","17.95579983740483","17.95579983740483","17.95579983740483","60","60","60","19.8428891628124","19.8428891628124","19.8428891628124","60","60","60","20.30478559325851","20.30478559325851","20.30478559325851","60","60","60","21.067754103439324","21.067754103439324","21.067754103439324","60","60","60","22.302211214010384","22.302211214010384","22.302211214010384","60","60","60","22.411033651868475","22.411033651868475","22.411033651868475"
"19500","65","65","65","23.379822686878985","23.379822686878985","23.379822686878985","65","65","65","23.193525719025182","23.193525719025182","23.193525719025182","65","65","65","18.115822690744714","18.115822690744714","18.115822690744714","65","65","65","20.47240846958776","20.47240846958776","20.47240846958776","65","65","65","17.761995456102753","17.761995456102753","17.761995456102753","65","65","65","20.02002793798081","20.02002793798081","20.02002793798081","65","65","65","20.541464061454484","20.541464061454484","20.541464061454484","65","65","65","21.17746071563707","21.17746071563707","21.17746071563707","65","65","65","22.007845044864993","22.007845044864993","22.007845044864993","65","65","65","22.215631224685946","22.215631224685946","22.215631224685946"
"21000","70","70","70","22.85302243150598","22.85302243150598","22.85302243150598","70","70","70","23.099123735466804","23.099123735466804","23.099123735466804","70","70","70","18.43730066074563","18.43730066074563","18.43730066074563","70","70","70","20.13194064658934","20.13194064658934","20.13194064658934","70","70","70","17.292874872403704","17.292874872403704","17.292874872403704","70","70","70","20.598947456323575","20.598947456323575","20.598947456323575","70","70","70","19.902006974869405","19.902006974869405","19.902006974869405","70","70","70","21.88090216954738","21.88090216954738","21.88090216954738","70","70","70","21.84863667779103","21.84863667779103","21.84863667779103","70","70","70","22.505871638106708","22.505871638106708","22.505871638106708"
"22500","75","75","75","22.477012961048803","22.477012961048803","22.477012961048803","75","75","75","22.893472030125583","22.893472030125583","22.893472030125583","75","75","75","18.53035916004952","18.53035916004952","18.53035916004952","75","75","75","19.721336416839296","19.721336416839296","19.721336416839296","75","75","75","17.081573343319842","17.081573343319842","17.081573343319842","75","75","75","21.348743227941092","21.348743227941092","21.348743227941092","75","75","75","20.127683419096524","20.127683419096524","20.127683419096524","75","75","75","21.30970496861133","21.30970496861133","21.30970496861133","75","75","75","22.255362913893713","22.255362913893713","22.255362913893713","75","75","75","21.828712588861205","21.828712588861205","21.828712588861205"
"24000","80","80","80","21.9339895265868","21.9339895265868","21.9339895265868","80","80","80","22.386968481672362","22.386968481672362","22.386968481672362","80","80","80","18.687079909396655","18.687079909396655","18.687079909396655","80","80","80","19.604571731860524","19.604571731860524","19.604571731860524","80","80","80","17.78259908045404","17.78259908045404","17.78259908045404","80","80","80","22.43004232294009","22.43004232294009","22.43004232294009","80","80","80","20.15203543628021","20.15203543628021","20.15203543628021","80","80","80","21.75349589598671","21.75349589598671","21.75349589598671","80","80","80","21.909445831443886","21.909445831443886","21.909445831443886","80","80","80","22.00198389288648","22.00198389288648","22.00198389288648"
"25500","85","85","85","22.09409771115888","22.09409771115888","22.09409771115888","85","85","85","22.26169244857632","22.26169244857632","22.26169244857632","85","85","85","18.792951299061606","18.792951299061606","18.792951299061606","85","85","85","19.65557657446982","19.65557657446982","19.65557657446982","85","85","85","17.614167511589617","17.614167511589617","17.614167511589617","85","85","85","22.213135891973625","22.213135891973625","22.213135891973625","85","85","85","20.236082614695906","20.236082614695906","20.236082614695906","85","85","85","21.90831160791232","21.90831160791232","21.90831160791232","85","85","85","21.22250480199226","21.22250480199226","21.22250480199226","85","85","85","21.93350285375125","21.93350285375125","21.93350285375125"
"27000","90","90","90","22.974385117607294","22.974385117607294","22.974385117607294","90","90","90","22.13026221332279","22.13026221332279","22.13026221332279","90","90","90","18.437316832647273","18.437316832647273","18.437316832647273","90","90","90","19.24424668582228","19.24424668582228","19.24424668582228","90","90","90","18.337740862916114","18.337740862916114","18.337740862916114","90","90","90","22.236741959987683","22.236741959987683","22.236741959987683","90","90","90","21.56163563206552","21.56163563206552","21.56163563206552","90","90","90","21.9361537761197","21.9361537761197","21.9361537761197","90","90","90","20.937741203950072","20.937741203950072","20.937741203950072","90","90","90","21.437788045743243","21.437788045743243","21.437788045743243"
"28500","95","95","95","22.891480344279802","22.891480344279802","22.891480344279802","95","95","95","23.14165071195744","23.14165071195744","23.14165071195744","95","95","95","18.648059489649132","18.648059489649132","18.648059489649132","95","95","95","18.9797141710133","18.9797141710133","18.9797141710133","95","95","95","18.366540652573768","18.366540652573768","18.366540652573768","95","95","95","21.803003185929228","21.803003185929228","21.803003185929228","95","95","95","21.6658747666178","21.6658747666178","21.6658747666178","95","95","95","21.864103339150617","21.864103339150617","21.864103339150617","95","95","95","21.450722709643237","21.450722709643237","21.450722709643237","95","95","95","21.465971813405975","21.465971813405975","21.465971813405975"
"30000","100","100","100","22.64373637098164","22.64373637098164","22.64373637098164","100","100","100","23.35196427833396","23.35196427833396","23.35196427833396","100","100","100","18.876871437325246","18.876871437325246","18.876871437325246","100","100","100","18.91133956533255","18.91133956533255","18.91133956533255","100","100","100","18.910836425977696","18.910836425977696","18.910836425977696","100","100","100","22.50460404742276","22.50460404742276","22.50460404742276","100","100","100","21.451394339475346","21.451394339475346","21.451394339475346","100","100","100","22.339764865440422","22.339764865440422","22.339764865440422","100","100","100","21.424357247887897","21.424357247887897","21.424357247887897","100","100","100","21.79738376791635","21.79738376791635","21.79738376791635"
"31500","105","105","105","22.469419568257155","22.469419568257155","22.469419568257155","105","105","105","23.20853973945527","23.20853973945527","23.20853973945527","105","105","105","18.64149308871541","18.64149308871541","18.64149308871541","105","105","105","18.91208723801191","18.91208723801191","18.91208723801191","105","105","105","18.8894726717583","18.8894726717583","18.8894726717583","105","105","105","22.905540338644244","22.905540338644244","22.905540338644244","105","105","105","21.77550342292663","21.77550342292663","21.77550342292663","105","105","105","22.74962788309145","22.74962788309145","22.74962788309145","105","105","105","21.24648906445332","21.24648906445332","21.24648906445332","105","105","105","21.817958435809093","21.817958435809093","21.817958435809093"
"33000","110","110","110","22.60328987961412","22.60328987961412","22.60328987961412","110","110","110","23.09465899942263","23.09465899942263","23.09465899942263","110","110","110","18.71455071066411","18.71455071066411","18.71455071066411","110","110","110","18.66102743989356","18.66102743989356","18.66102743989356","110","110","110","18.537812308957026","18.537812308957026","18.537812308957026","110","110","110","23.29903013075184","23.29903013075184","23.29903013075184","110","110","110","21.518186497817464","21.518186497817464","21.518186497817464","110","110","110","22.580546660338495","22.580546660338495","22.580546660338495","110","110","110","20.979834324958798","20.979834324958798","20.979834324958798","110","110","110","22.487658915017143","22.487658915017143","22.487658915017143"
"34500","115","115","115","22.977961271238108","22.977961271238108","22.977961271238108","115","115","115","22.981752597322597","22.981752597322597","22.981752597322597","115","115","115","18.877779381543736","18.877779381543736","18.877779381543736","115","115","115","18.620947082703644","18.620947082703644","18.620947082703644","115","115","115","18.339112074454263","18.339112074454263","18.339112074454263","115","115","115","23.26668163652572","23.26668163652572","23.26668163652572","115","115","115","21.736613949400706","21.736613949400706","21.736613949400706","115","115","115","22.564947038961826","22.564947038961826","22.564947038961826","115","115","115","21.073333897226977","21.073333897226977","21.073333897226977","115","115","115","23.146280438792324","23.146280438792324","23.146280438792324"
"36000","120","120","120","22.594300538746243","22.594300538746243","22.594300538746243","120","120","120","22.63144670178832","22.63144670178832","22.63144670178832","120","120","120","18.783390890807965","18.783390890807965","18.783390890807965","120","120","120","18.772487428000044","18.772487428000044","18.772487428000044","120","120","120","18.236825426937063","18.236825426937063","18.236825426937063","120","120","120","23.388547754346263","23.388547754346263","23.388547754346263","120","120","120","21.960606925960537","21.960606925960537","21.960606925960537","120","120","120","22.652204718074994","22.652204718074994","22.652204718074994","120","120","120","21.343788180850407","21.343788180850407","21.343788180850407","120","120","120","23.589105580371765","23.589105580371765","23.589105580371765"
"37500","125","125","125","22.975023994249753","22.975023994249753","22.975023994249753","125","125","125","22.493047217170773","22.493047217170773","22.493047217170773","125","125","125","19.196933817656163","19.196933817656163","19.196933817656163","125","125","125","18.813679233997462","18.813679233997462","18.813679233997462","125","125","125","18.08473924108853","18.08473924108853","18.08473924108853","125","125","125","23.724723451407453","23.724723451407453","23.724723451407453","125","125","125","22.08378330926725","22.08378330926725","22.08378330926725","125","125","125","22.450776176917326","22.450776176917326","22.450776176917326","125","125","125","21.089082794328633","21.089082794328633","21.089082794328633","125","125","125","23.475505364118423","23.475505364118423","23.475505364118423"
"39000","130","130","130","23.299161760294115","23.299161760294115","23.299161760294115","130","130","130","22.338297782156783","22.338297782156783","22.338297782156783","130","130","130","19.568297444323044","19.568297444323044","19.568297444323044","130","130","130","18.810591182318312","18.810591182318312","18.810591182318312","130","130","130","18.339802928986856","18.339802928986856","18.339802928986856","130","130","130","24.042844554129776","24.042844554129776","24.042844554129776","130","130","130","21.74002981585099","21.74002981585099","21.74002981585099","130","130","130","22.385674032837343","22.385674032837343","22.385674032837343","130","130","130","21.207223056458734","21.207223056458734","21.207223056458734","130","130","130","23.906594662177802","23.906594662177802","23.906594662177802"
"40500","135","135","135","23.551497929215884","23.551497929215884","23.551497929215884","135","135","135","22.704843828984416","22.704843828984416","22.704843828984416","135","135","135","19.24951353164339","19.24951353164339","19.24951353164339","135","135","135","18.604964978983897","18.604964978983897","18.604964978983897","135","135","135","18.30794485125954","18.30794485125954","18.30794485125954","135","135","135","24.946072702837387","24.946072702837387","24.946072702837387","135","135","135","21.84611451192224","21.84611451192224","21.84611451192224","135","135","135","23.01771603018088","23.01771603018088","23.01771603018088","135","135","135","20.937659845522163","20.937659845522163","20.937659845522163","135","135","135","24.306660290217092","24.306660290217092","24.306660290217092"
"42000","140","140","140","23.374689298422656","23.374689298422656","23.374689298422656","140","140","140","22.709190457982405","22.709190457982405","22.709190457982405","140","140","140","19.46130505582122","19.46130505582122","19.46130505582122","140","140","140","18.384547234580182","18.384547234580182","18.384547234580182","140","140","140","17.901681639567677","17.901681639567677","17.901681639567677","140","140","140","24.983863413001313","24.983863413001313","24.983863413001313","140","140","140","21.761374159052234","21.761374159052234","21.761374159052234","140","140","140","23.183522548571695","23.183522548571695","23.183522548571695","140","140","140","20.605900389242002","20.605900389242002","20.605900389242002","140","140","140","24.2142016277778","24.2142016277778","24.2142016277778"
"43500","145","145","145","23.748401294835066","23.748401294835066","23.748401294835066","145","145","145","22.62999944241621","22.62999944241621","22.62999944241621","145","145","145","19.94727173683813","19.94727173683813","19.94727173683813","145","145","145","18.403837904722614","18.403837904722614","18.403837904722614","145","145","145","18.02656543725176","18.02656543725176","18.02656543725176","145","145","145","25.694343463478084","25.694343463478084","25.694343463478084","145","145","145","21.994478934591303","21.994478934591303","21.994478934591303","145","145","145","22.872337340840595","22.872337340840595","22.872337340840595","145","145","145","20.465440618661532","20.465440618661532","20.465440618661532","145","145","145","24.11450949042734","24.11450949042734","24.11450949042734"
"45000","150","150","150","23.494130953307376","23.494130953307376","23.494130953307376","150","150","150","22.835495557466658","22.835495557466658","22.835495557466658","150","150","150","19.160635700789836","19.160635700789836","19.160635700789836","150","150","150","18.110660248760794","18.110660248760794","18.110660248760794","150","150","150","17.77731016971742","17.77731016971742","17.77731016971742","150","150","150","26.14930837788255","26.14930837788255","26.14930837788255","150","150","150","21.596055268229616","21.596055268229616","21.596055268229616","150","150","150","22.921134181358763","22.921134181358763","22.921134181358763","150","150","150","20.416573526875453","20.416573526875453","20.416573526875453","150","150","150","23.793440120842202","23.793440120842202","23.793440120842202"
"46500","155","155","155","22.706240503734122","22.706240503734122","22.706240503734122","155","155","155","23.21523344683837","23.21523344683837","23.21523344683837","155","155","155","19.38618181369276","19.38618181369276","19.38618181369276","155","155","155","17.557355198509434","17.557355198509434","17.557355198509434","155","155","155","17.794527640549212","17.794527640549212","17.794527640549212","155","155","155","26.04478608730588","26.04478608730588","26.04478608730588","155","155","155","21.382263567052302","21.382263567052302","21.382263567052302","155","155","155","22.791364577859312","22.791364577859312","22.791364577859312","155","155","155","19.342653815086305","19.342653815086305","19.342653815086305","155","155","155","23.656316361473728","23.656316361473728","23.656316361473728"
"48000","160","160","160","22.440343451177824","22.440343451177824","22.440343451177824","160","160","160","23.436821455434494","23.436821455434494","23.436821455434494","160","160","160","19.712731706818012","19.712731706818012","19.712731706818012","160","160","160","17.380701548648155","17.380701548648155","17.380701548648155","160","160","160","17.7665230602913","17.7665230602913","17.7665230602913","160","160","160","26.30068202066151","26.30068202066151","26.30068202066151","160","160","160","21.59487208665767","21.59487208665767","21.59487208665767","160","160","160","23.286291813877515","23.286291813877515","23.286291813877515","160","160","160","19.521247427227152","19.521247427227152","19.521247427227152","160","160","160","24.516471596394368","24.516471596394368","24.516471596394368"
"49500","165","165","165","22.311234267876113","22.311234267876113","22.311234267876113","165","165","165","23.583448958232292","23.583448958232292","23.583448958232292","165","165","165","19.495423380714673","19.495423380714673","19.495423380714673","165","165","165","17.047807591933143","17.047807591933143","17.047807591933143","165","165","165","17.200667889932376","17.200667889932376","17.200667889932376","165","165","165","26.15731136783425","26.15731136783425","26.15731136783425","165","165","165","21.68816550780764","21.68816550780764","21.68816550780764","165","165","165","23.44808577631109","23.44808577631109","23.44808577631109","165","165","165","19.683172013118302","19.683172013118302","19.683172013118302","165","165","165","24.293150652152022","24.293150652152022","24.293150652152022"
"51000","170","170","170","22.262880933319515","22.262880933319515","22.262880933319515","170","170","170","24.092952516234455","24.092952516234455","24.092952516234455","170","170","170","19.935290604658174","19.935290604658174","19.935290604658174","170","170","170","17.162718937807302","17.162718937807302","17.162718937807302","170","170","170","17.163988823213387","17.163988823213387","17.163988823213387","170","170","170","26.243104600958404","26.243104600958404","26.243104600958404","170","170","170","21.407885305079116","21.407885305079116","21.407885305079116","170","170","170","23.45164176337089","23.45164176337089","23.45164176337089","170","170","170","19.235771757952808","19.235771757952808","19.235771757952808","170","170","170","24.51470972798579","24.51470972798579","24.51470972798579"
"52500","175","175","175","22.15350879946719","22.15350879946719","22.15350879946719","175","175","175","24.05130873848913","24.05130873848913","24.05130873848913","175","175","175","20.327284905242003","20.327284905242003","20.327284905242003","175","175","175","17.362010833938317","17.362010833938317","17.362010833938317","175","175","175","17.344909624696193","17.344909624696193","17.344909624696193","175","175","175","26.887422818953223","26.887422818953223","26.887422818953223","175","175","175","21.919173160965066","21.919173160965066","21.919173160965066","175","175","175","23.801431963823916","23.801431963823916","23.801431963823916","175","175","175","19.47328765693111","19.47328765693111","19.47328765693111","175","175","175","25.422810120983787","25.422810120983787","25.422810120983787"
"54000","180","180","180","21.92916376960567","21.92916376960567","21.92916376960567","180","180","180","23.2270656751671","23.2270656751671","23.2270656751671","180","180","180","21.154434945751568","21.154434945751568","21.154434945751568","180","180","180","17.485405737344607","17.485405737344607","17.485405737344607","180","180","180","17.148189607405733","17.148189607405733","17.148189607405733","180","180","180","27.327237973397896","27.327237973397896","27.327237973397896","180","180","180","21.53901472439324","21.53901472439324","21.53901472439324","180","180","180","23.63736700259838","23.63736700259838","23.63736700259838","180","180","180","19.622221562530164","19.622221562530164","19.622221562530164","180","180","180","25.26384309986523","25.26384309986523","25.26384309986523"
