"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_eval_collision_end_mean","wandering-sweep-4 - agent_eval_collision_end_mean__MIN","wandering-sweep-4 - agent_eval_collision_end_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_eval_collision_end_mean","sweet-sweep-3 - agent_eval_collision_end_mean__MIN","sweet-sweep-3 - agent_eval_collision_end_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_eval_collision_end_mean","lucky-sweep-2 - agent_eval_collision_end_mean__MIN","lucky-sweep-2 - agent_eval_collision_end_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_eval_collision_end_mean","clear-sweep-1 - agent_eval_collision_end_mean__MIN","clear-sweep-1 - agent_eval_collision_end_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_eval_collision_end_mean","playful-sweep-10 - agent_eval_collision_end_mean__MIN","playful-sweep-10 - agent_eval_collision_end_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_eval_collision_end_mean","fresh-sweep-8 - agent_eval_collision_end_mean__MIN","fresh-sweep-8 - agent_eval_collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_eval_collision_end_mean","jumping-sweep-5 - agent_eval_collision_end_mean__MIN","jumping-sweep-5 - agent_eval_collision_end_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_eval_collision_end_mean","good-sweep-4 - agent_eval_collision_end_mean__MIN","good-sweep-4 - agent_eval_collision_end_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_eval_collision_end_mean","sandy-sweep-3 - agent_eval_collision_end_mean__MIN","sandy-sweep-3 - agent_eval_collision_end_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_eval_collision_end_mean","youthful-sweep-1 - agent_eval_collision_end_mean__MIN","youthful-sweep-1 - agent_eval_collision_end_mean__MAX"
"19500","65","65","65","0","0","0","65","65","65","0.3333333333333333","0.3333333333333333","0.3333333333333333","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0","65","65","65","0","0","0"
"21000","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0","70","70","70","0","0","0"
"22500","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0.3333333333333333","0.3333333333333333","0.3333333333333333","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0"
"24000","80","80","80","0","0","0","80","80","80","0","0","0","80","80","80","0.3333333333333333","0.3333333333333333","0.3333333333333333","80","80","80","0","0","0","80","80","80","0","0","0","80","80","80","0","0","0","80","80","80","0.3333333333333333","0.3333333333333333","0.3333333333333333","80","80","80","0","0","0","80","80","80","0","0","0","80","80","80","0","0","0"
"25500","85","85","85","0","0","0","85","85","85","0","0","0","85","85","85","0","0","0","85","85","85","0.3333333333333333","0.3333333333333333","0.3333333333333333","85","85","85","0","0","0","85","85","85","0.3333333333333333","0.3333333333333333","0.3333333333333333","85","85","85","0","0","0","85","85","85","0.3333333333333333","0.3333333333333333","0.3333333333333333","85","85","85","0","0","0","85","85","85","0","0","0"
"27000","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0","90","90","90","0","0","0"
"28500","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0","0","0","95","95","95","0.3333333333333333","0.3333333333333333","0.3333333333333333","95","95","95","0","0","0","95","95","95","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"30000","100","100","100","0","0","0","100","100","100","0.3333333333333333","0.3333333333333333","0.3333333333333333","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0"
"31500","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0","105","105","105","0","0","0"
"33000","110","110","110","0","0","0","110","110","110","0.3333333333333333","0.3333333333333333","0.3333333333333333","110","110","110","0","0","0","110","110","110","0","0","0","110","110","110","0","0","0","110","110","110","0.3333333333333333","0.3333333333333333","0.3333333333333333","110","110","110","0","0","0","110","110","110","0","0","0","110","110","110","0","0","0","110","110","110","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"34500","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0.3333333333333333","0.3333333333333333","0.3333333333333333","115","115","115","0","0","0","115","115","115","0","0","0","115","115","115","0","0","0"
"36000","120","120","120","0","0","0","120","120","120","0","0","0","120","120","120","0","0","0","120","120","120","0.3333333333333333","0.3333333333333333","0.3333333333333333","120","120","120","0.3333333333333333","0.3333333333333333","0.3333333333333333","120","120","120","0","0","0","120","120","120","0","0","0","120","120","120","0","0","0","120","120","120","0","0","0","120","120","120","0","0","0"
"37500","125","125","125","0","0","0","125","125","125","0","0","0","125","125","125","0","0","0","125","125","125","0","0","0","125","125","125","0","0","0","125","125","125","0","0","0","125","125","125","0.3333333333333333","0.3333333333333333","0.3333333333333333","125","125","125","0.3333333333333333","0.3333333333333333","0.3333333333333333","125","125","125","0","0","0","125","125","125","0","0","0"
"39000","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0","0","0","130","130","130","0.3333333333333333","0.3333333333333333","0.3333333333333333","130","130","130","0","0","0","130","130","130","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"40500","135","135","135","0.3333333333333333","0.3333333333333333","0.3333333333333333","135","135","135","0","0","0","135","135","135","0","0","0","135","135","135","0","0","0","135","135","135","0","0","0","135","135","135","0","0","0","135","135","135","0.3333333333333333","0.3333333333333333","0.3333333333333333","135","135","135","0","0","0","135","135","135","0","0","0","135","135","135","0","0","0"
"42000","140","140","140","0.3333333333333333","0.3333333333333333","0.3333333333333333","140","140","140","0","0","0","140","140","140","0","0","0","140","140","140","0","0","0","140","140","140","0","0","0","140","140","140","0","0","0","140","140","140","0","0","0","140","140","140","0.3333333333333333","0.3333333333333333","0.3333333333333333","140","140","140","0","0","0","140","140","140","0","0","0"
"43500","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0","145","145","145","0","0","0"
"45000","150","150","150","0","0","0","150","150","150","0.3333333333333333","0.3333333333333333","0.3333333333333333","150","150","150","0","0","0","150","150","150","0","0","0","150","150","150","0","0","0","150","150","150","0.3333333333333333","0.3333333333333333","0.3333333333333333","150","150","150","0","0","0","150","150","150","0","0","0","150","150","150","0","0","0","150","150","150","0","0","0"
"46500","155","155","155","0.3333333333333333","0.3333333333333333","0.3333333333333333","155","155","155","0","0","0","155","155","155","0","0","0","155","155","155","0","0","0","155","155","155","0","0","0","155","155","155","0.3333333333333333","0.3333333333333333","0.3333333333333333","155","155","155","0","0","0","155","155","155","0","0","0","155","155","155","0","0","0","155","155","155","0","0","0"
"48000","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0.3333333333333333","0.3333333333333333","0.3333333333333333","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0","0","0","160","160","160","0","0","0"
"49500","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0","165","165","165","0","0","0"
"51000","170","170","170","0","0","0","170","170","170","0.6666666666666666","0.6666666666666666","0.6666666666666666","170","170","170","0","0","0","170","170","170","0","0","0","170","170","170","0","0","0","170","170","170","0.3333333333333333","0.3333333333333333","0.3333333333333333","170","170","170","0","0","0","170","170","170","0","0","0","170","170","170","0","0","0","170","170","170","0","0","0"
"52500","175","175","175","0","0","0","175","175","175","0","0","0","175","175","175","0.3333333333333333","0.3333333333333333","0.3333333333333333","175","175","175","0.3333333333333333","0.3333333333333333","0.3333333333333333","175","175","175","0","0","0","175","175","175","0","0","0","175","175","175","0","0","0","175","175","175","0.3333333333333333","0.3333333333333333","0.3333333333333333","175","175","175","0","0","0","175","175","175","0","0","0"
"54000","180","180","180","0","0","0","180","180","180","0","0","0","180","180","180","0.6666666666666666","0.6666666666666666","0.6666666666666666","180","180","180","0.3333333333333333","0.3333333333333333","0.3333333333333333","180","180","180","0","0","0","180","180","180","0.3333333333333333","0.3333333333333333","0.3333333333333333","180","180","180","0","0","0","180","180","180","0","0","0","180","180","180","0","0","0","180","180","180","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"55500","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0","0","0","185","185","185","0.3333333333333333","0.3333333333333333","0.3333333333333333","185","185","185","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"57000","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0","190","190","190","0","0","0"
"58500","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0","0","0","195","195","195","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"60000","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0","0","0","200","200","200","0.3333333333333333","0.3333333333333333","0.3333333333333333","200","200","200","0","0","0","200","200","200","0","0","0"
"61500","205","205","205","0","0","0","205","205","205","0","0","0","205","205","205","0","0","0","205","205","205","0","0","0","205","205","205","0","0","0","205","205","205","0.3333333333333333","0.3333333333333333","0.3333333333333333","205","205","205","0.3333333333333333","0.3333333333333333","0.3333333333333333","205","205","205","0","0","0","205","205","205","0","0","0","205","205","205","0","0","0"
"63000","210","210","210","0","0","0","210","210","210","0","0","0","210","210","210","0.6666666666666666","0.6666666666666666","0.6666666666666666","210","210","210","0","0","0","210","210","210","0","0","0","210","210","210","0","0","0","210","210","210","0","0","0","210","210","210","0.3333333333333333","0.3333333333333333","0.3333333333333333","210","210","210","0","0","0","210","210","210","0","0","0"
"64500","215","215","215","0.3333333333333333","0.3333333333333333","0.3333333333333333","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0","0","0","215","215","215","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"66000","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0","0","0","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0","0","0","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0.3333333333333333","0.3333333333333333","0.3333333333333333","220","220","220","0","0","0","220","220","220","0","0","0"
"67500","225","225","225","0","0","0","225","225","225","0","0","0","225","225","225","0","0","0","225","225","225","0","0","0","225","225","225","0","0","0","225","225","225","0","0","0","225","225","225","0.3333333333333333","0.3333333333333333","0.3333333333333333","225","225","225","0","0","0","225","225","225","0.3333333333333333","0.3333333333333333","0.3333333333333333","225","225","225","0","0","0"
"69000","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0.3333333333333333","0.3333333333333333","0.3333333333333333","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0","0","0","230","230","230","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"70500","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0","235","235","235","0","0","0"
"72000","240","240","240","0","0","0","240","240","240","0","0","0","240","240","240","0.6666666666666666","0.6666666666666666","0.6666666666666666","240","240","240","0","0","0","240","240","240","0","0","0","240","240","240","0.3333333333333333","0.3333333333333333","0.3333333333333333","240","240","240","0","0","0","240","240","240","0.3333333333333333","0.3333333333333333","0.3333333333333333","240","240","240","0.3333333333333333","0.3333333333333333","0.3333333333333333","240","240","240","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"73500","245","245","245","0","0","0","245","245","245","0.3333333333333333","0.3333333333333333","0.3333333333333333","245","245","245","0","0","0","245","245","245","0","0","0","245","245","245","0","0","0","245","245","245","0.3333333333333333","0.3333333333333333","0.3333333333333333","245","245","245","0","0","0","245","245","245","0","0","0","245","245","245","0","0","0","245","245","245","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75000","250","250","250","0","0","0","250","250","250","0.3333333333333333","0.3333333333333333","0.3333333333333333","250","250","250","0","0","0","250","250","250","0","0","0","250","250","250","0.3333333333333333","0.3333333333333333","0.3333333333333333","250","250","250","0","0","0","250","250","250","0","0","0","250","250","250","0","0","0","250","250","250","0.6666666666666666","0.6666666666666666","0.6666666666666666","250","250","250","0","0","0"
"76500","255","255","255","0.3333333333333333","0.3333333333333333","0.3333333333333333","255","255","255","0","0","0","255","255","255","0","0","0","255","255","255","0","0","0","255","255","255","0","0","0","255","255","255","0.3333333333333333","0.3333333333333333","0.3333333333333333","255","255","255","0.3333333333333333","0.3333333333333333","0.3333333333333333","255","255","255","0","0","0","255","255","255","0.3333333333333333","0.3333333333333333","0.3333333333333333","255","255","255","0","0","0"
"78000","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0.3333333333333333","0.3333333333333333","0.3333333333333333","260","260","260","0","0","0","260","260","260","0","0","0","260","260","260","0","0","0"
"79500","265","265","265","0","0","0","265","265","265","0","0","0","265","265","265","0.3333333333333333","0.3333333333333333","0.3333333333333333","265","265","265","0.3333333333333333","0.3333333333333333","0.3333333333333333","265","265","265","0","0","0","265","265","265","0.3333333333333333","0.3333333333333333","0.3333333333333333","265","265","265","0","0","0","265","265","265","0","0","0","265","265","265","0","0","0","265","265","265","0","0","0"
"81000","270","270","270","0.3333333333333333","0.3333333333333333","0.3333333333333333","270","270","270","0","0","0","270","270","270","0.3333333333333333","0.3333333333333333","0.3333333333333333","270","270","270","0","0","0","270","270","270","0","0","0","270","270","270","0","0","0","270","270","270","0","0","0","270","270","270","0","0","0","270","270","270","0","0","0","270","270","270","0","0","0"
"82500","275","275","275","0","0","0","275","275","275","0","0","0","275","275","275","0.3333333333333333","0.3333333333333333","0.3333333333333333","275","275","275","0","0","0","275","275","275","0.3333333333333333","0.3333333333333333","0.3333333333333333","275","275","275","0","0","0","275","275","275","0","0","0","275","275","275","0","0","0","275","275","275","0.3333333333333333","0.3333333333333333","0.3333333333333333","275","275","275","0","0","0"
"84000","280","280","280","0","0","0","280","280","280","0","0","0","280","280","280","0","0","0","280","280","280","0","0","0","280","280","280","0.3333333333333333","0.3333333333333333","0.3333333333333333","280","280","280","0.6666666666666666","0.6666666666666666","0.6666666666666666","280","280","280","0","0","0","280","280","280","0","0","0","280","280","280","0","0","0","280","280","280","0","0","0"
"85500","285","285","285","0.3333333333333333","0.3333333333333333","0.3333333333333333","285","285","285","0","0","0","285","285","285","0","0","0","285","285","285","0","0","0","285","285","285","0","0","0","285","285","285","0.3333333333333333","0.3333333333333333","0.3333333333333333","285","285","285","0","0","0","285","285","285","0","0","0","285","285","285","0.3333333333333333","0.3333333333333333","0.3333333333333333","285","285","285","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"87000","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0.3333333333333333","0.3333333333333333","0.3333333333333333","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0","0","0","290","290","290","0","0","0"
"88500","295","295","295","0","0","0","295","295","295","0","0","0","295","295","295","0","0","0","295","295","295","0","0","0","295","295","295","0","0","0","295","295","295","0.3333333333333333","0.3333333333333333","0.3333333333333333","295","295","295","0.3333333333333333","0.3333333333333333","0.3333333333333333","295","295","295","0","0","0","295","295","295","0","0","0","295","295","295","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"90000","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0.3333333333333333","0.3333333333333333","0.3333333333333333","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0.3333333333333333","0.3333333333333333","0.3333333333333333","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0"
"91500","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","0","0","0","305","305","305","1","1","1","305","305","305","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"93000","310","310","310","0","0","0","310","310","310","0.3333333333333333","0.3333333333333333","0.3333333333333333","310","310","310","0","0","0","310","310","310","0.3333333333333333","0.3333333333333333","0.3333333333333333","310","310","310","0","0","0","310","310","310","0.3333333333333333","0.3333333333333333","0.3333333333333333","310","310","310","0","0","0","310","310","310","0","0","0","310","310","310","0.3333333333333333","0.3333333333333333","0.3333333333333333","310","310","310","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"94500","315","315","315","0.6666666666666666","0.6666666666666666","0.6666666666666666","315","315","315","0.6666666666666666","0.6666666666666666","0.6666666666666666","315","315","315","0.3333333333333333","0.3333333333333333","0.3333333333333333","315","315","315","0","0","0","315","315","315","0","0","0","315","315","315","0","0","0","315","315","315","0","0","0","315","315","315","0.3333333333333333","0.3333333333333333","0.3333333333333333","315","315","315","0","0","0","315","315","315","0","0","0"
"96000","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0","320","320","320","0","0","0"
"97500","325","325","325","0","0","0","325","325","325","0","0","0","325","325","325","0.3333333333333333","0.3333333333333333","0.3333333333333333","325","325","325","0.3333333333333333","0.3333333333333333","0.3333333333333333","325","325","325","0","0","0","325","325","325","0.6666666666666666","0.6666666666666666","0.6666666666666666","325","325","325","0","0","0","325","325","325","0.3333333333333333","0.3333333333333333","0.3333333333333333","325","325","325","0.3333333333333333","0.3333333333333333","0.3333333333333333","325","325","325","0","0","0"
"99000","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0.6666666666666666","0.6666666666666666","0.6666666666666666","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0","0","0","330","330","330","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"100500","335","335","335","0","0","0","335","335","335","0.3333333333333333","0.3333333333333333","0.3333333333333333","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0","335","335","335","0","0","0"
"102000","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0","0","0","340","340","340","0.3333333333333333","0.3333333333333333","0.3333333333333333","340","340","340","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"103500","345","345","345","0.6666666666666666","0.6666666666666666","0.6666666666666666","345","345","345","0.3333333333333333","0.3333333333333333","0.3333333333333333","345","345","345","0.3333333333333333","0.3333333333333333","0.3333333333333333","345","345","345","0.6666666666666666","0.6666666666666666","0.6666666666666666","345","345","345","0","0","0","345","345","345","0","0","0","345","345","345","0.3333333333333333","0.3333333333333333","0.3333333333333333","345","345","345","0","0","0","345","345","345","0","0","0","345","345","345","0","0","0"
