"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean__MIN","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean__MIN","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean__MIN","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean__MIN","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean__MIN","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean__MIN","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean__MIN","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_eval_episode_waypoints_percent_mean","good-sweep-4 - agent_eval_episode_waypoints_percent_mean__MIN","good-sweep-4 - agent_eval_episode_waypoints_percent_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean__MIN","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean__MIN","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean__MAX"
"15000","50","50","50","0.2727272727272727","0.2727272727272727","0.2727272727272727","50","50","50","0.42424242424242425","0.42424242424242425","0.42424242424242425","50","50","50","0.27272727272727276","0.27272727272727276","0.27272727272727276","50","50","50","0.393939393939394","0.393939393939394","0.393939393939394","50","50","50","0.21212121212121213","0.21212121212121213","0.21212121212121213","50","50","50","0.2727272727272727","0.2727272727272727","0.2727272727272727","50","50","50","0.15151515151515152","0.15151515151515152","0.15151515151515152","50","50","50","0.30303030303030304","0.30303030303030304","0.30303030303030304","50","50","50","0.3333333333333333","0.3333333333333333","0.3333333333333333","50","50","50","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"16500","55","55","55","0.45454545454545453","0.45454545454545453","0.45454545454545453","55","55","55","0.6363636363636364","0.6363636363636364","0.6363636363636364","55","55","55","0.24242424242424243","0.24242424242424243","0.24242424242424243","55","55","55","0.24242424242424243","0.24242424242424243","0.24242424242424243","55","55","55","0.3636363636363636","0.3636363636363636","0.3636363636363636","55","55","55","0.24242424242424243","0.24242424242424243","0.24242424242424243","55","55","55","0.6363636363636364","0.6363636363636364","0.6363636363636364","55","55","55","0.5151515151515151","0.5151515151515151","0.5151515151515151","55","55","55","0.30303030303030304","0.30303030303030304","0.30303030303030304","55","55","55","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"18000","60","60","60","0.45454545454545453","0.45454545454545453","0.45454545454545453","60","60","60","0.5454545454545455","0.5454545454545455","0.5454545454545455","60","60","60","0.30303030303030304","0.30303030303030304","0.30303030303030304","60","60","60","0.3636363636363636","0.3636363636363636","0.3636363636363636","60","60","60","0.12121212121212122","0.12121212121212122","0.12121212121212122","60","60","60","0.24242424242424243","0.24242424242424243","0.24242424242424243","60","60","60","0.3636363636363636","0.3636363636363636","0.3636363636363636","60","60","60","0.4242424242424243","0.4242424242424243","0.4242424242424243","60","60","60","0.3636363636363636","0.3636363636363636","0.3636363636363636","60","60","60","0.39393939393939387","0.39393939393939387","0.39393939393939387"
"19500","65","65","65","0.24242424242424243","0.24242424242424243","0.24242424242424243","65","65","65","0.5757575757575757","0.5757575757575757","0.5757575757575757","65","65","65","0.30303030303030304","0.30303030303030304","0.30303030303030304","65","65","65","0.30303030303030304","0.30303030303030304","0.30303030303030304","65","65","65","0.2727272727272727","0.2727272727272727","0.2727272727272727","65","65","65","0.4545454545454546","0.4545454545454546","0.4545454545454546","65","65","65","0.42424242424242414","0.42424242424242414","0.42424242424242414","65","65","65","0.3636363636363636","0.3636363636363636","0.3636363636363636","65","65","65","0.3636363636363636","0.3636363636363636","0.3636363636363636","65","65","65","0.393939393939394","0.393939393939394","0.393939393939394"
"21000","70","70","70","0.27272727272727276","0.27272727272727276","0.27272727272727276","70","70","70","0.42424242424242425","0.42424242424242425","0.42424242424242425","70","70","70","0.48484848484848486","0.48484848484848486","0.48484848484848486","70","70","70","0.24242424242424243","0.24242424242424243","0.24242424242424243","70","70","70","0.15151515151515152","0.15151515151515152","0.15151515151515152","70","70","70","0.48484848484848486","0.48484848484848486","0.48484848484848486","70","70","70","0.1818181818181818","0.1818181818181818","0.1818181818181818","70","70","70","0.6363636363636364","0.6363636363636364","0.6363636363636364","70","70","70","0.393939393939394","0.393939393939394","0.393939393939394","70","70","70","0.48484848484848486","0.48484848484848486","0.48484848484848486"
"22500","75","75","75","0.30303030303030304","0.30303030303030304","0.30303030303030304","75","75","75","0.3636363636363636","0.3636363636363636","0.3636363636363636","75","75","75","0.3636363636363636","0.3636363636363636","0.3636363636363636","75","75","75","0.21212121212121213","0.21212121212121213","0.21212121212121213","75","75","75","0.21212121212121213","0.21212121212121213","0.21212121212121213","75","75","75","0.5151515151515151","0.5151515151515151","0.5151515151515151","75","75","75","0.48484848484848486","0.48484848484848486","0.48484848484848486","75","75","75","0.24242424242424243","0.24242424242424243","0.24242424242424243","75","75","75","0.6363636363636364","0.6363636363636364","0.6363636363636364","75","75","75","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"24000","80","80","80","0.21212121212121213","0.21212121212121213","0.21212121212121213","80","80","80","0.24242424242424243","0.24242424242424243","0.24242424242424243","80","80","80","0.4545454545454546","0.4545454545454546","0.4545454545454546","80","80","80","0.3333333333333333","0.3333333333333333","0.3333333333333333","80","80","80","0.6363636363636364","0.6363636363636364","0.6363636363636364","80","80","80","0.6969696969696969","0.6969696969696969","0.6969696969696969","80","80","80","0.39393939393939387","0.39393939393939387","0.39393939393939387","80","80","80","0.5757575757575757","0.5757575757575757","0.5757575757575757","80","80","80","0.30303030303030304","0.30303030303030304","0.30303030303030304","80","80","80","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"25500","85","85","85","0.4545454545454546","0.4545454545454546","0.4545454545454546","85","85","85","0.393939393939394","0.393939393939394","0.393939393939394","85","85","85","0.42424242424242425","0.42424242424242425","0.42424242424242425","85","85","85","0.42424242424242425","0.42424242424242425","0.42424242424242425","85","85","85","0.24242424242424243","0.24242424242424243","0.24242424242424243","85","85","85","0.3636363636363636","0.3636363636363636","0.3636363636363636","85","85","85","0.42424242424242425","0.42424242424242425","0.42424242424242425","85","85","85","0.5454545454545454","0.5454545454545454","0.5454545454545454","85","85","85","0.15151515151515152","0.15151515151515152","0.15151515151515152","85","85","85","0.42424242424242425","0.42424242424242425","0.42424242424242425"
"27000","90","90","90","0.8181818181818182","0.8181818181818182","0.8181818181818182","90","90","90","0.3636363636363636","0.3636363636363636","0.3636363636363636","90","90","90","0.21212121212121213","0.21212121212121213","0.21212121212121213","90","90","90","0.1818181818181818","0.1818181818181818","0.1818181818181818","90","90","90","0.6060606060606061","0.6060606060606061","0.6060606060606061","90","90","90","0.45454545454545453","0.45454545454545453","0.45454545454545453","90","90","90","0.7575757575757575","0.7575757575757575","0.7575757575757575","90","90","90","0.42424242424242425","0.42424242424242425","0.42424242424242425","90","90","90","0.2727272727272727","0.2727272727272727","0.2727272727272727","90","90","90","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"28500","95","95","95","0.39393939393939387","0.39393939393939387","0.39393939393939387","95","95","95","0.7575757575757577","0.7575757575757577","0.7575757575757577","95","95","95","0.42424242424242425","0.42424242424242425","0.42424242424242425","95","95","95","0.21212121212121213","0.21212121212121213","0.21212121212121213","95","95","95","0.3636363636363636","0.3636363636363636","0.3636363636363636","95","95","95","0.21212121212121213","0.21212121212121213","0.21212121212121213","95","95","95","0.39393939393939387","0.39393939393939387","0.39393939393939387","95","95","95","0.45454545454545453","0.45454545454545453","0.45454545454545453","95","95","95","0.5454545454545454","0.5454545454545454","0.5454545454545454","95","95","95","0.5454545454545455","0.5454545454545455","0.5454545454545455"
"30000","100","100","100","0.3636363636363636","0.3636363636363636","0.3636363636363636","100","100","100","0.6060606060606061","0.6060606060606061","0.6060606060606061","100","100","100","0.3636363636363636","0.3636363636363636","0.3636363636363636","100","100","100","0.3333333333333333","0.3333333333333333","0.3333333333333333","100","100","100","0.5757575757575757","0.5757575757575757","0.5757575757575757","100","100","100","0.6363636363636364","0.6363636363636364","0.6363636363636364","100","100","100","0.3333333333333333","0.3333333333333333","0.3333333333333333","100","100","100","0.5757575757575758","0.5757575757575758","0.5757575757575758","100","100","100","0.393939393939394","0.393939393939394","0.393939393939394","100","100","100","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"31500","105","105","105","0.3636363636363636","0.3636363636363636","0.3636363636363636","105","105","105","0.39393939393939387","0.39393939393939387","0.39393939393939387","105","105","105","0.24242424242424243","0.24242424242424243","0.24242424242424243","105","105","105","0.3636363636363636","0.3636363636363636","0.3636363636363636","105","105","105","0.3333333333333333","0.3333333333333333","0.3333333333333333","105","105","105","0.6363636363636364","0.6363636363636364","0.6363636363636364","105","105","105","0.5454545454545454","0.5454545454545454","0.5454545454545454","105","105","105","0.6363636363636364","0.6363636363636364","0.6363636363636364","105","105","105","0.30303030303030304","0.30303030303030304","0.30303030303030304","105","105","105","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"33000","110","110","110","0.48484848484848486","0.48484848484848486","0.48484848484848486","110","110","110","0.39393939393939387","0.39393939393939387","0.39393939393939387","110","110","110","0.3636363636363637","0.3636363636363637","0.3636363636363637","110","110","110","0.21212121212121213","0.21212121212121213","0.21212121212121213","110","110","110","0.15151515151515152","0.15151515151515152","0.15151515151515152","110","110","110","0.6363636363636364","0.6363636363636364","0.6363636363636364","110","110","110","0.30303030303030304","0.30303030303030304","0.30303030303030304","110","110","110","0.3333333333333333","0.3333333333333333","0.3333333333333333","110","110","110","0.2727272727272727","0.2727272727272727","0.2727272727272727","110","110","110","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"34500","115","115","115","0.5454545454545454","0.5454545454545454","0.5454545454545454","115","115","115","0.42424242424242425","0.42424242424242425","0.42424242424242425","115","115","115","0.45454545454545453","0.45454545454545453","0.45454545454545453","115","115","115","0.30303030303030304","0.30303030303030304","0.30303030303030304","115","115","115","0.24242424242424243","0.24242424242424243","0.24242424242424243","115","115","115","0.42424242424242425","0.42424242424242425","0.42424242424242425","115","115","115","0.5454545454545454","0.5454545454545454","0.5454545454545454","115","115","115","0.45454545454545453","0.45454545454545453","0.45454545454545453","115","115","115","0.45454545454545453","0.45454545454545453","0.45454545454545453","115","115","115","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"36000","120","120","120","0.21212121212121213","0.21212121212121213","0.21212121212121213","120","120","120","0.24242424242424243","0.24242424242424243","0.24242424242424243","120","120","120","0.30303030303030304","0.30303030303030304","0.30303030303030304","120","120","120","0.48484848484848486","0.48484848484848486","0.48484848484848486","120","120","120","0.30303030303030304","0.30303030303030304","0.30303030303030304","120","120","120","0.5151515151515151","0.5151515151515151","0.5151515151515151","120","120","120","0.5454545454545454","0.5454545454545454","0.5454545454545454","120","120","120","0.5151515151515151","0.5151515151515151","0.5151515151515151","120","120","120","0.5757575757575758","0.5757575757575758","0.5757575757575758","120","120","120","0.5757575757575757","0.5757575757575757","0.5757575757575757"
"37500","125","125","125","0.6060606060606061","0.6060606060606061","0.6060606060606061","125","125","125","0.3636363636363636","0.3636363636363636","0.3636363636363636","125","125","125","0.5454545454545454","0.5454545454545454","0.5454545454545454","125","125","125","0.39393939393939387","0.39393939393939387","0.39393939393939387","125","125","125","0.24242424242424243","0.24242424242424243","0.24242424242424243","125","125","125","0.6060606060606061","0.6060606060606061","0.6060606060606061","125","125","125","0.5757575757575758","0.5757575757575758","0.5757575757575758","125","125","125","0.3636363636363636","0.3636363636363636","0.3636363636363636","125","125","125","0.24242424242424243","0.24242424242424243","0.24242424242424243","125","125","125","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"39000","130","130","130","0.6060606060606061","0.6060606060606061","0.6060606060606061","130","130","130","0.4545454545454546","0.4545454545454546","0.4545454545454546","130","130","130","0.5454545454545454","0.5454545454545454","0.5454545454545454","130","130","130","0.4545454545454546","0.4545454545454546","0.4545454545454546","130","130","130","0.5454545454545455","0.5454545454545455","0.5454545454545455","130","130","130","0.42424242424242425","0.42424242424242425","0.42424242424242425","130","130","130","0.24242424242424243","0.24242424242424243","0.24242424242424243","130","130","130","0.42424242424242425","0.42424242424242425","0.42424242424242425","130","130","130","0.3333333333333333","0.3333333333333333","0.3333333333333333","130","130","130","0.5151515151515151","0.5151515151515151","0.5151515151515151"
"40500","135","135","135","0.5757575757575758","0.5757575757575758","0.5757575757575758","135","135","135","0.5454545454545455","0.5454545454545455","0.5454545454545455","135","135","135","0.21212121212121213","0.21212121212121213","0.21212121212121213","135","135","135","0.2727272727272727","0.2727272727272727","0.2727272727272727","135","135","135","0.24242424242424243","0.24242424242424243","0.24242424242424243","135","135","135","0.7878787878787877","0.7878787878787877","0.7878787878787877","135","135","135","0.3636363636363636","0.3636363636363636","0.3636363636363636","135","135","135","0.6666666666666666","0.6666666666666666","0.6666666666666666","135","135","135","0.24242424242424243","0.24242424242424243","0.24242424242424243","135","135","135","0.42424242424242425","0.42424242424242425","0.42424242424242425"
"42000","140","140","140","0.39393939393939387","0.39393939393939387","0.39393939393939387","140","140","140","0.30303030303030304","0.30303030303030304","0.30303030303030304","140","140","140","0.5757575757575757","0.5757575757575757","0.5757575757575757","140","140","140","0.4545454545454546","0.4545454545454546","0.4545454545454546","140","140","140","0.24242424242424243","0.24242424242424243","0.24242424242424243","140","140","140","0.4545454545454546","0.4545454545454546","0.4545454545454546","140","140","140","0.3333333333333333","0.3333333333333333","0.3333333333333333","140","140","140","0.6363636363636364","0.6363636363636364","0.6363636363636364","140","140","140","0.3636363636363636","0.3636363636363636","0.3636363636363636","140","140","140","0.393939393939394","0.393939393939394","0.393939393939394"
"43500","145","145","145","0.5454545454545455","0.5454545454545455","0.5454545454545455","145","145","145","0.45454545454545453","0.45454545454545453","0.45454545454545453","145","145","145","0.48484848484848486","0.48484848484848486","0.48484848484848486","145","145","145","0.2727272727272727","0.2727272727272727","0.2727272727272727","145","145","145","0.42424242424242425","0.42424242424242425","0.42424242424242425","145","145","145","0.7272727272727272","0.7272727272727272","0.7272727272727272","145","145","145","0.42424242424242414","0.42424242424242414","0.42424242424242414","145","145","145","0.30303030303030304","0.30303030303030304","0.30303030303030304","145","145","145","0.3333333333333333","0.3333333333333333","0.3333333333333333","145","145","145","0.24242424242424243","0.24242424242424243","0.24242424242424243"
"45000","150","150","150","0.42424242424242425","0.42424242424242425","0.42424242424242425","150","150","150","0.6060606060606061","0.6060606060606061","0.6060606060606061","150","150","150","0.1818181818181818","0.1818181818181818","0.1818181818181818","150","150","150","0.3636363636363636","0.3636363636363636","0.3636363636363636","150","150","150","0.24242424242424243","0.24242424242424243","0.24242424242424243","150","150","150","0.6060606060606061","0.6060606060606061","0.6060606060606061","150","150","150","0.3333333333333333","0.3333333333333333","0.3333333333333333","150","150","150","0.30303030303030304","0.30303030303030304","0.30303030303030304","150","150","150","0.48484848484848486","0.48484848484848486","0.48484848484848486","150","150","150","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"46500","155","155","155","0.3333333333333333","0.3333333333333333","0.3333333333333333","155","155","155","0.5757575757575757","0.5757575757575757","0.5757575757575757","155","155","155","0.48484848484848486","0.48484848484848486","0.48484848484848486","155","155","155","0.24242424242424243","0.24242424242424243","0.24242424242424243","155","155","155","0.45454545454545453","0.45454545454545453","0.45454545454545453","155","155","155","0.42424242424242425","0.42424242424242425","0.42424242424242425","155","155","155","0.3636363636363636","0.3636363636363636","0.3636363636363636","155","155","155","0.21212121212121213","0.21212121212121213","0.21212121212121213","155","155","155","0.12121212121212122","0.12121212121212122","0.12121212121212122","155","155","155","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"48000","160","160","160","0.4848484848484848","0.4848484848484848","0.4848484848484848","160","160","160","0.42424242424242414","0.42424242424242414","0.42424242424242414","160","160","160","0.6060606060606061","0.6060606060606061","0.6060606060606061","160","160","160","0.21212121212121213","0.21212121212121213","0.21212121212121213","160","160","160","0.21212121212121213","0.21212121212121213","0.21212121212121213","160","160","160","0.7575757575757575","0.7575757575757575","0.7575757575757575","160","160","160","0.2727272727272727","0.2727272727272727","0.2727272727272727","160","160","160","0.6060606060606061","0.6060606060606061","0.6060606060606061","160","160","160","0.3333333333333333","0.3333333333333333","0.3333333333333333","160","160","160","0.6969696969696969","0.6969696969696969","0.6969696969696969"
