"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - collision_end_mean","silvery-sweep-6 - collision_end_mean__MIN","silvery-sweep-6 - collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - collision_end_mean","jumping-sweep-5 - collision_end_mean__MIN","jumping-sweep-5 - collision_end_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - collision_end_mean","zany-sweep-4 - collision_end_mean__MIN","zany-sweep-4 - collision_end_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - collision_end_mean","visionary-sweep-3 - collision_end_mean__MIN","visionary-sweep-3 - collision_end_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - collision_end_mean","wandering-sweep-2 - collision_end_mean__MIN","wandering-sweep-2 - collision_end_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - collision_end_mean","eager-sweep-5 - collision_end_mean__MIN","eager-sweep-5 - collision_end_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - collision_end_mean","wild-sweep-3 - collision_end_mean__MIN","wild-sweep-3 - collision_end_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - collision_end_mean","blooming-sweep-4 - collision_end_mean__MIN","blooming-sweep-4 - collision_end_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - collision_end_mean","worldly-sweep-2 - collision_end_mean__MIN","worldly-sweep-2 - collision_end_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - collision_end_mean","eager-sweep-1 - collision_end_mean__MIN","eager-sweep-1 - collision_end_mean__MAX"
"6000","275","275","275","0.12","0.12","0.12","275","275","275","0.08","0.08","0.08","275","275","275","0.04","0.04","0.04","275","275","275","0.04","0.04","0.04","275","275","275","0.04","0.04","0.04","75","75","75","0","0","0","75","75","75","0.08","0.08","0.08","75","75","75","0.04","0.04","0.04","75","75","75","0.12","0.12","0.12","75","75","75","0","0","0"
"6500","300","300","300","0.12","0.12","0.12","300","300","300","0.04","0.04","0.04","300","300","300","0.08","0.08","0.08","300","300","300","0.04","0.04","0.04","300","300","300","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7000","325","325","325","0.12","0.12","0.12","325","325","325","0.04","0.04","0.04","325","325","325","0.12","0.12","0.12","325","325","325","0.16","0.16","0.16","325","325","325","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7500","350","350","350","0.04","0.04","0.04","350","350","350","0.04","0.04","0.04","350","350","350","0.04","0.04","0.04","350","350","350","0.12","0.12","0.12","350","350","350","0.08","0.08","0.08","100","100","100","0.08","0.08","0.08","100","100","100","0.08","0.08","0.08","100","100","100","0.04","0.04","0.04","100","100","100","0","0","0","100","100","100","0.04","0.04","0.04"
"8000","375","375","375","0.12","0.12","0.12","375","375","375","0.08","0.08","0.08","375","375","375","0","0","0","375","375","375","0.08","0.08","0.08","375","375","375","0.12","0.12","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8500","400","400","400","0.12","0.12","0.12","400","400","400","0.08","0.08","0.08","400","400","400","0","0","0","400","400","400","0.08","0.08","0.08","400","400","400","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000","425","425","425","0.04","0.04","0.04","425","425","425","0.08","0.08","0.08","425","425","425","0","0","0","425","425","425","0.08","0.08","0.08","425","425","425","0","0","0","125","125","125","0.08","0.08","0.08","125","125","125","0.08","0.08","0.08","125","125","125","0.08","0.08","0.08","125","125","125","0.12","0.12","0.12","125","125","125","0.04","0.04","0.04"
"9500","450","450","450","0.04","0.04","0.04","450","450","450","0.04","0.04","0.04","450","450","450","0.04","0.04","0.04","450","450","450","0.08","0.08","0.08","450","450","450","0.12","0.12","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10000","475","475","475","0.04","0.04","0.04","475","475","475","0.04","0.04","0.04","475","475","475","0","0","0","475","475","475","0.16","0.16","0.16","475","475","475","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10500","500","500","500","0","0","0","500","500","500","0","0","0","500","500","500","0.04","0.04","0.04","500","500","500","0.16","0.16","0.16","500","500","500","0.04","0.04","0.04","150","150","150","0","0","0","150","150","150","0.04","0.04","0.04","150","150","150","0.08","0.08","0.08","150","150","150","0.04","0.04","0.04","150","150","150","0.04","0.04","0.04"
"11000","525","525","525","0","0","0","525","525","525","0","0","0","525","525","525","0.04","0.04","0.04","525","525","525","0.12","0.12","0.12","525","525","525","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11500","550","550","550","0.08","0.08","0.08","550","550","550","0.04","0.04","0.04","550","550","550","0","0","0","550","550","550","0.04","0.04","0.04","550","550","550","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12000","575","575","575","0.04","0.04","0.04","575","575","575","0.08","0.08","0.08","575","575","575","0","0","0","575","575","575","0.04","0.04","0.04","575","575","575","0.08","0.08","0.08","175","175","175","0.04","0.04","0.04","175","175","175","0","0","0","175","175","175","0.16","0.16","0.16","175","175","175","0","0","0","175","175","175","0.04","0.04","0.04"
"12500","600","600","600","0","0","0","600","600","600","0.04","0.04","0.04","600","600","600","0.04","0.04","0.04","600","600","600","0.08","0.08","0.08","600","600","600","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13000","625","625","625","0","0","0","625","625","625","0.08","0.08","0.08","625","625","625","0.04","0.04","0.04","625","625","625","0.12","0.12","0.12","625","625","625","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13500","650","650","650","0.04","0.04","0.04","650","650","650","0.16","0.16","0.16","650","650","650","0","0","0","650","650","650","0.04","0.04","0.04","650","650","650","0.04","0.04","0.04","200","200","200","0","0","0","200","200","200","0.16","0.16","0.16","200","200","200","0.04","0.04","0.04","200","200","200","0.08","0.08","0.08","200","200","200","0.12","0.12","0.12"
"14000","675","675","675","0.08","0.08","0.08","675","675","675","0.08","0.08","0.08","675","675","675","0.04","0.04","0.04","675","675","675","0.08","0.08","0.08","675","675","675","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14500","700","700","700","0.04","0.04","0.04","700","700","700","0","0","0","700","700","700","0.08","0.08","0.08","700","700","700","0.04","0.04","0.04","700","700","700","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15000","725","725","725","0.08","0.08","0.08","725","725","725","0.04","0.04","0.04","725","725","725","0.04","0.04","0.04","725","725","725","0.08","0.08","0.08","725","725","725","0","0","0","225","225","225","0.08","0.08","0.08","225","225","225","0.08","0.08","0.08","225","225","225","0.12","0.12","0.12","225","225","225","0.08","0.08","0.08","225","225","225","0.08","0.08","0.08"
"15500","750","750","750","0.04","0.04","0.04","750","750","750","0.2","0.2","0.2","750","750","750","0.08","0.08","0.08","750","750","750","0.12","0.12","0.12","750","750","750","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16000","775","775","775","0","0","0","775","775","775","0.2","0.2","0.2","775","775","775","0.04","0.04","0.04","775","775","775","0.08","0.08","0.08","775","775","775","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16500","800","800","800","0","0","0","800","800","800","0.04","0.04","0.04","800","800","800","0","0","0","800","800","800","0.04","0.04","0.04","800","800","800","0.16","0.16","0.16","250","250","250","0.08","0.08","0.08","250","250","250","0.04","0.04","0.04","250","250","250","0.08","0.08","0.08","250","250","250","0","0","0","250","250","250","0.04","0.04","0.04"
"17000","825","825","825","0","0","0","825","825","825","0.04","0.04","0.04","825","825","825","0","0","0","825","825","825","0.08","0.08","0.08","825","825","825","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17500","850","850","850","0","0","0","850","850","850","0.08","0.08","0.08","850","850","850","0.04","0.04","0.04","850","850","850","0.04","0.04","0.04","850","850","850","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18000","875","875","875","0","0","0","875","875","875","0.04","0.04","0.04","875","875","875","0.04","0.04","0.04","875","875","875","0","0","0","875","875","875","0.08","0.08","0.08","275","275","275","0.04","0.04","0.04","275","275","275","0","0","0","275","275","275","0.08","0.08","0.08","275","275","275","0","0","0","275","275","275","0.04","0.04","0.04"
"18500","900","900","900","0","0","0","900","900","900","0.04","0.04","0.04","900","900","900","0.04","0.04","0.04","900","900","900","0.04","0.04","0.04","900","900","900","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19000","925","925","925","0","0","0","925","925","925","0.04","0.04","0.04","925","925","925","0.08","0.08","0.08","925","925","925","0.08","0.08","0.08","925","925","925","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19500","950","950","950","0","0","0","950","950","950","0.04","0.04","0.04","950","950","950","0.08","0.08","0.08","950","950","950","0.04","0.04","0.04","950","950","950","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0","300","300","300","0","0","0"
"20000","975","975","975","0.04","0.04","0.04","975","975","975","0","0","0","975","975","975","0","0","0","975","975","975","0","0","0","975","975","975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20500","1000","1000","1000","0.08","0.08","0.08","1000","1000","1000","0.04","0.04","0.04","1000","1000","1000","0","0","0","1000","1000","1000","0","0","0","1000","1000","1000","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21000","1025","1025","1025","0.12","0.12","0.12","1025","1025","1025","0.08","0.08","0.08","1025","1025","1025","0","0","0","1025","1025","1025","0","0","0","1025","1025","1025","0.12","0.12","0.12","325","325","325","0.04","0.04","0.04","325","325","325","0","0","0","325","325","325","0.04","0.04","0.04","325","325","325","0","0","0","325","325","325","0.04","0.04","0.04"
"21500","1050","1050","1050","0.04","0.04","0.04","1050","1050","1050","0.04","0.04","0.04","1050","1050","1050","0","0","0","1050","1050","1050","0.04","0.04","0.04","1050","1050","1050","0.16","0.16","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22000","1075","1075","1075","0","0","0","1075","1075","1075","0","0","0","1075","1075","1075","0.04","0.04","0.04","1075","1075","1075","0.04","0.04","0.04","1075","1075","1075","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22500","1100","1100","1100","0","0","0","1100","1100","1100","0","0","0","1100","1100","1100","0.04","0.04","0.04","1100","1100","1100","0","0","0","1100","1100","1100","0.08","0.08","0.08","350","350","350","0","0","0","350","350","350","0.12","0.12","0.12","350","350","350","0","0","0","350","350","350","0","0","0","350","350","350","0.08","0.08","0.08"
"23000","1125","1125","1125","0.04","0.04","0.04","1125","1125","1125","0","0","0","1125","1125","1125","0","0","0","1125","1125","1125","0","0","0","1125","1125","1125","0.16","0.16","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23500","1150","1150","1150","0.04","0.04","0.04","1150","1150","1150","0.04","0.04","0.04","1150","1150","1150","0","0","0","1150","1150","1150","0","0","0","1150","1150","1150","0.12","0.12","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24000","1175","1175","1175","0.04","0.04","0.04","1175","1175","1175","0.04","0.04","0.04","1175","1175","1175","0","0","0","1175","1175","1175","0","0","0","1175","1175","1175","0.08","0.08","0.08","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0.04","0.04","0.04"
"24500","1200","1200","1200","0.04","0.04","0.04","1200","1200","1200","0.04","0.04","0.04","1200","1200","1200","0","0","0","1200","1200","1200","0","0","0","1200","1200","1200","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25000","1225","1225","1225","0","0","0","1225","1225","1225","0","0","0","1225","1225","1225","0","0","0","1225","1225","1225","0","0","0","1225","1225","1225","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25500","1250","1250","1250","0","0","0","1250","1250","1250","0","0","0","1250","1250","1250","0","0","0","1250","1250","1250","0","0","0","1250","1250","1250","0","0","0","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0.12","0.12","0.12"
"26000","1275","1275","1275","0","0","0","1275","1275","1275","0","0","0","1275","1275","1275","0","0","0","1275","1275","1275","0","0","0","1275","1275","1275","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26500","1300","1300","1300","0.04","0.04","0.04","1300","1300","1300","0","0","0","1300","1300","1300","0.04","0.04","0.04","1300","1300","1300","0","0","0","1300","1300","1300","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27000","1325","1325","1325","0.08","0.08","0.08","1325","1325","1325","0","0","0","1325","1325","1325","0.04","0.04","0.04","1325","1325","1325","0","0","0","1325","1325","1325","0.08","0.08","0.08","425","425","425","0","0","0","425","425","425","0.04","0.04","0.04","425","425","425","0","0","0","425","425","425","0","0","0","425","425","425","0","0","0"
"27500","1350","1350","1350","0.04","0.04","0.04","1350","1350","1350","0","0","0","1350","1350","1350","0","0","0","1350","1350","1350","0","0","0","1350","1350","1350","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28000","1375","1375","1375","0","0","0","1375","1375","1375","0","0","0","1375","1375","1375","0","0","0","1375","1375","1375","0","0","0","1375","1375","1375","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28500","1400","1400","1400","0","0","0","1400","1400","1400","0","0","0","1400","1400","1400","0.04","0.04","0.04","1400","1400","1400","0","0","0","1400","1400","1400","0.04","0.04","0.04","450","450","450","0","0","0","450","450","450","0.04","0.04","0.04","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0"
"29000","1425","1425","1425","0","0","0","1425","1425","1425","0","0","0","1425","1425","1425","0.04","0.04","0.04","1425","1425","1425","0","0","0","1425","1425","1425","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29500","1450","1450","1450","0","0","0","1450","1450","1450","0","0","0","1450","1450","1450","0.08","0.08","0.08","1450","1450","1450","0","0","0","1450","1450","1450","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30000","1475","1475","1475","0","0","0","1475","1475","1475","0","0","0","1475","1475","1475","0.04","0.04","0.04","1475","1475","1475","0","0","0","1475","1475","1475","0.04","0.04","0.04","475","475","475","0","0","0","475","475","475","0","0","0","475","475","475","0","0","0","475","475","475","0.04","0.04","0.04","475","475","475","0","0","0"
"30500","1500","1500","1500","0","0","0","1500","1500","1500","0","0","0","1500","1500","1500","0.04","0.04","0.04","1500","1500","1500","0","0","0","1500","1500","1500","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31000","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31500","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0","1550","1550","1550","0.04","0.04","0.04","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0","500","500","500","0","0","0","500","500","500","0.08","0.08","0.08","500","500","500","0","0","0","500","500","500","0","0","0","500","500","500","0.04","0.04","0.04"
"32000","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0","1575","1575","1575","0.04","0.04","0.04","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32500","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","0.04","0.04","0.04","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33000","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0","1625","1625","1625","0.04","0.04","0.04","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0","525","525","525","0","0","0","525","525","525","0","0","0","525","525","525","0","0","0","525","525","525","0","0","0","525","525","525","0","0","0"
"33500","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0","1650","1650","1650","0.04","0.04","0.04","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34000","1675","1675","1675","0","0","0","1675","1675","1675","0","0","0","1675","1675","1675","0.04","0.04","0.04","1675","1675","1675","0","0","0","1675","1675","1675","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34500","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","550","550","550","0","0","0","550","550","550","0.04","0.04","0.04","550","550","550","0.04","0.04","0.04","550","550","550","0","0","0","550","550","550","0","0","0"
"35000","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35500","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36000","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","575","575","575","0","0","0","575","575","575","0.04","0.04","0.04","575","575","575","0","0","0","575","575","575","0","0","0","575","575","575","0","0","0"
"36500","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37000","1825","1825","1825","0.04","0.04","0.04","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37500","1850","1850","1850","0.04","0.04","0.04","1850","1850","1850","0","0","0","1850","1850","1850","0.04","0.04","0.04","1850","1850","1850","0","0","0","1850","1850","1850","0","0","0","600","600","600","0","0","0","600","600","600","0","0","0","600","600","600","0","0","0","600","600","600","0","0","0","600","600","600","0","0","0"
"38000","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0","1875","1875","1875","0.04","0.04","0.04","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38500","1900","1900","1900","0.04","0.04","0.04","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39000","1925","1925","1925","0.04","0.04","0.04","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","625","625","625","0","0","0","625","625","625","0","0","0","625","625","625","0","0","0","625","625","625","0","0","0","625","625","625","0","0","0"
"39500","1950","1950","1950","0.04","0.04","0.04","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40000","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0","1975","1975","1975","0.04","0.04","0.04","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40500","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0","2000","2000","2000","0.04","0.04","0.04","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0","650","650","650","0","0","0","650","650","650","0.04","0.04","0.04","650","650","650","0","0","0","650","650","650","0","0","0","650","650","650","0","0","0"
"41000","2025","2025","2025","0","0","0","2025","2025","2025","0","0","0","2025","2025","2025","0.04","0.04","0.04","2025","2025","2025","0","0","0","2025","2025","2025","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41500","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42000","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","675","675","675","0","0","0","675","675","675","0","0","0","675","675","675","0","0","0","675","675","675","0","0","0","675","675","675","0","0","0"
"42500","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43000","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43500","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","700","700","700","0","0","0","700","700","700","0.04","0.04","0.04","700","700","700","0.08","0.08","0.08","700","700","700","0","0","0","700","700","700","0","0","0"
"44000","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44500","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45000","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","725","725","725","0","0","0","725","725","725","0","0","0","725","725","725","0","0","0","725","725","725","0","0","0","725","725","725","0","0","0"
