"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - episode_waypoints_percent_mean","silvery-sweep-6 - episode_waypoints_percent_mean__MIN","silvery-sweep-6 - episode_waypoints_percent_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - episode_waypoints_percent_mean","jumping-sweep-5 - episode_waypoints_percent_mean__MIN","jumping-sweep-5 - episode_waypoints_percent_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - episode_waypoints_percent_mean","zany-sweep-4 - episode_waypoints_percent_mean__MIN","zany-sweep-4 - episode_waypoints_percent_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - episode_waypoints_percent_mean","visionary-sweep-3 - episode_waypoints_percent_mean__MIN","visionary-sweep-3 - episode_waypoints_percent_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - episode_waypoints_percent_mean","wandering-sweep-2 - episode_waypoints_percent_mean__MIN","wandering-sweep-2 - episode_waypoints_percent_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - episode_waypoints_percent_mean","eager-sweep-5 - episode_waypoints_percent_mean__MIN","eager-sweep-5 - episode_waypoints_percent_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - episode_waypoints_percent_mean","wild-sweep-3 - episode_waypoints_percent_mean__MIN","wild-sweep-3 - episode_waypoints_percent_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - episode_waypoints_percent_mean","blooming-sweep-4 - episode_waypoints_percent_mean__MIN","blooming-sweep-4 - episode_waypoints_percent_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - episode_waypoints_percent_mean","worldly-sweep-2 - episode_waypoints_percent_mean__MIN","worldly-sweep-2 - episode_waypoints_percent_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - episode_waypoints_percent_mean","eager-sweep-1 - episode_waypoints_percent_mean__MIN","eager-sweep-1 - episode_waypoints_percent_mean__MAX"
"6000","275","275","275","0.36727272727272736","0.36727272727272736","0.36727272727272736","275","275","275","0.38909090909090915","0.38909090909090915","0.38909090909090915","275","275","275","0.3054545454545455","0.3054545454545455","0.3054545454545455","275","275","275","0.3454545454545454","0.3454545454545454","0.3454545454545454","275","275","275","0.35272727272727267","0.35272727272727267","0.35272727272727267","75","75","75","0.28","0.28","0.28","75","75","75","0.39636363636363625","0.39636363636363625","0.39636363636363625","75","75","75","0.4145454545454546","0.4145454545454546","0.4145454545454546","75","75","75","0.4981818181818181","0.4981818181818181","0.4981818181818181","75","75","75","0.27636363636363637","0.27636363636363637","0.27636363636363637"
"6500","300","300","300","0.3418181818181818","0.3418181818181818","0.3418181818181818","300","300","300","0.29818181818181816","0.29818181818181816","0.29818181818181816","300","300","300","0.3854545454545455","0.3854545454545455","0.3854545454545455","300","300","300","0.43272727272727274","0.43272727272727274","0.43272727272727274","300","300","300","0.3781818181818181","0.3781818181818181","0.3781818181818181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7000","325","325","325","0.41818181818181815","0.41818181818181815","0.41818181818181815","325","325","325","0.3527272727272727","0.3527272727272727","0.3527272727272727","325","325","325","0.4","0.4","0.4","325","325","325","0.42181818181818187","0.42181818181818187","0.42181818181818187","325","325","325","0.4145454545454546","0.4145454545454546","0.4145454545454546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7500","350","350","350","0.34545454545454546","0.34545454545454546","0.34545454545454546","350","350","350","0.3781818181818181","0.3781818181818181","0.3781818181818181","350","350","350","0.40363636363636357","0.40363636363636357","0.40363636363636357","350","350","350","0.4072727272727273","0.4072727272727273","0.4072727272727273","350","350","350","0.4072727272727272","0.4072727272727272","0.4072727272727272","100","100","100","0.4727272727272727","0.4727272727272727","0.4727272727272727","100","100","100","0.42909090909090913","0.42909090909090913","0.42909090909090913","100","100","100","0.4072727272727273","0.4072727272727273","0.4072727272727273","100","100","100","0.30909090909090914","0.30909090909090914","0.30909090909090914","100","100","100","0.35999999999999993","0.35999999999999993","0.35999999999999993"
"8000","375","375","375","0.40363636363636357","0.40363636363636357","0.40363636363636357","375","375","375","0.3818181818181818","0.3818181818181818","0.3818181818181818","375","375","375","0.3345454545454546","0.3345454545454546","0.3345454545454546","375","375","375","0.3818181818181818","0.3818181818181818","0.3818181818181818","375","375","375","0.48","0.48","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8500","400","400","400","0.4981818181818182","0.4981818181818182","0.4981818181818182","400","400","400","0.33454545454545453","0.33454545454545453","0.33454545454545453","400","400","400","0.4218181818181818","0.4218181818181818","0.4218181818181818","400","400","400","0.41454545454545455","0.41454545454545455","0.41454545454545455","400","400","400","0.45818181818181813","0.45818181818181813","0.45818181818181813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000","425","425","425","0.44727272727272727","0.44727272727272727","0.44727272727272727","425","425","425","0.4181818181818182","0.4181818181818182","0.4181818181818182","425","425","425","0.3418181818181818","0.3418181818181818","0.3418181818181818","425","425","425","0.4945454545454545","0.4945454545454545","0.4945454545454545","425","425","425","0.52","0.52","0.52","125","125","125","0.4472727272727272","0.4472727272727272","0.4472727272727272","125","125","125","0.45818181818181813","0.45818181818181813","0.45818181818181813","125","125","125","0.43636363636363634","0.43636363636363634","0.43636363636363634","125","125","125","0.4763636363636363","0.4763636363636363","0.4763636363636363","125","125","125","0.4","0.4","0.4"
"9500","450","450","450","0.4","0.4","0.4","450","450","450","0.4763636363636364","0.4763636363636364","0.4763636363636364","450","450","450","0.33090909090909093","0.33090909090909093","0.33090909090909093","450","450","450","0.4945454545454545","0.4945454545454545","0.4945454545454545","450","450","450","0.49090909090909085","0.49090909090909085","0.49090909090909085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10000","475","475","475","0.3781818181818182","0.3781818181818182","0.3781818181818182","475","475","475","0.39272727272727276","0.39272727272727276","0.39272727272727276","475","475","475","0.43272727272727274","0.43272727272727274","0.43272727272727274","475","475","475","0.4981818181818181","0.4981818181818181","0.4981818181818181","475","475","475","0.5636363636363636","0.5636363636363636","0.5636363636363636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10500","500","500","500","0.44727272727272727","0.44727272727272727","0.44727272727272727","500","500","500","0.4290909090909091","0.4290909090909091","0.4290909090909091","500","500","500","0.4254545454545455","0.4254545454545455","0.4254545454545455","500","500","500","0.43999999999999995","0.43999999999999995","0.43999999999999995","500","500","500","0.44727272727272727","0.44727272727272727","0.44727272727272727","150","150","150","0.48727272727272725","0.48727272727272725","0.48727272727272725","150","150","150","0.4945454545454545","0.4945454545454545","0.4945454545454545","150","150","150","0.5818181818181818","0.5818181818181818","0.5818181818181818","150","150","150","0.5345454545454544","0.5345454545454544","0.5345454545454544","150","150","150","0.5890909090909091","0.5890909090909091","0.5890909090909091"
"11000","525","525","525","0.4109090909090909","0.4109090909090909","0.4109090909090909","525","525","525","0.3854545454545454","0.3854545454545454","0.3854545454545454","525","525","525","0.4072727272727273","0.4072727272727273","0.4072727272727273","525","525","525","0.45090909090909087","0.45090909090909087","0.45090909090909087","525","525","525","0.5418181818181818","0.5418181818181818","0.5418181818181818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11500","550","550","550","0.5309090909090909","0.5309090909090909","0.5309090909090909","550","550","550","0.469090909090909","0.469090909090909","0.469090909090909","550","550","550","0.5127272727272727","0.5127272727272727","0.5127272727272727","550","550","550","0.45090909090909087","0.45090909090909087","0.45090909090909087","550","550","550","0.5054545454545454","0.5054545454545454","0.5054545454545454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12000","575","575","575","0.5527272727272727","0.5527272727272727","0.5527272727272727","575","575","575","0.4436363636363636","0.4436363636363636","0.4436363636363636","575","575","575","0.4254545454545455","0.4254545454545455","0.4254545454545455","575","575","575","0.5054545454545454","0.5054545454545454","0.5054545454545454","575","575","575","0.5309090909090909","0.5309090909090909","0.5309090909090909","175","175","175","0.5745454545454546","0.5745454545454546","0.5745454545454546","175","175","175","0.5490909090909091","0.5490909090909091","0.5490909090909091","175","175","175","0.6363636363636364","0.6363636363636364","0.6363636363636364","175","175","175","0.5127272727272727","0.5127272727272727","0.5127272727272727","175","175","175","0.52","0.52","0.52"
"12500","600","600","600","0.5672727272727273","0.5672727272727273","0.5672727272727273","600","600","600","0.4727272727272727","0.4727272727272727","0.4727272727272727","600","600","600","0.45090909090909087","0.45090909090909087","0.45090909090909087","600","600","600","0.5636363636363636","0.5636363636363636","0.5636363636363636","600","600","600","0.4763636363636363","0.4763636363636363","0.4763636363636363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13000","625","625","625","0.5309090909090909","0.5309090909090909","0.5309090909090909","625","625","625","0.5490909090909091","0.5490909090909091","0.5490909090909091","625","625","625","0.5818181818181819","0.5818181818181819","0.5818181818181819","625","625","625","0.6109090909090908","0.6109090909090908","0.6109090909090908","625","625","625","0.5345454545454545","0.5345454545454545","0.5345454545454545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13500","650","650","650","0.5345454545454547","0.5345454545454547","0.5345454545454547","650","650","650","0.6","0.6","0.6","650","650","650","0.5527272727272726","0.5527272727272726","0.5527272727272726","650","650","650","0.5745454545454546","0.5745454545454546","0.5745454545454546","650","650","650","0.6","0.6","0.6","200","200","200","0.7018181818181819","0.7018181818181819","0.7018181818181819","200","200","200","0.5418181818181819","0.5418181818181819","0.5418181818181819","200","200","200","0.6363636363636364","0.6363636363636364","0.6363636363636364","200","200","200","0.6654545454545455","0.6654545454545455","0.6654545454545455","200","200","200","0.6690909090909091","0.6690909090909091","0.6690909090909091"
"14000","675","675","675","0.5672727272727273","0.5672727272727273","0.5672727272727273","675","675","675","0.629090909090909","0.629090909090909","0.629090909090909","675","675","675","0.6036363636363636","0.6036363636363636","0.6036363636363636","675","675","675","0.6254545454545455","0.6254545454545455","0.6254545454545455","675","675","675","0.5818181818181818","0.5818181818181818","0.5818181818181818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14500","700","700","700","0.56","0.56","0.56","700","700","700","0.6945454545454546","0.6945454545454546","0.6945454545454546","700","700","700","0.5745454545454545","0.5745454545454545","0.5745454545454545","700","700","700","0.6363636363636364","0.6363636363636364","0.6363636363636364","700","700","700","0.5163636363636364","0.5163636363636364","0.5163636363636364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15000","725","725","725","0.6399999999999999","0.6399999999999999","0.6399999999999999","725","725","725","0.64","0.64","0.64","725","725","725","0.6218181818181817","0.6218181818181817","0.6218181818181817","725","725","725","0.6145454545454545","0.6145454545454545","0.6145454545454545","725","725","725","0.49090909090909085","0.49090909090909085","0.49090909090909085","225","225","225","0.690909090909091","0.690909090909091","0.690909090909091","225","225","225","0.6909090909090908","0.6909090909090908","0.6909090909090908","225","225","225","0.6690909090909091","0.6690909090909091","0.6690909090909091","225","225","225","0.6472727272727272","0.6472727272727272","0.6472727272727272","225","225","225","0.6763636363636364","0.6763636363636364","0.6763636363636364"
"15500","750","750","750","0.6436363636363636","0.6436363636363636","0.6436363636363636","750","750","750","0.5963636363636362","0.5963636363636362","0.5963636363636362","750","750","750","0.64","0.64","0.64","750","750","750","0.64","0.64","0.64","750","750","750","0.5163636363636364","0.5163636363636364","0.5163636363636364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16000","775","775","775","0.6363636363636364","0.6363636363636364","0.6363636363636364","775","775","775","0.5745454545454546","0.5745454545454546","0.5745454545454546","775","775","775","0.5309090909090909","0.5309090909090909","0.5309090909090909","775","775","775","0.6763636363636363","0.6763636363636363","0.6763636363636363","775","775","775","0.68","0.68","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16500","800","800","800","0.7236363636363637","0.7236363636363637","0.7236363636363637","800","800","800","0.5818181818181818","0.5818181818181818","0.5818181818181818","800","800","800","0.5890909090909091","0.5890909090909091","0.5890909090909091","800","800","800","0.7345454545454545","0.7345454545454545","0.7345454545454545","800","800","800","0.68","0.68","0.68","250","250","250","0.6109090909090908","0.6109090909090908","0.6109090909090908","250","250","250","0.6","0.6","0.6","250","250","250","0.72","0.72","0.72","250","250","250","0.6181818181818182","0.6181818181818182","0.6181818181818182","250","250","250","0.6909090909090909","0.6909090909090909","0.6909090909090909"
"17000","825","825","825","0.6981818181818182","0.6981818181818182","0.6981818181818182","825","825","825","0.6","0.6","0.6","825","825","825","0.6145454545454546","0.6145454545454546","0.6145454545454546","825","825","825","0.7381818181818182","0.7381818181818182","0.7381818181818182","825","825","825","0.6509090909090909","0.6509090909090909","0.6509090909090909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17500","850","850","850","0.7090909090909091","0.7090909090909091","0.7090909090909091","850","850","850","0.6254545454545454","0.6254545454545454","0.6254545454545454","850","850","850","0.5781818181818182","0.5781818181818182","0.5781818181818182","850","850","850","0.7418181818181817","0.7418181818181817","0.7418181818181817","850","850","850","0.6981818181818181","0.6981818181818181","0.6981818181818181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18000","875","875","875","0.7454545454545455","0.7454545454545455","0.7454545454545455","875","875","875","0.7054545454545454","0.7054545454545454","0.7054545454545454","875","875","875","0.6472727272727273","0.6472727272727273","0.6472727272727273","875","875","875","0.8181818181818182","0.8181818181818182","0.8181818181818182","875","875","875","0.629090909090909","0.629090909090909","0.629090909090909","275","275","275","0.7236363636363636","0.7236363636363636","0.7236363636363636","275","275","275","0.7236363636363637","0.7236363636363637","0.7236363636363637","275","275","275","0.7636363636363638","0.7636363636363638","0.7636363636363638","275","275","275","0.64","0.64","0.64","275","275","275","0.6327272727272726","0.6327272727272726","0.6327272727272726"
"18500","900","900","900","0.7454545454545454","0.7454545454545454","0.7454545454545454","900","900","900","0.7527272727272727","0.7527272727272727","0.7527272727272727","900","900","900","0.7090909090909091","0.7090909090909091","0.7090909090909091","900","900","900","0.7272727272727272","0.7272727272727272","0.7272727272727272","900","900","900","0.6436363636363636","0.6436363636363636","0.6436363636363636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19000","925","925","925","0.749090909090909","0.749090909090909","0.749090909090909","925","925","925","0.7454545454545455","0.7454545454545455","0.7454545454545455","925","925","925","0.6436363636363636","0.6436363636363636","0.6436363636363636","925","925","925","0.730909090909091","0.730909090909091","0.730909090909091","925","925","925","0.6618181818181819","0.6618181818181819","0.6618181818181819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19500","950","950","950","0.76","0.76","0.76","950","950","950","0.7127272727272728","0.7127272727272728","0.7127272727272728","950","950","950","0.6218181818181818","0.6218181818181818","0.6218181818181818","950","950","950","0.72","0.72","0.72","950","950","950","0.5927272727272728","0.5927272727272728","0.5927272727272728","300","300","300","0.7236363636363637","0.7236363636363637","0.7236363636363637","300","300","300","0.6618181818181819","0.6618181818181819","0.6618181818181819","300","300","300","0.8181818181818181","0.8181818181818181","0.8181818181818181","300","300","300","0.6836363636363636","0.6836363636363636","0.6836363636363636","300","300","300","0.8","0.8","0.8"
"20000","975","975","975","0.7818181818181819","0.7818181818181819","0.7818181818181819","975","975","975","0.6763636363636364","0.6763636363636364","0.6763636363636364","975","975","975","0.6618181818181819","0.6618181818181819","0.6618181818181819","975","975","975","0.7454545454545456","0.7454545454545456","0.7454545454545456","975","975","975","0.6763636363636364","0.6763636363636364","0.6763636363636364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20500","1000","1000","1000","0.8254545454545454","0.8254545454545454","0.8254545454545454","1000","1000","1000","0.6872727272727271","0.6872727272727271","0.6872727272727271","1000","1000","1000","0.6836363636363636","0.6836363636363636","0.6836363636363636","1000","1000","1000","0.7527272727272727","0.7527272727272727","0.7527272727272727","1000","1000","1000","0.6581818181818181","0.6581818181818181","0.6581818181818181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21000","1025","1025","1025","0.7636363636363636","0.7636363636363636","0.7636363636363636","1025","1025","1025","0.7527272727272728","0.7527272727272728","0.7527272727272728","1025","1025","1025","0.76","0.76","0.76","1025","1025","1025","0.7236363636363637","0.7236363636363637","0.7236363636363637","1025","1025","1025","0.6109090909090908","0.6109090909090908","0.6109090909090908","325","325","325","0.687272727272727","0.687272727272727","0.687272727272727","325","325","325","0.850909090909091","0.850909090909091","0.850909090909091","325","325","325","0.8","0.8","0.8","325","325","325","0.6981818181818182","0.6981818181818182","0.6981818181818182","325","325","325","0.7890909090909092","0.7890909090909092","0.7890909090909092"
"21500","1050","1050","1050","0.6581818181818183","0.6581818181818183","0.6581818181818183","1050","1050","1050","0.7672727272727273","0.7672727272727273","0.7672727272727273","1050","1050","1050","0.8290909090909092","0.8290909090909092","0.8290909090909092","1050","1050","1050","0.7418181818181818","0.7418181818181818","0.7418181818181818","1050","1050","1050","0.6145454545454546","0.6145454545454546","0.6145454545454546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22000","1075","1075","1075","0.6945454545454546","0.6945454545454546","0.6945454545454546","1075","1075","1075","0.8181818181818182","0.8181818181818182","0.8181818181818182","1075","1075","1075","0.7963636363636364","0.7963636363636364","0.7963636363636364","1075","1075","1075","0.7490909090909093","0.7490909090909093","0.7490909090909093","1075","1075","1075","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22500","1100","1100","1100","0.770909090909091","0.770909090909091","0.770909090909091","1100","1100","1100","0.8254545454545453","0.8254545454545453","0.8254545454545453","1100","1100","1100","0.8072727272727274","0.8072727272727274","0.8072727272727274","1100","1100","1100","0.8109090909090909","0.8109090909090909","0.8109090909090909","1100","1100","1100","0.6654545454545455","0.6654545454545455","0.6654545454545455","350","350","350","0.7781818181818183","0.7781818181818183","0.7781818181818183","350","350","350","0.7818181818181817","0.7818181818181817","0.7818181818181817","350","350","350","0.8472727272727273","0.8472727272727273","0.8472727272727273","350","350","350","0.7927272727272728","0.7927272727272728","0.7927272727272728","350","350","350","0.8145454545454546","0.8145454545454546","0.8145454545454546"
"23000","1125","1125","1125","0.84","0.84","0.84","1125","1125","1125","0.7963636363636364","0.7963636363636364","0.7963636363636364","1125","1125","1125","0.8","0.8","0.8","1125","1125","1125","0.8436363636363636","0.8436363636363636","0.8436363636363636","1125","1125","1125","0.7272727272727273","0.7272727272727273","0.7272727272727273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23500","1150","1150","1150","0.8581818181818182","0.8581818181818182","0.8581818181818182","1150","1150","1150","0.7163636363636364","0.7163636363636364","0.7163636363636364","1150","1150","1150","0.8036363636363636","0.8036363636363636","0.8036363636363636","1150","1150","1150","0.8472727272727273","0.8472727272727273","0.8472727272727273","1150","1150","1150","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24000","1175","1175","1175","0.8254545454545454","0.8254545454545454","0.8254545454545454","1175","1175","1175","0.7345454545454545","0.7345454545454545","0.7345454545454545","1175","1175","1175","0.7345454545454545","0.7345454545454545","0.7345454545454545","1175","1175","1175","0.7781818181818181","0.7781818181818181","0.7781818181818181","1175","1175","1175","0.8472727272727273","0.8472727272727273","0.8472727272727273","375","375","375","0.8618181818181817","0.8618181818181817","0.8618181818181817","375","375","375","0.8254545454545454","0.8254545454545454","0.8254545454545454","375","375","375","0.8072727272727271","0.8072727272727271","0.8072727272727271","375","375","375","0.7927272727272726","0.7927272727272726","0.7927272727272726","375","375","375","0.7963636363636363","0.7963636363636363","0.7963636363636363"
"24500","1200","1200","1200","0.8","0.8","0.8","1200","1200","1200","0.7781818181818181","0.7781818181818181","0.7781818181818181","1200","1200","1200","0.6945454545454546","0.6945454545454546","0.6945454545454546","1200","1200","1200","0.7927272727272728","0.7927272727272728","0.7927272727272728","1200","1200","1200","0.8181818181818182","0.8181818181818182","0.8181818181818182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
