"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - r_mean","silvery-sweep-6 - r_mean__MIN","silvery-sweep-6 - r_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - r_mean","jumping-sweep-5 - r_mean__MIN","jumping-sweep-5 - r_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - r_mean","zany-sweep-4 - r_mean__MIN","zany-sweep-4 - r_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - r_mean","visionary-sweep-3 - r_mean__MIN","visionary-sweep-3 - r_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - r_mean","wandering-sweep-2 - r_mean__MIN","wandering-sweep-2 - r_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - r_mean","eager-sweep-5 - r_mean__MIN","eager-sweep-5 - r_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - r_mean","wild-sweep-3 - r_mean__MIN","wild-sweep-3 - r_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - r_mean","blooming-sweep-4 - r_mean__MIN","blooming-sweep-4 - r_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - r_mean","worldly-sweep-2 - r_mean__MIN","worldly-sweep-2 - r_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - r_mean","eager-sweep-1 - r_mean__MIN","eager-sweep-1 - r_mean__MAX"
"6000","275","275","275","19.909196594089803","19.909196594089803","19.909196594089803","275","275","275","19.878195189093404","19.878195189093404","19.878195189093404","275","275","275","18.089616084345863","18.089616084345863","18.089616084345863","275","275","275","18.836648422750468","18.836648422750468","18.836648422750468","275","275","275","18.925721100590472","18.925721100590472","18.925721100590472","75","75","75","16.385116431846594","16.385116431846594","16.385116431846594","75","75","75","20.4619527713365","20.4619527713365","20.4619527713365","75","75","75","21.22825399977122","21.22825399977122","21.22825399977122","75","75","75","24.432780460591307","24.432780460591307","24.432780460591307","75","75","75","16.646897342405993","16.646897342405993","16.646897342405993"
"6500","300","300","300","18.710698178843387","18.710698178843387","18.710698178843387","300","300","300","17.02323076300311","17.02323076300311","17.02323076300311","300","300","300","20.499044101931293","20.499044101931293","20.499044101931293","300","300","300","21.720400984635226","21.720400984635226","21.720400984635226","300","300","300","20.547577425751964","20.547577425751964","20.547577425751964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7000","325","325","325","22.245766149791397","22.245766149791397","22.245766149791397","325","325","325","18.95487812326055","18.95487812326055","18.95487812326055","325","325","325","22.87903219708254","22.87903219708254","22.87903219708254","325","325","325","21.57725793423216","21.57725793423216","21.57725793423216","325","325","325","21.042985999262818","21.042985999262818","21.042985999262818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7500","350","350","350","20.110817915633106","20.110817915633106","20.110817915633106","350","350","350","20.136593778032896","20.136593778032896","20.136593778032896","350","350","350","22.357370770900587","22.357370770900587","22.357370770900587","350","350","350","22.113161807653633","22.113161807653633","22.113161807653633","350","350","350","22.498268906508038","22.498268906508038","22.498268906508038","100","100","100","23.369074989109393","23.369074989109393","23.369074989109393","100","100","100","21.09578462055541","21.09578462055541","21.09578462055541","100","100","100","22.65818657475852","22.65818657475852","22.65818657475852","100","100","100","19.446238799419767","19.446238799419767","19.446238799419767","100","100","100","20.526024197378078","20.526024197378078","20.526024197378078"
"8000","375","375","375","22.67653160777643","22.67653160777643","22.67653160777643","375","375","375","20.130346005924594","20.130346005924594","20.130346005924594","375","375","375","20.34271922606275","20.34271922606275","20.34271922606275","375","375","375","20.903894064345668","20.903894064345668","20.903894064345668","375","375","375","24.630881532491525","24.630881532491525","24.630881532491525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8500","400","400","400","25.60711754970043","25.60711754970043","25.60711754970043","400","400","400","19.57017467105202","19.57017467105202","19.57017467105202","400","400","400","24.01436309595204","24.01436309595204","24.01436309595204","400","400","400","21.92694247344213","21.92694247344213","21.92694247344213","400","400","400","24.34378824517098","24.34378824517098","24.34378824517098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000","425","425","425","22.751929760990052","22.751929760990052","22.751929760990052","425","425","425","23.169582304587394","23.169582304587394","23.169582304587394","425","425","425","18.442868575352062","18.442868575352062","18.442868575352062","425","425","425","25.266892413701314","25.266892413701314","25.266892413701314","425","425","425","27.282394679643513","27.282394679643513","27.282394679643513","125","125","125","22.758283007205495","22.758283007205495","22.758283007205495","125","125","125","25.05023297475333","25.05023297475333","25.05023297475333","125","125","125","24.27366430572296","24.27366430572296","24.27366430572296","125","125","125","23.794215646806407","23.794215646806407","23.794215646806407","125","125","125","22.00891763738699","22.00891763738699","22.00891763738699"
"9500","450","450","450","21.489454794940606","21.489454794940606","21.489454794940606","450","450","450","26.60217129266495","26.60217129266495","26.60217129266495","450","450","450","19.23102814645603","19.23102814645603","19.23102814645603","450","450","450","26.199295603144478","26.199295603144478","26.199295603144478","450","450","450","24.866371544047166","24.866371544047166","24.866371544047166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10000","475","475","475","22.02961798019331","22.02961798019331","22.02961798019331","475","475","475","21.54862505525617","21.54862505525617","21.54862505525617","475","475","475","23.26579831226923","23.26579831226923","23.26579831226923","475","475","475","27.73307050550925","27.73307050550925","27.73307050550925","475","475","475","28.0634079277008","28.0634079277008","28.0634079277008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10500","500","500","500","26.223414469892937","26.223414469892937","26.223414469892937","500","500","500","23.84103062643906","23.84103062643906","23.84103062643906","500","500","500","22.313102300784646","22.313102300784646","22.313102300784646","500","500","500","23.990562048678456","23.990562048678456","23.990562048678456","500","500","500","25.686155636593938","25.686155636593938","25.686155636593938","150","150","150","25.902923417652335","25.902923417652335","25.902923417652335","150","150","150","28.286888860818475","28.286888860818475","28.286888860818475","150","150","150","30.129006765053255","30.129006765053255","30.129006765053255","150","150","150","29.322017914707835","29.322017914707835","29.322017914707835","150","150","150","30.878021662927353","30.878021662927353","30.878021662927353"
"11000","525","525","525","21.212642711952856","21.212642711952856","21.212642711952856","525","525","525","22.212385964486838","22.212385964486838","22.212385964486838","525","525","525","23.045250094401748","23.045250094401748","23.045250094401748","525","525","525","26.783690634782015","26.783690634782015","26.783690634782015","525","525","525","27.982268544949953","27.982268544949953","27.982268544949953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11500","550","550","550","28.471434016253493","28.471434016253493","28.471434016253493","550","550","550","24.795461997352813","24.795461997352813","24.795461997352813","550","550","550","27.947164486278258","27.947164486278258","27.947164486278258","550","550","550","27.6766973194025","27.6766973194025","27.6766973194025","550","550","550","26.542522615812373","26.542522615812373","26.542522615812373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12000","575","575","575","28.631988619412688","28.631988619412688","28.631988619412688","575","575","575","25.54874956606219","25.54874956606219","25.54874956606219","575","575","575","24.521499146086175","24.521499146086175","24.521499146086175","575","575","575","31.28916764081459","31.28916764081459","31.28916764081459","575","575","575","29.13524970282242","29.13524970282242","29.13524970282242","175","175","175","31.629333519187742","31.629333519187742","31.629333519187742","175","175","175","30.826161788695472","30.826161788695472","30.826161788695472","175","175","175","34.27764103142282","34.27764103142282","34.27764103142282","175","175","175","29.886363110593603","29.886363110593603","29.886363110593603","175","175","175","28.199080916691194","28.199080916691194","28.199080916691194"
"12500","600","600","600","30.299177952709886","30.299177952709886","30.299177952709886","600","600","600","27.909926045778786","27.909926045778786","27.909926045778786","600","600","600","26.02660688232103","26.02660688232103","26.02660688232103","600","600","600","33.41400262990312","33.41400262990312","33.41400262990312","600","600","600","27.429145239636384","27.429145239636384","27.429145239636384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13000","625","625","625","30.48880040785218","30.48880040785218","30.48880040785218","625","625","625","30.423062606738327","30.423062606738327","30.423062606738327","625","625","625","33.82004096279503","33.82004096279503","33.82004096279503","625","625","625","34.79440199300688","34.79440199300688","34.79440199300688","625","625","625","28.202595427680517","28.202595427680517","28.202595427680517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13500","650","650","650","30.719108235032586","30.719108235032586","30.719108235032586","650","650","650","34.88836447758766","34.88836447758766","34.88836447758766","650","650","650","29.404597100215323","29.404597100215323","29.404597100215323","650","650","650","31.80350012427363","31.80350012427363","31.80350012427363","650","650","650","30.18240016509037","30.18240016509037","30.18240016509037","200","200","200","39.24581212708648","39.24581212708648","39.24581212708648","200","200","200","33.209341355567034","33.209341355567034","33.209341355567034","200","200","200","36.39046585346904","36.39046585346904","36.39046585346904","200","200","200","37.34174579011003","37.34174579011003","37.34174579011003","200","200","200","37.346371948016234","37.346371948016234","37.346371948016234"
"14000","675","675","675","30.89579599641719","30.89579599641719","30.89579599641719","675","675","675","37.221743731781835","37.221743731781835","37.221743731781835","675","675","675","32.57048026512781","32.57048026512781","32.57048026512781","675","675","675","36.111513849729064","36.111513849729064","36.111513849729064","675","675","675","32.20758831824501","32.20758831824501","32.20758831824501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14500","700","700","700","31.93822034761364","31.93822034761364","31.93822034761364","700","700","700","38.72396553283297","38.72396553283297","38.72396553283297","700","700","700","35.30728267030818","35.30728267030818","35.30728267030818","700","700","700","36.21434347229007","36.21434347229007","36.21434347229007","700","700","700","29.98355880899672","29.98355880899672","29.98355880899672","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15000","725","725","725","39.082393336137095","39.082393336137095","39.082393336137095","725","725","725","37.31578261124581","37.31578261124581","37.31578261124581","725","725","725","39.749983082222336","39.749983082222336","39.749983082222336","725","725","725","35.12398731985439","35.12398731985439","35.12398731985439","725","725","725","28.030720519283054","28.030720519283054","28.030720519283054","225","225","225","37.65052424035133","37.65052424035133","37.65052424035133","225","225","225","41.092406019817005","41.092406019817005","41.092406019817005","225","225","225","40.880291618875496","40.880291618875496","40.880291618875496","225","225","225","38.269700569082836","38.269700569082836","38.269700569082836","225","225","225","41.61688096184568","41.61688096184568","41.61688096184568"
"15500","750","750","750","40.010098505538856","40.010098505538856","40.010098505538856","750","750","750","35.64196358094128","35.64196358094128","35.64196358094128","750","750","750","40.28534703338203","40.28534703338203","40.28534703338203","750","750","750","36.495625123135085","36.495625123135085","36.495625123135085","750","750","750","29.236587051609536","29.236587051609536","29.236587051609536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16000","775","775","775","38.80130313856055","38.80130313856055","38.80130313856055","775","775","775","31.870999344651214","31.870999344651214","31.870999344651214","775","775","775","32.75907950349715","32.75907950349715","32.75907950349715","775","775","775","36.50216247361234","36.50216247361234","36.50216247361234","775","775","775","37.974528225501004","37.974528225501004","37.974528225501004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16500","800","800","800","39.739243071562356","39.739243071562356","39.739243071562356","800","800","800","33.023708882928275","33.023708882928275","33.023708882928275","800","800","800","33.88178724954739","33.88178724954739","33.88178724954739","800","800","800","43.05592498019552","43.05592498019552","43.05592498019552","800","800","800","37.27783124762874","37.27783124762874","37.27783124762874","250","250","250","36.13912783051374","36.13912783051374","36.13912783051374","250","250","250","37.86885180814104","37.86885180814104","37.86885180814104","250","250","250","42.85809293012035","42.85809293012035","42.85809293012035","250","250","250","40.1550833608051","40.1550833608051","40.1550833608051","250","250","250","42.17490808072704","42.17490808072704","42.17490808072704"
"17000","825","825","825","42.699600944776904","42.699600944776904","42.699600944776904","825","825","825","35.93674703075096","35.93674703075096","35.93674703075096","825","825","825","35.826970657285344","35.826970657285344","35.826970657285344","825","825","825","42.93584937470292","42.93584937470292","42.93584937470292","825","825","825","36.58178775939211","36.58178775939211","36.58178775939211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17500","850","850","850","44.83942412747273","44.83942412747273","44.83942412747273","850","850","850","37.09392508630201","37.09392508630201","37.09392508630201","850","850","850","35.33668318102761","35.33668318102761","35.33668318102761","850","850","850","44.042058897812595","44.042058897812595","44.042058897812595","850","850","850","41.58039650583018","41.58039650583018","41.58039650583018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18000","875","875","875","44.938957909958155","44.938957909958155","44.938957909958155","875","875","875","45.43336330297688","45.43336330297688","45.43336330297688","875","875","875","41.39459410021942","41.39459410021942","41.39459410021942","875","875","875","49.64775972940393","49.64775972940393","49.64775972940393","875","875","875","39.903258972004906","39.903258972004906","39.903258972004906","275","275","275","46.46051126176154","46.46051126176154","46.46051126176154","275","275","275","43.43747149512648","43.43747149512648","43.43747149512648","275","275","275","44.52715172238107","44.52715172238107","44.52715172238107","275","275","275","39.60167029266098","39.60167029266098","39.60167029266098","275","275","275","38.66485853364742","38.66485853364742","38.66485853364742"
"18500","900","900","900","43.578052104724456","43.578052104724456","43.578052104724456","900","900","900","48.28476580304592","48.28476580304592","48.28476580304592","900","900","900","46.57411712313333","46.57411712313333","46.57411712313333","900","900","900","42.11095174859873","42.11095174859873","42.11095174859873","900","900","900","40.23491874788786","40.23491874788786","40.23491874788786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19000","925","925","925","46.20723629028605","46.20723629028605","46.20723629028605","925","925","925","51.516193099478166","51.516193099478166","51.516193099478166","925","925","925","41.48830345534137","41.48830345534137","41.48830345534137","925","925","925","45.50489309337536","45.50489309337536","45.50489309337536","925","925","925","38.78555168465116","38.78555168465116","38.78555168465116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19500","950","950","950","49.08659661389555","49.08659661389555","49.08659661389555","950","950","950","48.028629014983466","48.028629014983466","48.028629014983466","950","950","950","39.561916481990735","39.561916481990735","39.561916481990735","950","950","950","45.92063378052269","45.92063378052269","45.92063378052269","950","950","950","33.740181318750615","33.740181318750615","33.740181318750615","300","300","300","42.068514193478165","42.068514193478165","42.068514193478165","300","300","300","40.24224235940887","40.24224235940887","40.24224235940887","300","300","300","50.10165784847213","50.10165784847213","50.10165784847213","300","300","300","43.05588487145684","43.05588487145684","43.05588487145684","300","300","300","48.29449996363012","48.29449996363012","48.29449996363012"
"20000","975","975","975","53.52578382987634","53.52578382987634","53.52578382987634","975","975","975","44.068620793382095","44.068620793382095","44.068620793382095","975","975","975","41.27318541957491","41.27318541957491","41.27318541957491","975","975","975","46.60151988015348","46.60151988015348","46.60151988015348","975","975","975","38.51671970593929","38.51671970593929","38.51671970593929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20500","1000","1000","1000","55.25941801917714","55.25941801917714","55.25941801917714","1000","1000","1000","44.66718907985567","44.66718907985567","44.66718907985567","1000","1000","1000","43.82421550309472","43.82421550309472","43.82421550309472","1000","1000","1000","42.56200503675439","42.56200503675439","42.56200503675439","1000","1000","1000","41.01614097453863","41.01614097453863","41.01614097453863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21000","1025","1025","1025","47.8556383757023","47.8556383757023","47.8556383757023","1025","1025","1025","46.088925965820216","46.088925965820216","46.088925965820216","1025","1025","1025","49.530963730348205","49.530963730348205","49.530963730348205","1025","1025","1025","40.09271732490689","40.09271732490689","40.09271732490689","1025","1025","1025","36.850929644749506","36.850929644749506","36.850929644749506","325","325","325","38.22302911398836","38.22302911398836","38.22302911398836","325","325","325","57.04482495752463","57.04482495752463","57.04482495752463","325","325","325","50.18701558034514","50.18701558034514","50.18701558034514","325","325","325","45.91042474242135","45.91042474242135","45.91042474242135","325","325","325","47.59150864359358","47.59150864359358","47.59150864359358"
"21500","1050","1050","1050","38.66589558619798","38.66589558619798","38.66589558619798","1050","1050","1050","47.765219763450695","47.765219763450695","47.765219763450695","1050","1050","1050","52.05544294631191","52.05544294631191","52.05544294631191","1050","1050","1050","43.05881359712488","43.05881359712488","43.05881359712488","1050","1050","1050","36.31242774623506","36.31242774623506","36.31242774623506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22000","1075","1075","1075","42.96467509695657","42.96467509695657","42.96467509695657","1075","1075","1075","50.35971101472611","50.35971101472611","50.35971101472611","1075","1075","1075","47.66730108926431","47.66730108926431","47.66730108926431","1075","1075","1075","44.02103856959164","44.02103856959164","44.02103856959164","1075","1075","1075","34.51865555161726","34.51865555161726","34.51865555161726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22500","1100","1100","1100","52.01994629091188","52.01994629091188","52.01994629091188","1100","1100","1100","49.3128575443305","49.3128575443305","49.3128575443305","1100","1100","1100","49.14113674071106","49.14113674071106","49.14113674071106","1100","1100","1100","48.26716990826623","48.26716990826623","48.26716990826623","1100","1100","1100","38.53378513930806","38.53378513930806","38.53378513930806","350","350","350","50.98412551583193","50.98412551583193","50.98412551583193","350","350","350","46.65639588340735","46.65639588340735","46.65639588340735","350","350","350","53.968724365993005","53.968724365993005","53.968724365993005","350","350","350","51.717634991499935","51.717634991499935","51.717634991499935","350","350","350","51.791586780618665","51.791586780618665","51.791586780618665"
"23000","1125","1125","1125","51.721148880031635","51.721148880031635","51.721148880031635","1125","1125","1125","46.89963773716305","46.89963773716305","46.89963773716305","1125","1125","1125","49.68524122590058","49.68524122590058","49.68524122590058","1125","1125","1125","51.06641828166448","51.06641828166448","51.06641828166448","1125","1125","1125","45.72123243369658","45.72123243369658","45.72123243369658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23500","1150","1150","1150","51.20571131178112","51.20571131178112","51.20571131178112","1150","1150","1150","40.5947961420202","40.5947961420202","40.5947961420202","1150","1150","1150","50.154686799989584","50.154686799989584","50.154686799989584","1150","1150","1150","51.25731259208038","51.25731259208038","51.25731259208038","1150","1150","1150","53.145092734025965","53.145092734025965","53.145092734025965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24000","1175","1175","1175","49.886187964047124","49.886187964047124","49.886187964047124","1175","1175","1175","44.50802892321093","44.50802892321093","44.50802892321093","1175","1175","1175","44.997602353073695","44.997602353073695","44.997602353073695","1175","1175","1175","49.06427864155821","49.06427864155821","49.06427864155821","1175","1175","1175","54.11145107449401","54.11145107449401","54.11145107449401","375","375","375","54.404196651690306","54.404196651690306","54.404196651690306","375","375","375","50.872884808479846","50.872884808479846","50.872884808479846","375","375","375","49.17607301026071","49.17607301026071","49.17607301026071","375","375","375","50.84612697776854","50.84612697776854","50.84612697776854","375","375","375","51.83783773448917","51.83783773448917","51.83783773448917"
"24500","1200","1200","1200","51.90024666234294","51.90024666234294","51.90024666234294","1200","1200","1200","47.85384904566492","47.85384904566492","47.85384904566492","1200","1200","1200","42.990416999023886","42.990416999023886","42.990416999023886","1200","1200","1200","50.34332642603768","50.34332642603768","50.34332642603768","1200","1200","1200","49.84077017568074","49.84077017568074","49.84077017568074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25000","1225","1225","1225","55.9870450490163","55.9870450490163","55.9870450490163","1225","1225","1225","53.13847349716547","53.13847349716547","53.13847349716547","1225","1225","1225","45.14550337255489","45.14550337255489","45.14550337255489","1225","1225","1225","54.191239854761825","54.191239854761825","54.191239854761825","1225","1225","1225","50.77468715091079","50.77468715091079","50.77468715091079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25500","1250","1250","1250","54.886625835877965","54.886625835877965","54.886625835877965","1250","1250","1250","53.87925145232225","53.87925145232225","53.87925145232225","1250","1250","1250","48.85405198757255","48.85405198757255","48.85405198757255","1250","1250","1250","52.93124442149653","52.93124442149653","52.93124442149653","1250","1250","1250","51.102942132901134","51.102942132901134","51.102942132901134","400","400","400","52.26397639108394","52.26397639108394","52.26397639108394","400","400","400","56.95089194171832","56.95089194171832","56.95089194171832","400","400","400","51.54163221428508","51.54163221428508","51.54163221428508","400","400","400","56.7627603308328","56.7627603308328","56.7627603308328","400","400","400","53.16174760513288","53.16174760513288","53.16174760513288"
"26000","1275","1275","1275","52.48733425598288","52.48733425598288","52.48733425598288","1275","1275","1275","56.2746128472293","56.2746128472293","56.2746128472293","1275","1275","1275","50.44026965722456","50.44026965722456","50.44026965722456","1275","1275","1275","55.646150475031035","55.646150475031035","55.646150475031035","1275","1275","1275","45.323120924497196","45.323120924497196","45.323120924497196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26500","1300","1300","1300","53.655872676419655","53.655872676419655","53.655872676419655","1300","1300","1300","54.59106567643653","54.59106567643653","54.59106567643653","1300","1300","1300","51.093948254992476","51.093948254992476","51.093948254992476","1300","1300","1300","55.55098096612654","55.55098096612654","55.55098096612654","1300","1300","1300","43.731720106104305","43.731720106104305","43.731720106104305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
